,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Country Name,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国,中国
Country Code,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
Indicator Name,总失业人数（占劳动力总数的比例）（模拟劳工组织估计）,按消费者价格指数衡量的通货膨胀（年通胀率）,法律权利力度指数（0=弱，12=强）,城镇人口（占总人口比例）,入学率，高等院校（占总人数的百分比）,按来源国家或地区划分的难民人数,贫困人口比例，按每天1.90美元衡量的（2011 PPP）（占人口的百分比）,最高10% 占有的收入份额,Poverty gap at $6.85 a day (2017 PPP) (%),Out-of-pocket expenditure per capita (current US$),能源部门的一氧化二氮排放量（千公吨二氧化碳当量）,死亡率，婴幼儿（每千例活产儿）,Military expenditure (current USD),识字率，成人总体（占 15 岁以上人口的百分比）,出生时的预期寿命，总体（岁）,国际谋杀犯罪率（每10万人）,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),最低20% 占有的收入份额,最高20% 占有的收入份额,资本形成总额（现价美元）,人均 GDP（现价美元）,Current health expenditure per capita (current US$),能源使用量(人均千克石油当量）
Indicator Code,SL.UEM.TOTL.ZS,FP.CPI.TOTL.ZG,IC.LGL.CRED.XQ,SP.URB.TOTL.IN.ZS,SE.TER.ENRR,SM.POP.REFG.OR,SI.POV.DDAY,SI.DST.10TH.10,SI.POV.UMIC.GP,SH.XPD.OOPC.PC.CD,EN.ATM.NOXE.EG.KT.CE,SP.DYN.IMRT.IN,MS.MIL.XPND.CD,SE.ADT.LITR.ZS,SP.DYN.LE00.IN,VC.IHR.PSRC.P5,SH.UHC.NOP1.ZG,SI.DST.FRST.20,SI.DST.05TH.20,NE.GDI.TOTL.CD,NY.GDP.PCAP.CD,SH.XPD.CHEX.PC.CD,EG.USE.PCAP.KG.OE
1990,3.9800000111262,3.05229012075235,3.0,26.442,2.97255992889404,1426.0,72.0,25.8,72.8,88.339450638,20170.0,42.7,9926349250.81692,77.7850570678711,68.005,1.2406103427223332,0.9982041642069802,8.3,40.8,123261300353.728,317.884673040928,222.365779114,766.995329395649
1991,2.36999988555908,3.55668565220449,3.0,27.312,2.89145994186401,2011.0,20.36470588235294,29.817647058823525,31.97647058823529,88.339450638,20920.0,42.4,9802375366.07312,91.56412811279296,68.169,1.2406103427223332,0.9982041642069802,6.329411764705884,45.835294117647045,135086802707.317,333.142145400184,222.365779114,736.851801386885
1992,2.36999988555908,6.3539813402487,3.0,28.2,2.80566000938416,82576.0,20.36470588235294,29.817647058823525,31.97647058823529,88.339450638,21560.0,41.8,12244267842.2149,91.56412811279296,68.734,1.2406103427223332,0.9982041642069802,6.329411764705884,45.835294117647045,166803943772.371,366.460692302073,222.365779114,752.628662540666
1993,2.69000005722046,14.6100786356603,3.0,29.103,2.88968992233276,111507.0,62.7,26.6,68.6,88.339450638,22710.0,40.9,12360225860.6446,91.56412811279296,69.216,1.2406103427223332,0.9982041642069802,7.9,42.2,192493706988.892,377.389839479958,222.365779114,788.128723566749
1994,2.90000009536743,24.2569897243361,3.0,30.024,3.61140990257263,113908.0,20.36470588235294,29.817647058823525,31.97647058823529,88.339450638,23020.0,39.7,9867120066.27418,91.56412811279296,69.52,1.2406103427223332,0.9982041642069802,6.329411764705884,45.835294117647045,226013641335.7,473.492278718042,222.365779114,816.162889997357
