销售日期,分类名称,销量(千克)
2020-07-01,花叶类,205.402
2020-07-02,花叶类,198.362
2020-07-03,花叶类,190.779
2020-07-04,花叶类,236.587
2020-07-05,花叶类,223.899
2020-07-06,花叶类,195.74
2020-07-07,花叶类,172.052
2020-07-08,花叶类,152.57
2020-07-09,花叶类,187.439
2020-07-10,花叶类,179.833
2020-07-11,花叶类,270.343
2020-07-12,花叶类,300.189
2020-07-13,花叶类,190.832
2020-07-14,花叶类,190.599
2020-07-15,花叶类,217.442
2020-07-16,花叶类,212.526
2020-07-17,花叶类,195.67
2020-07-18,花叶类,274.265
2020-07-19,花叶类,319.791
2020-07-20,花叶类,204.997
2020-07-21,花叶类,214.99
2020-07-22,花叶类,232.41
2020-07-23,花叶类,199.984
2020-07-24,花叶类,176.325
2020-07-25,花叶类,227.137
2020-07-26,花叶类,250.825
2020-07-27,花叶类,198.009
2020-07-28,花叶类,165.443
2020-07-29,花叶类,193.729
2020-07-30,花叶类,201.743
2020-07-31,花叶类,197.166
2020-08-01,花叶类,229.89000000000001
2020-08-02,花叶类,243.138
2020-08-03,花叶类,207.843
2020-08-04,花叶类,180.012
2020-08-05,花叶类,244.395
2020-08-06,花叶类,234.777
2020-08-07,花叶类,204.941
2020-08-08,花叶类,311.161
2020-08-09,花叶类,250.59
2020-08-10,花叶类,210.292
2020-08-11,花叶类,216.713
2020-08-12,花叶类,206.877
2020-08-13,花叶类,188.208
2020-08-14,花叶类,217.758
2020-08-15,花叶类,245.136
2020-08-16,花叶类,241.48
2020-08-17,花叶类,215.633
2020-08-18,花叶类,225.113
2020-08-19,花叶类,214.173
2020-08-20,花叶类,233.532
2020-08-21,花叶类,207.076
2020-08-22,花叶类,273.081
2020-08-23,花叶类,261.552
2020-08-24,花叶类,260.694
2020-08-25,花叶类,343.427
2020-08-26,花叶类,241.686
2020-08-27,花叶类,199.007
2020-08-28,花叶类,195.032
2020-08-29,花叶类,267.031
2020-08-30,花叶类,266.387
2020-08-31,花叶类,224.882
2020-09-01,花叶类,190.627
2020-09-02,花叶类,179.819
2020-09-03,花叶类,193.463
2020-09-04,花叶类,176.316
2020-09-05,花叶类,249.559
2020-09-06,花叶类,275.793
2020-09-07,花叶类,148.221
2020-09-08,花叶类,158.329
2020-09-09,花叶类,131.492
2020-09-10,花叶类,119.919
2020-09-11,花叶类,151.957
2020-09-12,花叶类,231.525
2020-09-13,花叶类,263.345
2020-09-14,花叶类,175.844
2020-09-15,花叶类,156.048
2020-09-16,花叶类,176.949
2020-09-17,花叶类,143.534
2020-09-18,花叶类,154.388
2020-09-19,花叶类,235.874
2020-09-20,花叶类,317.998
2020-09-21,花叶类,212.99699999999999
2020-09-22,花叶类,232.243
2020-09-23,花叶类,179.262
2020-09-24,花叶类,162.861
2020-09-25,花叶类,173.781
2020-09-26,花叶类,226.926
2020-09-27,花叶类,199.813
2020-09-28,花叶类,114.933
2020-09-29,花叶类,157.957
2020-09-30,花叶类,177.129
2020-10-01,花叶类,248.415
2020-10-02,花叶类,244.124
2020-10-03,花叶类,298.341
2020-10-04,花叶类,232.776
2020-10-05,花叶类,294.623
2020-10-06,花叶类,286.959
2020-10-07,花叶类,255.378
2020-10-08,花叶类,252.73
2020-10-09,花叶类,162.518
2020-10-10,花叶类,175.163
2020-10-11,花叶类,238.081
2020-10-12,花叶类,170.212
2020-10-13,花叶类,177.945
2020-10-14,花叶类,182.96
2020-10-15,花叶类,190.238
2020-10-16,花叶类,170.77
2020-10-17,花叶类,248.762
2020-10-18,花叶类,226.735
2020-10-19,花叶类,152.709
2020-10-20,花叶类,186.078
2020-10-21,花叶类,168.765
2020-10-22,花叶类,117.235
2020-10-23,花叶类,211.914
2020-10-24,花叶类,282.107
2020-10-25,花叶类,223.397
2020-10-26,花叶类,157.373
2020-10-27,花叶类,154.566
2020-10-28,花叶类,167.542
2020-10-29,花叶类,120.551
2020-10-30,花叶类,148.243
2020-10-31,花叶类,248.102
2020-11-01,花叶类,206.956
2020-11-02,花叶类,144.442
2020-11-03,花叶类,135.067
2020-11-04,花叶类,122.114
2020-11-05,花叶类,146.327
2020-11-06,花叶类,142.586
2020-11-07,花叶类,223.593
2020-11-08,花叶类,209.808
2020-11-09,花叶类,144.911
2020-11-10,花叶类,157.962
2020-11-11,花叶类,150.867
2020-11-12,花叶类,151.144
2020-11-13,花叶类,141.977
2020-11-14,花叶类,207.145
2020-11-15,花叶类,227.231
2020-11-16,花叶类,140.087
2020-11-17,花叶类,222.517
2020-11-18,花叶类,203.322
2020-11-19,花叶类,207.8
2020-11-20,花叶类,244.555
2020-11-21,花叶类,460.103
2020-11-22,花叶类,371.968
2020-11-23,花叶类,294.311
2020-11-24,花叶类,220.189
2020-11-25,花叶类,237.713
2020-11-26,花叶类,282.923
2020-11-27,花叶类,225.596
2020-11-28,花叶类,400.295
2020-11-29,花叶类,287.707
2020-11-30,花叶类,207.353
2020-12-01,花叶类,287.797
2020-12-02,花叶类,213.665
2020-12-03,花叶类,274.097
2020-12-04,花叶类,242.529
2020-12-05,花叶类,306.959
2020-12-06,花叶类,367.129
