,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,average
88,Albania,0.170344564,0.169429739,0.148762637,0.145768433,0.113219665,0.070796204,0.172831038,0.233648914,0.185266093,0.172207112,0.173918388,0.150922809,0.143722041,0.169258787,0.190873172,0.191483985,0.221831241,0.188703783,0.192459782,0.16870781
61,Argentina,0.153337984,0.238257754,0.249475846,0.229512579,0.177786646,0.10222991,0.212216527,0.196799182,0.244472668,0.220481771,0.193738344,0.204243416,0.163510613,0.203197857,0.15663688,0.183339563,0.204305233,0.149950476,0.175876782,0.192598423
80,Armenia,0.225867111,0.218221096,0.194159088,0.177602076,0.168258438,0.10697588,0.193901346,0.111803573,0.17307733,0.186908863,0.227992142,0.191873597,0.185130559,0.173292106,0.136305606,0.18614166,0.224655172,0.23834162,0.181494405,0.184315877
9,Australia,0.398142474,0.405339418,0.422193939,0.379059808,0.342970635,0.207565102,0.407205904,0.434083698,0.477499348,0.493380588,0.522656969,0.547997569,0.488823354,0.515699412,0.464012973,0.497450196,0.514925364,0.456048196,0.468408659,0.444392821
12,Austria,0.452333609,0.497726324,0.449758784,0.373364376,0.347515019,0.221731667,0.408668495,0.443612382,0.432899617,0.425115552,0.398678137,0.421099699,0.411492417,0.420440392,0.428691766,0.448795928,0.473287864,0.46119403,0.43473894,0.418481316
110,Azerbaijan,0.401376043,0.237441067,0.226691549,0.265147188,0.312277549,0.167479329,0.366130269,0.313199787,0.258431786,0.300556607,0.250301654,0.24260066,0.239445455,0.167788717,0.167842672,0.17909262,0.244670667,0.331895337,0.188465138,0.255833374
112,Bangladesh,0.19846122,0.191005898,0.176594912,0.159161252,0.128459052,0.077335706,0.170963727,0.251477209,0.191954001,0.186528416,0.209348049,0.191005856,0.18404363,0.19646177,0.207282769,0.178592295,0.220854903,0.190197374,0.215011612,0.185512613
69,Belarus,0.172630549,0.170615267,0.180395909,0.145247855,0.126176582,0.078206202,0.172629711,0.212317565,0.211420894,0.19552654,0.214394899,0.195885117,0.207934342,0.156028554,0.165383505,0.200738022,0.23609845,0.231464122,0.214644043,0.183565165
14,Belgium,0.445357902,0.472828573,0.455622906,0.359999723,0.345677452,0.214564941,0.386541099,0.425310213,0.415127491,0.387377635,0.363487853,0.390428574,0.385836726,0.395858626,0.396892187,0.422799506,0.441303534,0.417007776,0.411027713,0.396476338
48,Belize,0.198590302,0.18685246,0.16128739,0.140028428,0.122493646,0.076809219,0.194431504,0.220664496,0.184836563,0.188307958,0.218083352,0.205068259,0.193273315,0.178553655,0.151950259,0.155075461,0.211647784,0.194677043,0.155105435,0.175670344
79,Benin,0.192279674,0.190366973,0.184018038,0.153840551,0.13394541,0.081901624,0.195501387,0.233484039,0.186276598,0.192280996,0.216328395,0.210510314,0.19570147,0.1552051,0.165356464,0.171446902,0.22038642,0.23057652,0.215500587,0.185521445
20,Bhutan,0.221109628,0.151318891,0.211123408,0.121761175,0.14539943,0.13393016,0.170798742,0.269847618,0.240357881,0.19577093,0.204853591,0.155217778,0.235281758,0.215328719,0.225302357,0.162130762,0.207801034,0.218912384,0.177464331,0.192826872
92,Bolivia,0.14488769,0.138500086,0.140284915,0.1539967,0.182469625,0.083656107,0.235126116,0.249790934,0.203183322,0.218834234,0.236676762,0.225568733,0.180736015,0.171877125,0.157387731,0.13460617,0.188546979,0.117747328,0.155118831,0.174683969
64,Bosnia and Herzegovina,0.199817615,0.200367457,0.198591414,0.185294717,0.164150281,0.083113234,0.168694718,0.18943262,0.173713534,0.176063776,0.168951534,0.191079571,0.167300755,0.201690723,0.206732925,0.222143677,0.235850725,0.241952448,0.200655838,0.188189345
24,Botswana,0.207905115,0.218481826,0.215457214,0.299942586,0.286288327,0.11407602,0.132784442,0.086166206,0.212864969,0.225276405,0.20858013,0.286395048,0.253487002,0.137999982,0.243999087,0.203524903,0.211643803,0.128316719,0.165660187,0.202044735
49,Brazil,0.182929851,0.151486874,0.174827631,0.145341807,0.112488441,0.080462985,0.197765962,0.230921421,0.226547028,0.214539562,0.208584918,0.204429479,0.158284696,0.120220247,0.111607189,0.137962458,0.196525241,0.139417442,0.183026425,0.167229982
51,Bulgaria,0.227448465,0.212824358,0.219710643,0.21225938,0.184915728,0.101684901,0.239021403,0.21547396,0.186679053,0.197156375,0.204988141,0.183045102,0.166852562,0.1962979,0.223607383,0.221086921,0.235788731,0.22858333,0.215008225,0.20381224
53,Burkina Faso,0.181047652,0.201286532,0.152520915,0.143258863,0.273974722,0.055168733,0.166204259,0.231482197,0.201894825,0.197496365,0.210696873,0.188139387,0.185302828,0.187410495,0.196677935,0.154922105,0.2143691,0.188582897,0.20759263,0.186212069
117,Burundi,0.17444934,0.082130697,0.08185042,0.085370604,0.07501954,0.061541908,0.168784353,0.234358003,0.187268301,0.177095237,0.190312853,0.194152846,0.166462669,0.111021124,0.113962279,0.133644529,0.176274218,0.12053048,0.199967135,0.143905081
113,Cameroon,0.235414679,0.210243561,0.196534732,0.204024662,0.372658317,0.094085132,0.208830696,0.243622102,0.187917127,0.184917902,0.208508116,0.185421351,0.174733587,0.187401971,0.166361408,0.153504048,0.209943543,0.17394983,0.206473559,0.20023928
8,Canada,0.44021942,0.453482949,0.428172725,0.390488982,0.368456717,0.219791077,0.38878124,0.397987495,0.442145209,0.429117157,0.427542956,0.444046898,0.429201193,0.418576918,0.407789637,0.437373077,0.440719007,0.432053038,0.392677808,0.409927553
17,Chile,0.221277148,0.217217531,0.233850983,0.245046972,0.23731734,0.131077737,0.251823616,0.226419671,0.238829629,0.262326823,0.271692157,0.241268189,0.216351666,0.220094613,0.210144184,0.214665471,0.259503677,0.207913533,0.214066955,0.227415152
68,China,0.222681304,0.209522168,0.203458544,0.182275526,0.170801872,0.115190128,0.221741927,0.289379544,0.231358132,0.230617537,0.244121241,0.227513061,0.220268023,0.220109594,0.219675991,0.205599658,0.236330061,0.185705494,0.22346117,0.213674262
58,Colombia,0.185704138,0.185047301,0.186162485,0.181485144,0.141791566,0.08465356,0.197020974,0.232133181,0.197069487,0.213986478,0.229608815,0.217809126,0.201827402,0.185769502,0.181613874,0.176183051,0.205035425,0.178682732,0.179049679,0.187401785
28,Costa Rica,0.186832829,0.188326759,0.170664982,0.154154422,0.144655445,0.093217316,0.20198887,0.21864809,0.199827124,0.188466493,0.206477585,0.177381471,0.170009102,0.199045229,0.20016296,0.181316538,0.218017062,0.158370946,0.209229651,0.182462783
