"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5360","5470","5660","5820","6070","6330","6480","6690","6890","6960","7030","7290","7510","7820","8150","8230","8450","8540","8930","9030","9300","9460","9450","9870","10150","10330","10410","10560","10610","10780","","",
"Afghanistan","AFG","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","",
"Africa Western and Central","AFW","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3770","3920","4080","4110","4140","4260","4430","4660","4670","4840","4990","5170","5400","5550","5750","5890","5970","6080","6340","6550","6960","7210","7630","8040","8170","8180","8450","8540","8700","8930","","",
"Angola","AGO","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","170","170","180","190","180","180","180","180","190","190","190","200","210","230","220","240","250","280","300","300","320","340","360","370","380","370","340","350","370","","",
"Albania","ALB","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","30","30","30","30","30","30","30","50","50","50","60","60","60","60","50","60","60","50","50","60","50","50","60","60","70","70","70","70","","",
"Andorra","AND","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3880","3870","4220","4410","4600","4650","4760","4890","5000","5040","8070","8300","8520","8580","8990","9350","9700","10110","10620","11090","11540","11810","12450","12690","13070","13210","13420","13590","13370","13450","","",
"United Arab Emirates","ARE","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","250","250","270","270","290","290","290","290","300","330","370","420","460","470","500","520","540","580","650","690","690","730","830","860","780","860","1000","920","880","","",
"Argentina","ARG","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","670","710","750","790","770","780","890","890","940","880","850","770","710","730","780","790","840","910","980","900","1060","1160","1180","1260","1230","1290","1310","1370","1370","1360","","",
"Armenia","ARM","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","60","40","10","10","0","0","0","0","20","20","20","20","20","20","20","20","30","30","30","30","30","30","40","40","40","40","40","40","","",
"American Samoa","ASM","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2300","2300","2350","2370","2430","2520","2560","2640","2700","2760","2760","2800","2810","2930","2960","2970","3050","3130","3110","3100","3110","3140","3160","3110","3220","3280","3350","3350","3320","","",
"Austria","AUT","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","510","550","530","530","520","540","570","550","570","570","580","620","640","690","700","730","770","800","800","810","850","830","830","850","840","860","860","850","840","850","","",
"Azerbaijan","AZE","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","160","140","130","120","110","100","100","100","70","90","80","70","90","90","100","110","100","120","110","120","140","150","170","170","160","150","170","180","180","","",
"Burundi","BDI","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","650","660","650","670","660","670","660","670","650","660","680","640","670","670","660","670","680","700","710","760","730","730","730","720","730","770","760","760","760","","",
"Benin","BEN","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","60","60","60","80","90","90","90","70","80","80","90","90","100","110","120","130","140","130","130","130","150","160","170","200","210","220","210","","",
"Burkina Faso","BFA","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","60","60","60","60","60","60","40","40","50","60","60","70","70","80","80","90","90","110","110","130","130","130","140","150","170","180","190","","",
"Bangladesh","BGD","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","390","400","410","420","430","450","440","470","470","470","480","510","520","530","550","560","570","580","600","600","630","680","690","680","700","730","730","760","800","820","","",
"Bulgaria","BGR","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370","270","280","300","270","270","260","250","280","260","250","260","260","280","290","290","300","310","320","290","310","330","330","300","320","350","340","350","360","360","","",
"Bahrain","BHR","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","30","30","30","30","40","40","40","40","40","50","50","50","60","70","70","70","70","80","70","80","80","90","90","90","90","100","100","","",
"Bahamas, The","BHS","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","110","80","80","30","40","40","60","80","70","100","100","100","100","110","110","120","130","140","140","140","150","140","130","130","140","160","150","190","190","","",
"Belarus","BLR","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","580","520","540","360","340","360","360","360","340","290","290","290","290","300","330","360","360","400","350","360","370","380","380","370","340","340","360","370","380","","",
"Belize","BLZ","Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.EG.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
