Indicator Name,Unemployment rate,Inflation,Urban population,"School enrollment, tertiary",Refugee population,Poverty headcount ratio,Poverty gap at $6.85 a day,Out-of-pocket expenditure per capita,Nitrous oxide emissions,"Mortality rate, infant",Military expenditure,Literacy rate,Life expectancy,Intentional homicides,Increase in poverty gap,Lower 20% income,Highest 20% income,Gross capital formation,GDP per capita,Health expenditure per capita,Energy use per capita
1990,3.980000011,3.052290121,26.442,2.972559929,1426,72,72.8,88.33945064,20170,42.7,9926349251,77.78505707,68.005,1.240610343,0.998204164,8.3,40.8,1.23E+11,317.884673,222.3657791,766.9953294
1991,2.369999886,3.556685652,27.312,2.891459942,2011,20.36470588,31.97647059,88.33945064,20920,42.4,9802375366,91.56412811,68.169,1.240610343,0.998204164,6.329411765,45.83529412,1.35E+11,333.1421454,222.3657791,736.8518014
1992,2.369999886,6.35398134,28.2,2.805660009,82576,20.36470588,31.97647059,88.33945064,21560,41.8,12244267842,91.56412811,68.734,1.240610343,0.998204164,6.329411765,45.83529412,1.67E+11,366.4606923,222.3657791,752.6286625
1993,2.690000057,14.61007864,29.103,2.889689922,111507,62.7,68.6,88.33945064,22710,40.9,12360225861,91.56412811,69.216,1.240610343,0.998204164,7.9,42.2,1.92E+11,377.3898395,222.3657791,788.1287236
1994,2.900000095,24.25698972,30.024,3.611409903,113908,20.36470588,31.97647059,88.33945064,23020,39.7,9867120066,91.56412811,69.52,1.240610343,0.998204164,6.329411765,45.83529412,2.26E+11,473.4922787,222.3657791,816.16289
1995,3,16.79122517,30.961,4.390140057,104691,20.36470588,31.97647059,88.33945064,24240,38.4,12385129475,91.56412811,70.008,2.204492483,0.712411106,6.329411765,45.83529412,2.85E+11,609.6566792,222.3657791,866.8343743
1996,3.119999886,8.313160289,31.916,4.91531992,105806,48.1,61.1,88.33945064,24730,36.9,14275400820,91.56412811,70.266,2.030222556,0.998204164,7.4,42.9,3.24E+11,709.4137551,222.3657791,881.6537374
1997,3.230000019,2.786465055,32.883,5.350110054,106731,20.36470588,31.97647059,88.33945064,24640,35.4,15699586769,91.56412811,70.672,2.065775141,0.998204164,6.329411765,45.83529412,3.42E+11,781.7441643,222.3657791,871.7563238
1998,3.24000001,-0.773186012,33.867,5.863930225,109396,20.36470588,31.97647059,88.33945064,24960,33.7,17031780200,91.56412811,71.172,1.240610343,0.998204164,6.329411765,45.83529412,3.58E+11,828.5804793,222.3657791,869.3586073
1999,3.25,-1.401472683,34.865,6.394279957,111950,46,58.5,88.33945064,24480,31.9,20473915095,91.56412811,71.419,1.240610343,0.998204164,6.5,45.6,3.73E+11,873.2870617,222.3657791,878.5245355
2000,3.25999999,0.347811227,35.877,7.590410233,110967,20.36470588,31.97647059,25.32022551,27070,29.9,22237140151,90.92021179,71.881,1.240610343,1.531806216,6.329411765,45.83529412,4.07E+11,959.3724836,42.11240387,898.9873131
