,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,average
88,Albania,0.272367569,0.31962496,0.335444217,0.337703213,0.363093697,0.390181723,0.367148189,0.371541488,0.466330451,0.505765047,0.554078744,0.583171049,0.555068209,0.544962274,0.472109653,0.457111989,0.427118643,0.446701076,0.427465785,0.43142042
61,Argentina,0.729104957,0.722569115,0.720610391,0.704083673,0.691129908,0.656779789,0.664201378,0.681426869,0.717786476,0.713694015,0.700743776,0.695218194,0.675134916,0.722635188,0.677115437,0.671040309,0.655444437,0.65363095,0.666745921,0.690478721
80,Armenia,0.456956167,0.48638024,0.479914774,0.465908508,0.491831903,0.505612534,0.493134338,0.513204097,0.53241909,0.523132535,0.454846167,0.449408301,0.42093349,0.430178856,0.420439373,0.420643175,0.423736552,0.400197075,0.382714851,0.460610107
9,Australia,0.858023213,0.868306105,0.86290456,0.855258406,0.852930836,0.836454569,0.8328648,0.841386843,0.854500969,0.823022901,0.783742928,0.764894583,0.730296743,0.999194198,0.922223398,0.833738213,0.76488035,0.789920333,0.769048581,0.833873291
12,Austria,0.741760329,0.759753542,0.752530158,0.728812167,0.71616304,0.649034179,0.6503618,0.66709794,0.742325296,0.739227504,0.71587014,0.708935921,0.663534011,0.697792657,0.654858694,0.640705758,0.627615401,0.607484562,0.601016728,0.687625254
110,Azerbaijan,0.266984246,0.31109953,0.312704744,0.296687329,0.303999035,0.310403085,0.280745644,0.27093657,0.294301549,0.308545383,0.303719216,0.319799538,0.28361579,0.310152015,0.310610559,0.299116207,0.293254117,0.314909913,0.323824913,0.30081102
112,Bangladesh,0.213534559,0.272784456,0.271553012,0.243573108,0.26099829,0.275633074,0.237027106,0.238972243,0.270016271,0.298206099,0.293941092,0.303519687,0.245111623,0.261486581,0.288472503,0.276685851,0.270914185,0.291086312,0.288846203,0.268545382
69,Belarus,0.716935052,0.738333993,0.736168303,0.746561409,0.730613665,0.721471143,0.694377123,0.721807432,0.775991667,0.791962081,0.806244544,0.799859072,0.754554516,0.758409431,0.678049952,0.653311223,0.624785777,0.605950038,0.588299415,0.718088728
14,Belgium,0.710097175,0.707457952,0.704388792,0.68361557,0.655744471,0.63082702,0.615152948,0.640279503,0.671651585,0.66327832,0.648108179,0.644381267,0.615555804,0.646790742,0.598790827,0.599763935,0.574131739,0.564548399,0.55764787,0.638537479
48,Belize,0.254598347,0.302111416,0.300015214,0.269801529,0.290559371,0.297913066,0.253468489,0.278891871,0.295306254,0.32672524,0.33193366,0.338233082,0.270645643,0.300171673,0.300950225,0.277453343,0.260571962,0.26252848,0.28823562,0.28947971
