,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,0.077765143,0.0794138,0.094828161,0.110558087,0.12699322,0.146301645,0.153003212,0.159166436,0.21238965,0.237797927,0.282485413,0.308146231,0.313621907,0.295622858,0.278336908,0.273537957,0.262029491,0.284995464,0.275625568
1,Argentina,0.167579506,0.17406258,0.174888089,0.170832193,0.178838939,0.177361804,0.181755881,0.187496445,0.195574983,0.203763182,0.206831452,0.208908173,0.216310962,0.224339417,0.232916053,0.240247161,0.244632578,0.25490736,0.264837777
2,Armenia,0.159910644,0.164653177,0.167591811,0.174951559,0.190738658,0.203194589,0.214512697,0.22709989,0.234419523,0.235961829,0.204199228,0.20233834,0.208287634,0.205808514,0.225974436,0.231156349,0.241415191,0.227776478,0.224808379
3,Australia,0.144157612,0.148857786,0.153263567,0.171693575,0.176220866,0.177514401,0.181779426,0.182022553,0.182990172,0.185958785,0.185051224,0.18568882,0.186853885,0.259082307,0.264226019,0.247136988,0.235485673,0.25327463,0.249425549
4,Austria,0.153200036,0.157308971,0.161065193,0.181814904,0.184610097,0.17398735,0.181823633,0.187965874,0.208693836,0.216629632,0.217842382,0.219819636,0.218448915,0.222755935,0.230304984,0.234726435,0.239227976,0.238640686,0.240671376
5,Azerbaijan,0.171495533,0.136781095,0.175449931,0.177402207,0.157818219,0.154430019,0.151904304,0.151982625,0.153596176,0.156684601,0.162993906,0.170984482,0.184695673,0.20322502,0.20675964,0.215858873,0.220971481,0.251528757,0.281101466
6,Burundi,0.121811757,0.110188509,0.158228325,0.159393737,0.158777714,0.161070369,0.17267666,0.182502149,0.210604203,0.239218356,0.198609004,0.244445329,0.294185574,0.332156469,0.238200867,0.253529891,0.262569172,0.253892263,0.321478755
7,Belgium,0.169800999,0.171092556,0.174490727,0.174669758,0.176294234,0.174997594,0.17753136,0.18662851,0.193952422,0.199709943,0.20356871,0.20620933,0.208731076,0.213198545,0.217004103,0.227787271,0.225612504,0.22914962,0.231295852
8,Benin,0.107077067,0.11884184,0.120377025,0.118995154,0.137036876,0.163723091,0.161913677,0.205871196,0.277160202,0.258664985,0.280783483,0.321218134,0.320990369,0.272699719,0.260546432,0.246959974,0.251846188,0.224168448,0.223121786
9,Burkina Faso,0.06970946,0.079060479,0.099954746,0.113929521,0.120527771,0.128982104,0.157070707,0.17448548,0.176741023,0.204742722,0.225103313,0.235861586,0.250685549,0.250036725,0.274632906,0.29642987,0.321042838,0.350385601,0.387299849
10,Bangladesh,0.099358956,0.100087816,0.092229048,0.100960749,0.115282585,0.124236987,0.139132333,0.170046834,0.202545703,0.217333338,0.21613527,0.211897769,0.21704864,0.215922441,0.279927507,0.28426715,0.321995379,0.376050147,0.375318852
11,Bulgaria,0.139904129,0.14243588,0.145629304,0.155254981,0.161356122,0.173119529,0.17765378,0.18560043,0.197782269,0.20200349,0.209981457,0.219672901,0.231210872,0.240580566,0.243811756,0.243075725,0.244755509,0.25111262,0.258047987
12,Bosnia and Herzegovina,0.122020161,0.154107261,0.162276092,0.171862786,0.185753531,0.201259606,0.219604397,0.224066003,0.228753981,0.219752963,0.233130579,0.242164338,0.257199885,0.262317059,0.265435324,0.250000617,0.227156406,0.210070867,0.198203871
13,Belarus,0.15490265,0.16205283,0.167581564,0.174186015,0.179700284,0.184735345,0.183595959,0.191933501,0.205128537,0.222036903,0.237332476,0.241126476,0.235859923,0.230877233,0.227313348,0.228001216,0.225365933,0.2262118,0.223220873
14,Belize,0.162511397,0.155929334,0.151637012,0.157728307,0.167560606,0.178999894,0.188030699,0.220627086,0.215289129,0.215655954,0.239437612,0.237936155,0.236320304,0.228932221,0.238387744,0.242744445,0.241604405,0.246037214,0.252033014
15,Bolivia,0.155173355,0.16368281,0.167473639,0.171814385,0.178136395,0.188706132,0.19135535,0.198517819,0.195331052,0.201441236,0.202753548,0.210644518,0.220832956,0.217053907,0.231435041,0.237178786,0.241130751,0.25121903,0.268332392
16,Brazil,0.104388134,0.117105574,0.12353284,0.131090661,0.177382594,0.155286841,0.179373818,0.186820213,0.224508104,0.219209664,0.227873718,0.237355502,0.253088016,0.258856253,0.255902751,0.26012061,0.268627964,0.278105304,0.275263035
17,Bhutan,0.072179342,0.100292891,0.096540091,0.112528156,0.118431472,0.127394646,0.150932211,0.144968156,0.154297157,0.181248534,0.179217489,0.243428829,0.252204155,0.315412461,0.266543405,0.330094754,0.327433639,0.347662652,0.368762156
18,Botswana,0.087389054,0.101785596,0.107889276,0.104870334,0.11509478,0.117398348,0.163484172,0.250145291,0.220200633,0.195848043,0.241135594,0.298346052,0.288419879,0.319387984,0.273670671,0.262571067,0.282186281,0.264909709,0.275551246
19,Canada,0.154705512,0.093206102,0.115000083,0.123105782,0.142445558,0.165236665,0.165671423,0.163848548,0.160185494,0.164891799,0.166225774,0.169737123,0.170466162,0.168320294,0.172612862,0.179064698,0.182157721,0.196669956,0.206589603
20,Switzerland,0.158088016,0.170030055,0.176057254,0.17684243,0.179674935,0.182395787,0.188537408,0.193613684,0.204384028,0.210355939,0.214355573,0.217249965,0.220954717,0.222798772,0.224109911,0.229963085,0.236968426,0.244422202,0.252244382
21,Chile,0.122945894,0.132358421,0.133761211,0.150320929,0.146867545,0.164290202,0.172738459,0.185466648,0.206634254,0.220072295,0.23119905,0.243455268,0.252255174,0.259624761,0.265475197,0.269361271,0.276766029,0.283479381,0.279119826
22,China,0.081852744,0.100158073,0.11466765,0.12371428,0.131052686,0.133010315,0.134066173,0.145466916,0.15684491,0.16623908,0.186188274,0.210222045,0.275018972,0.298415595,0.311240034,0.318073203,0.327997682,0.3484826,0.378655672
24,Cameroon,0.098273059,0.098997968,0.098431912,0.113067533,0.131599053,0.140334503,0.152347424,0.174852123,0.215618353,0.23330417,0.253019981,0.2955236,0.31464088,0.327811809,0.241138266,0.246602068,0.275726438,0.252103423,0.321490222
25,Colombia,0.12517521,0.133601465,0.138494844,0.151073742,0.160954217,0.166124823,0.177578897,0.184676941,0.194001256,0.211814752,0.223012767,0.239875367,0.253083045,0.262266722,0.273106006,0.277781035,0.272334411,0.270606851,0.266978028
26,Costa Rica,0.135641168,0.137095693,0.114824155,0.151237107,0.166168756,0.172729358,0.213928048,0.223139858,0.215094381,0.197358402,0.207220653,0.211089309,0.224978154,0.228516476,0.231040875,0.243485906,0.238240196,0.24842588,0.239309762
27,Cyprus,0.099808211,0.127089234,0.142596186,0.132087983,0.132879574,0.14382924,0.169451731,0.206770598,0.19208975,0.185044765,0.182356393,0.188963219,0.211146093,0.238966107,0.267076381,0.301945232,0.323401129,0.351822988,0.36952612
29,Germany,0.163574754,0.173744444,0.179650107,0.184029124,0.186207267,0.186061539,0.184211278,0.186761472,0.19124124,0.193418794,0.194106738,0.194877512,0.207947471,0.215067948,0.220889232,0.223003698,0.223308436,0.233398568,0.231710134
30,Djibouti,0.049891554,0.06230685,0.077595353,0.113656259,0.124732837,0.133958538,0.137589599,0.174872065,0.178773542,0.264249949,0.233404103,0.248911705,0.277576627,0.281561648,0.27906109,0.34512268,0.346291248,0.300430878,0.319177608
31,Denmark,0.168259563,0.17884638,0.1971027,0.212944875,0.209355242,0.208116809,0.200512738,0.196807989,0.194987613,0.203364178,0.209590222,0.21441934,0.214679102,0.217594539,0.214752396,0.21358473,0.215087817,0.216826915,0.21947507
32,Dominican Republic,0.130322088,0.152512395,0.14474901,0.152668175,0.175421477,0.167568446,0.207591045,0.215320782,0.211466458,0.204635631,0.217504205,0.192711205,0.220591591,0.231450643,0.243759102,0.267986016,0.266837208,0.273557422,0.258615377
33,Ecuador,0.14392742,0.145700467,0.15046699,0.159305036,0.18423655,0.18740879,0.193690172,0.221021032,0.232467125,0.229786084,0.198893409,0.201419893,0.240278685,0.224247005,0.247459449,0.247048785,0.237761797,0.239497429,0.262688192
34,"Egypt, Arab Rep.",0.196483719,0.176459356,0.18456119,0.19215488,0.190939873,0.193118079,0.191312317,0.194805492,0.200430805,0.171087507,0.176895026,0.192141154,0.198203476,0.223466994,0.216007787,0.224337118,0.248199722,0.229134506,0.239243427
35,Spain,0.161332678,0.167566127,0.173126792,0.175911461,0.179529429,0.180098798,0.182701518,0.18751862,0.198852416,0.20966335,0.215511128,0.219323375,0.22383066,0.224264207,0.226633077,0.232754777,0.238673803,0.243309815,0.251384625
36,Estonia,0.185617188,0.194249563,0.199633006,0.204848155,0.204706718,0.204130039,0.200411231,0.200984573,0.205667712,0.212257144,0.218307867,0.222971606,0.221121188,0.217682125,0.21533792,0.208266024,0.21224612,0.223908966,0.22277399
37,Ethiopia,0.050897296,0.071270716,0.080225547,0.086725547,0.091489951,0.130849765,0.111966646,0.165801146,0.230951474,0.24331138,0.253802878,0.264230757,0.25015242,0.29581046,0.314154346,0.323693702,0.321792565,0.304099513,0.323285831
38,Finland,0.183487233,0.18803764,0.193603451,0.19827941,0.201475791,0.202776933,0.204794292,0.197438399,0.202103765,0.205287589,0.200870011,0.196797209,0.192228354,0.189629189,0.188112354,0.190749404,0.19521315,0.201037969,0.205564335
39,Fiji,0.104254505,0.100505247,0.101616067,0.102751342,0.138481096,0.146199493,0.182933033,0.198636451,0.17432801,0.117763805,0.189061249,0.199599468,0.3207262,0.294832237,0.334690347,0.267810705,0.268545866,0.340620904,0.344825009
40,France,0.164186018,0.170933881,0.174660702,0.176048318,0.176025734,0.172994099,0.171451883,0.17242416,0.179313598,0.181744473,0.189204583,0.195542267,0.200971562,0.205138811,0.211483026,0.214993889,0.220683151,0.223343968,0.226573601
41,United Kingdom,0.202414319,0.200797195,0.192007109,0.190760458,0.190975078,0.189234829,0.183247973,0.187313256,0.190622166,0.191342231,0.19217102,0.184525353,0.182991073,0.18264812,0.189011965,0.19409089,0.198578984,0.212782544,0.224785898
42,Georgia,0.183488884,0.192238264,0.191947942,0.2154068,0.179146324,0.175290033,0.162962624,0.12108599,0.136606594,0.145837557,0.135176208,0.158953743,0.177261959,0.194871264,0.217296522,0.238180227,0.252951053,0.267964542,0.279593295
43,Ghana,0.086348726,0.109770678,0.119907103,0.108297639,0.096734893,0.118927939,0.156475486,0.162341542,0.18729755,0.217144995,0.220364321,0.255230249,0.284221445,0.289542957,0.286687704,0.295492622,0.289562508,0.31800249,0.344842242
44,Guinea,0.088760167,0.086245411,0.062136308,0.083251767,0.144375585,0.22400093,0.255374787,0.258981702,0.295013706,0.299496441,0.28476749,0.29901984,0.312851057,0.253351948,0.252848271,0.24847513,0.214382349,0.189958209,0.158089064
45,"Gambia, The",0.079232438,0.074465044,0.071439135,0.121410098,0.113604149,0.132322844,0.158526781,0.179146279,0.119065021,0.184502802,0.165683895,0.227243443,0.265869796,0.271369948,0.263253503,0.369768283,0.268148355,0.345144186,0.371466342
46,Guinea-Bissau,0.07704319,0.067872254,0.08669491,0.109976327,0.126577309,0.118909259,0.16902157,0.20309489,0.230463845,0.266296155,0.257420874,0.260685708,0.273411109,0.280569063,0.261186579,0.304921007,0.320214378,0.278274559,0.30917819
47,Greece,0.131150203,0.141405631,0.153964322,0.17232476,0.18199271,0.176532221,0.159550607,0.160907433,0.209661639,0.220494513,0.229748511,0.235073508,0.247243968,0.187100191,0.265703867,0.275928181,0.28855169,0.300022589,0.304759706
48,Guatemala,0.113571148,0.135800571,0.14387286,0.120255399,0.126231457,0.214000728,0.17632947,0.17799855,0.21752542,0.170644032,0.241218891,0.242098323,0.224657096,0.269171294,0.261426747,0.251474509,0.281177478,0.27360626,0.292741608
49,Honduras,0.140308978,0.172642585,0.172943662,0.145321575,0.150881764,0.154448021,0.19072145,0.213676138,0.210088381,0.207220419,0.206596695,0.21153628,0.214514559,0.219623198,0.22532023,0.262108746,0.281741777,0.274135958,0.258627691
50,Croatia,0.142266886,0.152972216,0.157802779,0.167943853,0.171024783,0.177036629,0.184451976,0.183032574,0.202701746,0.214704699,0.227533171,0.245870773,0.253281769,0.249457941,0.24961311,0.254614885,0.253822011,0.25407533,0.255481236
