,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
63,Finland,2.096402645,0.247865061,0.242679811,0.240059741,0.24494612,0.222364698,0.230635247,0.251508476,0.25133173,0.252607381,0.249781649,0.246513285,0.228973229,0.211301563,0.211461265,0.227139206,0.231375701,0.225941271,0.219179842,0.333266733
54,Denmark,2.024043322,0.241489015,0.264594582,0.244646988,0.257281032,0.27149347,0.259262721,0.257845326,0.242973281,0.243087492,0.229874036,0.224884475,0.206580215,0.210704507,0.214126089,0.205857586,0.213338975,0.220176634,0.217678653,0.328944126
115,Luxembourg,1.975256443,0.25506328,0.258041558,0.243568003,0.215364963,0.217975132,0.222192362,0.239680383,0.235954971,0.239560985,0.228680628,0.223104884,0.226644897,0.236403028,0.231721187,0.230676598,0.243321127,0.23734056,0.251970832,0.326974833
179,Sweden,1.962592721,0.256079717,0.266655909,0.239741641,0.228665266,0.256331262,0.247230317,0.259315582,0.249273584,0.244518045,0.24270523,0.227281102,0.213617926,0.217384728,0.215015234,0.216983046,0.216478578,0.216232438,0.217187786,0.325962637
36,Switzerland,1.937041759,0.209762503,0.258234548,0.220868039,0.24828038,0.243519736,0.24254605,0.23272085,0.223858252,0.222741748,0.225263334,0.217405562,0.251904349,0.23847943,0.239401834,0.245334445,0.242977931,0.232660681,0.240550292,0.324923775
143,Netherlands,1.933444738,0.25094466,0.265855151,0.24879639,0.229188525,0.221044875,0.216606977,0.222918956,0.227338236,0.233844132,0.236189948,0.232347002,0.235822567,0.238188653,0.237547634,0.237126116,0.236685154,0.230678107,0.236803501,0.324809017
92,Iceland,1.956811666,0.289836207,0.291658678,0.279729336,0.268615152,0.254182585,0.258974022,0.231857684,0.224613264,0.22419573,0.210773762,0.210843015,0.211207852,0.211494014,0.196126845,0.20548959,0.207244773,0.214829579,0.215327058,0.324411095
16,Belgium,1.915110826,0.282545179,0.280411737,0.258051061,0.263609968,0.242275749,0.208836515,0.237061333,0.250182636,0.260657918,0.25273154,0.257502221,0.229636643,0.235416885,0.215905283,0.192368724,0.190008231,0.172782309,0.168826287,0.321785318
13,Austria,1.880228162,0.273563248,0.261330563,0.238041991,0.259015701,0.264103597,0.251085123,0.235700815,0.256935739,0.227213248,0.221146423,0.222829375,0.220249007,0.20952099,0.213314764,0.212591997,0.21095853,0.215655366,0.233342198,0.321411939
35,Canada,1.860855937,0.253546443,0.250438287,0.248026173,0.24931439,0.23118602,0.234838292,0.229567511,0.234278323,0.233580491,0.231514048,0.234735951,0.231206067,0.231613844,0.233833673,0.243620953,0.225080485,0.227249803,0.21550593,0.321052243
144,Norway,1.833722353,0.228799996,0.256894552,0.231958595,0.234030199,0.251763477,0.228660891,0.229311395,0.233796176,0.228573857,0.237074643,0.234257721,0.227397567,0.232085902,0.232366045,0.246774453,0.234429779,0.231466536,0.240498494,0.319676981
68,United Kingdom,1.779725552,0.25627405,0.274185783,0.258551467,0.244654136,0.240925343,0.23992845,0.221380759,0.237515394,0.2354872,0.2335665,0.222071864,0.238415013,0.254222683,0.235397241,0.214656526,0.204483053,0.21673264,0.200842223,0.316263994
60,Spain,1.786120415,0.379386733,0.27824236,0.313606177,0.173368186,0.20611753,0.190545307,0.196688154,0.196954855,0.203101874,0.220792884,0.244024518,0.245210986,0.247521139,0.235064601,0.215648889,0.208922894,0.208000984,0.185354168,0.312351192
51,Germany,1.660018086,0.206210142,0.222913776,0.227983315,0.250098509,0.247833862,0.230022907,0.239355069,0.230324472,0.227958856,0.232630844,0.22961521,0.253101189,0.255750271,0.256810306,0.25002651,0.236495734,0.231703719,0.205507311,0.310229478
12,Australia,1.659198642,0.248186838,0.277868847,0.244433334,0.239088166,0.254597828,0.249819898,0.238282519,0.246883709,0.236624806,0.225830747,0.228610634,0.224216165,0.218464101,0.218710372,0.214297925,0.222426352,0.219115615,0.225444382,0.310110573
199,United States,1.620927811,0.236721128,0.267530723,0.235354496,0.243157828,0.252590179,0.246724152,0.231082475,0.238660779,0.23274304,0.233885249,0.233243434,0.224832143,0.22441092,0.226127285,0.238222655,0.241275699,0.227937466,0.201502728,0.308259484
89,Ireland,1.571493626,0.239139472,0.242804073,0.27657447,0.244799494,0.24837344,0.238347627,0.21293592,0.214871578,0.231791537,0.245990797,0.240501851,0.255689226,0.247410214,0.217284065,0.20766295,0.225500265,0.205531557,0.235221658,0.305364411
65,France,1.544081688,0.262347384,0.279009193,0.264828675,0.258807101,0.232723057,0.250123171,0.234764674,0.232475819,0.22129053,0.218267653,0.235654103,0.224684937,0.22959967,0.224270258,0.213144832,0.230872379,0.217120695,0.197021634,0.303741445
