,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
63,Finland,2.096402645,2.193020582,2.147143364,2.123961926,2.167194843,1.967402577,2.040577412,2.225256205,2.223692417,2.234978914,2.209977865,2.181060553,2.025872469,1.869519949,1.870932937,2.0096457,2.047128677,1.999046803,1.939224124,2.082738945
54,Denmark,2.024043322,2.087046385,2.286734104,2.114338875,2.223527431,2.346357107,2.240653992,2.228404284,2.09987402,2.100861073,1.98666501,1.943543196,1.785350323,1.820994139,1.850564837,1.779105067,1.843762279,1.902856112,1.881267548,2.028734163
36,Switzerland,1.937041759,1.752962708,2.158038378,1.845770478,2.074852467,2.035068274,2.026931286,1.944823146,1.870759368,1.861428857,1.882501483,1.816834927,2.105137587,1.992946982,2.000655413,2.050233603,2.030540466,1.944320321,2.010252953,1.965321077
144,Norway,1.833722353,1.83330977,2.058423519,1.858618736,1.875217915,2.017309666,1.832195163,1.83740747,1.873342752,1.831497788,1.899612188,1.877040982,1.822072506,1.85963881,1.861883521,1.977334023,1.878419638,1.854676008,1.927046537,1.884672071
179,Sweden,1.962592721,2.016003609,2.099265337,1.887381077,1.800181627,2.017983913,1.94633615,2.041478157,1.962421894,1.924983621,1.910712123,1.789284706,1.681720495,1.711374879,1.69272089,1.708212614,1.704241157,1.70230341,1.709824443,1.856264359
143,Netherlands,1.933444738,1.953932524,2.070030212,1.937205434,1.784532547,1.721123576,1.686568737,1.735715747,1.770125628,1.820782542,1.83904779,1.809125423,1.836187243,1.854610324,1.84961915,1.84633708,1.842903614,1.796130896,1.843825102,1.838486753
35,Canada,1.860855937,1.923825741,1.90024209,1.881939769,1.891714334,1.754162312,1.781874537,1.741881609,1.77762568,1.772330761,1.756651282,1.781098008,1.754314423,1.7574085,1.774251819,1.848514438,1.707835555,1.724295616,1.63518703,1.790842602
115,Luxembourg,1.975256443,1.855200052,1.876862526,1.771589279,1.566454768,1.585439801,1.616113782,1.743312716,1.716215968,1.742444277,1.663306117,1.622750998,1.64849925,1.719474912,1.685421586,1.677823782,1.76979363,1.726294041,1.832707167,1.726050584
12,Australia,1.659198642,1.7724967,1.984479189,1.745689988,1.707515955,1.818282604,1.78415966,1.701762199,1.763190031,1.689923167,1.612834334,1.632687688,1.601303339,1.560223341,1.561982155,1.530469418,1.588520885,1.564876318,1.610074997,1.678403716
13,Austria,1.880228162,1.929604173,1.843319774,1.679051638,1.826991677,1.862879634,1.771052599,1.662537932,1.812320471,1.602670074,1.559877157,1.571748018,1.553547144,1.477876067,1.504635811,1.499537706,1.48801589,1.521145463,1.645901203,1.668049505
