,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
144,Norway,1.487174869,1.529246092,1.70420897,1.640593052,1.542179823,1.549854994,1.548039079,1.548879385,1.595087767,1.626358032,1.728163242,1.737975121,1.684117794,1.687934279,1.664896011,1.69440949,1.696236134,1.655222058,1.724217772,1.633936524
54,Denmark,1.532867908,1.601452231,1.800991774,1.739608884,1.5716362,1.477704406,1.538305998,1.538259983,1.541956902,1.551707029,1.674114227,1.666270614,1.524606586,1.552847028,1.541412592,1.517765045,1.561579704,1.545183182,1.519085526,1.578808201
179,Sweden,1.50778389,1.548605323,1.739247203,1.584472775,1.48571825,1.510136127,1.520166636,1.546038389,1.542725921,1.612955451,1.690358043,1.658110142,1.61111927,1.565330386,1.564685822,1.569253325,1.568357587,1.560920477,1.502536297,1.573080069
63,Finland,1.552903652,1.572457075,1.783608437,1.687096953,1.494072199,1.460226774,1.463081241,1.465267062,1.486712694,1.507551432,1.60069716,1.573705554,1.54194665,1.543606997,1.531785488,1.55935812,1.576915145,1.564850807,1.614037514,1.55683584
36,Switzerland,1.42574501,1.453932285,1.692533612,1.586438179,1.518005848,1.503814816,1.516829848,1.55331099,1.584911227,1.584807515,1.640122056,1.628098488,1.559519053,1.558521271,1.531843781,1.556875706,1.579946637,1.496996284,1.539667368,1.553258946
115,Luxembourg,1.408296943,1.533095598,1.668277264,1.581917882,1.547201157,1.537699461,1.545579076,1.555080533,1.574835777,1.604539394,1.649900675,1.631096363,1.554711699,1.546830535,1.50026691,1.521881342,1.530774593,1.493499994,1.501623631,1.551953096
143,Netherlands,1.469413996,1.52679491,1.696608305,1.666020036,1.539821029,1.523433328,1.483085513,1.464387774,1.450568914,1.537047744,1.605585456,1.566972613,1.547310829,1.561163306,1.540332079,1.495971799,1.487584591,1.485403895,1.524296045,1.535358009
35,Canada,1.499053836,1.547556758,1.668454528,1.506879449,1.415594816,1.384671569,1.40752852,1.401895523,1.352658749,1.380144596,1.437505364,1.453486681,1.412388206,1.467146516,1.44514811,1.477725148,1.490133643,1.431864738,1.475401282,1.455538844
92,Iceland,1.472992182,1.555669427,1.628327966,1.568608046,1.445336819,1.431000233,1.425650001,1.415214062,1.445752382,1.410729647,1.442950368,1.439568877,1.357352972,1.376521587,1.356110215,1.379182339,1.377619147,1.30392909,1.385486007,1.432526388
12,Australia,1.407233238,1.442127824,1.501541972,1.507055759,1.382794738,1.369199991,1.368076086,1.383790851,1.419765472,1.453721046,1.499190331,1.436413765,1.361743808,1.355610847,1.353697181,1.375639081,1.380580783,1.267398,1.303583741,1.39837708
51,Germany,1.414031386,1.413554311,1.496040106,1.485833883,1.365230918,1.336478472,1.336777806,1.334960699,1.297783256,1.349210739,1.393738031,1.406184077,1.436358809,1.422017217,1.36436975,1.432263851,1.431246519,1.355544448,1.377790928,1.392074485
13,Austria,1.307496905,1.343882084,1.475651145,1.378656507,1.372684956,1.369262457,1.35846436,1.392844677,1.430290699,1.402443647,1.448773026,1.456567407,1.391349435,1.383552909,1.337476611,1.385915518,1.387732625,1.338748932,1.398653507,1.387391969
16,Belgium,1.377452493,1.478290319,1.440266132,1.420762181,1.342394352,1.36077106,1.324988484,1.346692204,1.360686898,1.325163245,1.349421859,1.373045683,1.366366982,1.387459874,1.37702024,1.338485479,1.318985224,1.310198188,1.282461047,1.36215326
89,Ireland,1.270815134,1.276466012,1.477552295,1.623854518,1.39654088,1.397141814,1.422590494,1.353573442,1.324431658,1.305360556,1.322521329,1.311735153,1.317528605,1.334692955,1.291035175,1.294560075,1.284337997,1.305044413,1.39371562,1.352815691
68,United Kingdom,1.283422589,1.333042264,1.597445846,1.443956375,1.378773689,1.335596442,1.321022868,1.3033005,1.289993882,1.29741168,1.339132547,1.32903707,1.27581656,1.297856092,1.295394897,1.363253355,1.369474888,1.261355519,1.246827722,1.334848147
65,France,1.154342294,1.122662783,1.45645833,1.476771235,1.298722863,1.259766817,1.304794312,1.244535089,1.202856541,1.170668364,1.238105774,1.219246626,1.218186021,1.206659317,1.136472464,1.152421713,1.146502018,1.116400361,1.069294691,1.220782506
158,Portugal,1.304545403,1.409579992,1.464911222,1.430305123,1.232661724,1.231420636,1.201863885,1.128242373,1.107203007,1.107910514,1.028528333,1.066934705,1.107471108,1.128696084,1.157668114,1.19820416,1.167716622,1.19642508,1.259652376,1.206838972
128,Malta,1.167907596,1.34463799,1.372729182,1.233854294,1.203782439,1.242634654,1.249736071,1.152721167,1.167212605,1.143347025,1.165387988,1.156572461,1.184292436,1.202827215,1.196370125,1.171133399,1.090258598,1.081668735,1.122378588,1.192076451
199,United States,1.344568133,1.33822763,1.327751994,1.294523597,1.101621866,1.109810472,1.144266844,1.09722805,1.133627057,1.126965761,1.161587,1.103018641,1.071248293,1.10983932,1.110259891,1.008997202,0.97635442,0.903775811,0.868967414,1.122770495
61,Estonia,1.072951317,1.07057941,1.093419075,0.992168546,1.068221688,1.073010921,1.09165287,1.08552134,1.105651736,1.133725882,1.111924648,1.116848588,1.170336008,1.186882734,1.208045721,1.214444876,1.179290175,1.181058049,1.171357155,1.12247846
60,Spain,1.27498734,1.27055943,1.323611856,1.1314044,1.07872498,1.123086691,1.185325623,1.176986217,1.122542858,1.085865974,1.064178824,0.988870561,0.993750036,1.044849038,1.041620493,1.021476746,1.019284368,1.037727356,1.007955313,1.104884637
198,Uruguay,1.054346561,0.992518246,0.842710495,0.885737658,1.030710816,1.04552269,1.062144518,1.105794072,1.146545172,1.12143147,1.06096673,1.085263252,1.107888818,1.143421888,1.16303432,1.167404771,1.180034518,1.226976991,1.311339259,1.091252223
37,Chile,1.087187409,1.056120157,1.225285053,1.292520523,1.08234477,1.104882002,1.01350832,1.016896248,1.095646262,1.073909163,1.076945186,1.106285453,1.055939794,1.004505992,0.995688796,1.000425935,1.015513182,0.983122289,0.996151567,1.0675199
46,Costa Rica,1.110818624,0.964284658,0.971273601,0.816958487,0.915722609,0.935347319,0.966759682,1.005833626,1.039889455,1.053862691,1.088219762,1.078483462,1.138371944,1.151597261,1.117966652,1.121752858,1.108485103,1.096023798,1.124572635,1.042432854
178,Slovenia,1.130460024,1.124961376,1.112388611,1.092290401,1.06961453,1.062970877,1.01736474,1.055123448,1.048638105,1.056918144,0.999778092,1.00189662,0.956131041,0.986843705,1.010924101,1.006721735,0.95987761,0.978998601,0.935727596,1.031980492
49,Cyprus,1.117119074,0.994463027,0.950031281,0.955872655,1.052067399,1.066655755,1.084034085,1.068027616,1.023390651,1.053583145,1.022023559,0.980822682,1.019994974,1.031601667,1.046641469,1.056244493,1.005613923,1.048578501,0.906500757,1.02543509
94,Italy,1.038653016,0.985716999,1.177167773,1.057029247,1.064523578,1.111907482,1.032023787,1.034216046,0.962826371,0.911823928,0.916809261,0.954217374,0.999287128,1.03478992,1.03497839,0.990611255,0.953385234,0.906614542,1.058296442,1.011835672
177,Slovak Republic,0.976482391,0.931504726,0.947524965,0.899956763,0.931123257,0.947436213,0.935453057,0.876306593,0.91094625,0.96597904,0.973016918,0.959550261,0.959610283,0.965451539,0.961433291,0.912063062,0.837226987,0.862816572,0.883265316,0.92827092
155,Poland,1.087819576,1.012596726,1.016627669,0.944372296,0.803532481,0.879502356,0.953482151,1.026872396,1.037611127,1.027627707,1.064275742,0.998138905,1.105138183,1.039753795,0.844191015,0.775978327,0.700737834,0.673151612,0.61814481,0.926818669
114,Lithuania,0.904892266,0.920530558,0.882494092,0.902132928,0.861287594,0.886551917,0.849656224,0.902184904,0.915654838,0.860525906,0.92950964,0.940019667,0.961615205,0.973927557,1.000034928,0.986517072,0.891687155,0.996342778,1.007987261,0.924923815
75,Greece,1.04801929,1.156673908,1.191414952,1.097569346,0.965482771,0.983873904,0.92821151,0.891443253,0.897718012,0.820455015,0.700790524,0.687237501,0.618778229,0.651559412,0.668565869,0.658500254,0.732300758,0.812374592,0.966737986,0.867247741
116,Latvia,0.837780058,0.767004192,0.700535595,0.781813085,0.846699059,0.828915298,0.780786276,0.849935353,0.794243872,0.736775279,0.775515556,0.770423412,0.849458039,0.846551239,0.842557549,0.797454655,0.782414556,0.857121706,0.872525632,0.80623739
86,Hungary,1.15602231,1.167382121,1.149414063,1.175189376,1.015040755,1.041055679,0.965708435,0.909724355,0.89423722,0.836973131,0.749367654,0.737192869,0.553286672,0.559989512,0.402053922,0.536953449,0.47842437,0.343969166,0.391828597,0.792832298
104,"Korea, Rep.",0.745628059,0.723233759,0.728531182,0.745595574,0.690555096,0.699741125,0.657143593,0.707632899,0.741072178,0.726919293,0.725595772,0.705827534,0.680247545,0.631029963,0.641597271,0.757269382,0.786813796,0.751461744,0.815860569,0.719039807
93,Israel,0.589134455,0.644292593,0.66225034,0.646124363,0.774156392,0.740543842,0.723265171,0.570473194,0.583845377,0.653309524,0.644344866,0.649406195,0.727600992,0.744936585,0.786671698,0.697237492,0.621403992,0.66012001,0.65449369,0.672295304
210,South Africa,0.659822226,0.700217009,0.715736926,0.64901036,0.651613116,0.578765213,0.575648129,0.570525587,0.60209012,0.590838611,0.58215332,0.600703418,0.640374124,0.6485852,0.648347199,0.630475342,0.628293097,0.653677583,0.700182557,0.633003112
25,Belize,0.796831012,0.842791498,0.74007237,0.688429117,0.544680774,0.526492059,0.646870255,0.744926631,0.685301244,0.695515275,0.695277274,0.711436152,0.520108461,0.578148723,0.570842862,0.570629537,0.422355801,0.50560379,0.525966644,0.632225236
95,Jamaica,0.597427487,0.519186258,0.3969042,0.418052882,0.620725513,0.637015939,0.579975128,0.577551782,0.462827682,0.479151219,0.486024708,0.543406129,0.5625934,0.608786047,0.681331456,0.691164255,0.584336817,0.614271343,0.628351092,0.562583334
150,Panama,0.619423807,0.484826952,0.516072214,0.443538368,0.601521611,0.621265113,0.600690961,0.591262817,0.537198603,0.534638524,0.469416946,0.424271792,0.505647838,0.558526039,0.524012268,0.519496799,0.549155474,0.600345254,0.57762748,0.540996782
84,Croatia,0.556711018,0.623684108,0.658320606,0.452612311,0.481493741,0.517976046,0.467806965,0.486277699,0.47642836,0.521082401,0.540830553,0.513741314,0.514960289,0.555522323,0.525383711,0.479180753,0.437570363,0.455303043,0.582528949,0.518284976
33,Botswana,0.666893184,0.70607698,0.735869944,0.594607651,0.513100147,0.507903636,0.513504624,0.437099367,0.455533385,0.425984055,0.532969713,0.489367247,0.447524369,0.450683594,0.403236479,0.393603384,0.453582108,0.498391122,0.490897,0.511411999
20,Bulgaria,0.528531253,0.545891941,0.569690168,0.59489274,0.577117205,0.690935314,0.577976346,0.560471177,0.531482577,0.450080156,0.400915593,0.337270796,0.366481721,0.432587624,0.402202278,0.429832309,0.356660843,0.355631977,0.261954099,0.472137164
28,Brazil,0.472238034,0.442828864,0.388609469,0.45767951,0.500075698,0.537074029,0.568985701,0.52199918,0.571348906,0.513676167,0.477906197,0.417426258,0.471947551,0.458866268,0.451864898,0.448033065,0.366284221,0.302300245,0.295445383,0.456031034
162,Romania,0.386146128,0.299218923,0.367766201,0.408908844,0.517973423,0.498997658,0.514151156,0.464297265,0.432130426,0.376137167,0.318529606,0.311523497,0.428146094,0.48615095,0.540918291,0.598597825,0.52432394,0.516311109,0.588041067,0.451487872
70,Ghana,0.028416518,0.271764487,0.11770542,0.197485223,0.407593399,0.497320414,0.431884378,0.498016387,0.514764845,0.484657794,0.431352198,0.438854575,0.461645961,0.488428712,0.583630621,0.596758425,0.549476922,0.549909234,0.554172695,0.4265178
88,India,0.426245898,0.454564899,0.399967372,0.41368565,0.437193722,0.453963935,0.462193102,0.46074909,0.443312973,0.435818583,0.399454206,0.432780147,0.41331318,0.427884758,0.440999389,0.387066394,0.351978153,0.269035548,0.14990285,0.403163676
8,Argentina,0.260062754,0.349125266,0.362040877,0.269231617,0.403436542,0.448621333,0.358895928,0.280091494,0.361670136,0.344941825,0.295209914,0.27698788,0.34533906,0.411802024,0.493365467,0.528664351,0.530451119,0.572384655,0.588114679,0.393707206
130,Mongolia,0.378301382,0.325539052,0.272552013,0.069540665,0.253958493,0.314249188,0.26869759,0.125629634,0.088493623,0.052060232,0.065474994,0.108955517,0.241462216,0.270271778,0.332784593,0.293318957,0.236522526,0.323747635,0.379003644,0.231608617
17,Benin,0.050879639,0.187651932,0.053056307,-0.029964076,0.36277771,0.36818099,0.344647467,0.342523217,0.314489126,0.166390568,0.12448547,0.155496389,0.264593005,0.294565856,0.408386111,0.38114199,0.240166172,0.062789403,-0.070341714,0.211679766
131,Montenegro,0.012423269,0.085785449,0.113930948,0.134036914,0.262788713,0.258968711,0.235908493,0.241875201,0.189805597,0.20789057,0.217905968,0.178289786,0.160317093,0.144037694,0.076071583,0.12421751,0.054304581,0.02478336,0.043372232,0.145616509
152,Peru,0.222937241,0.078648843,-0.134529516,-0.013819259,0.091934875,0.10835699,0.152134746,0.083490424,0.111124784,0.131239608,0.114262931,0.084785014,0.192534193,0.227381259,0.268992603,0.274450123,0.207507238,0.266258627,0.249568805,0.143013659
55,Dominican Republic,0.237251297,0.023253515,0.047007088,-0.070553936,0.205657721,0.197003677,0.164732426,0.089798421,0.073861897,0.090433285,0.1245922,0.115369521,0.188977703,0.154281542,0.181932896,0.159243137,0.117330223,0.180307701,0.240023717,0.132658107
209,Serbia,0.003405627,-0.120493673,-0.176049948,-0.206954584,0.214458928,0.305300176,0.281703681,0.334455043,0.285615712,0.278624475,0.198943496,0.285488486,0.212628603,0.231072277,0.199925393,0.117242299,-0.022354687,-0.046214577,-0.119043313,0.118829127
124,Mexico,0.346043468,0.34693712,0.319827616,0.198065519,0.150474414,0.121899016,0.134927571,0.200032845,0.178501576,0.121691875,0.112745345,0.108392298,0.000331484,-0.07534714,-0.067501426,-0.077817239,-0.016885839,0.007819365,-0.025030326,0.109742502
5,Albania,-0.00815021,0.070307687,0.007237499,0.003671788,0.07588996,0.113008469,0.174939081,0.141477332,0.123838224,0.062333763,0.022064038,0.048892591,0.1437774,0.157161772,0.170948684,0.203805894,0.180729449,0.142711371,0.088362463,0.101210908
168,Senegal,0.380685329,0.266685933,0.172796905,0.056197815,0.061726816,-0.181714088,-0.213503495,-0.269090444,-0.267737418,-0.220193043,-0.004189135,0.060057394,0.291716129,0.283083826,0.369677246,0.31716612,0.212975323,0.234817654,0.240493149,0.094297475
172,El Salvador,0.122130692,0.107482292,0.024640525,-0.075012773,0.096629858,0.094508938,0.112083875,0.057646669,0.071544565,0.043949775,-0.040193725,-0.013092079,0.152619869,0.152402803,0.188971519,0.154455736,0.022180889,0.119141504,0.072548799,0.077086302
153,Philippines,0.164603293,0.153800815,0.025553631,-0.007255065,-0.091142505,-0.110541515,-0.138752609,-0.027749272,-0.03904555,-0.019902654,-0.029686736,0.006347129,0.159282863,0.147082418,0.163444191,0.084172755,0.013621571,0.006514435,-0.104530483,0.018727195
87,Indonesia,-0.271903306,-0.299386054,-0.255447417,-0.121925518,-0.084252529,-0.019804806,-0.011261515,-0.000997999,-0.037748463,-0.008531014,0.067612648,0.036121301,0.153921664,0.184871241,0.167968854,0.131623447,0.154347539,0.132110149,0.101115197,0.00097018
113,Lesotho,0.038615581,-0.000992403,-0.152925462,-0.2097698,0.181888372,0.013480446,-0.066223256,-0.083432332,-0.101529345,-0.089245625,0.072332896,0.120267108,0.162016585,0.11473237,-0.012902796,-0.008937163,0.001424396,-0.020868875,-0.012711287,-0.002883189
69,Georgia,-0.505115449,-0.177865669,-0.078266896,-0.090371124,-0.092710026,-0.230410188,-0.256853849,-0.188876048,-0.160913214,-0.172698855,0.021580776,0.138814524,0.284683943,0.274601668,0.295233637,0.264816642,0.220887318,0.168719828,0.057574667,-0.011956227
126,North Macedonia,-0.165570721,-0.021864852,-0.161177352,-0.101468585,0.173717871,0.276678592,0.19573997,0.168129861,0.114981435,-0.039491858,-0.028496105,-0.057545617,-0.141467974,-0.181890145,-0.234952182,-0.138934165,-0.033332705,-0.01852526,0.057720866,-0.017776259
27,Bolivia,0.140369892,-0.056417342,-0.170450285,-0.156710431,0.07646361,0.042223975,0.002961708,0.006946584,-0.039241143,-0.068237789,-0.081585295,-0.068993047,-0.026304649,-0.004657394,-0.036398344,-0.024626527,-0.066654518,-0.116381519,-0.083516799,-0.038484701
127,Mali,0.280810177,0.33616522,0.248863772,0.24793382,0.297409028,0.225390598,0.202510953,0.069614761,0.158107549,0.167899787,-0.495530128,-0.28450796,-0.161109298,-0.197715268,-0.182319134,-0.211934015,-0.334190667,-0.443510085,-0.735434175,-0.042712898
23,Bosnia and Herzegovina,-0.087044537,0.209610522,0.168824628,0.213584736,0.187260136,0.131010443,0.015152005,0.003171806,-0.082449205,-0.159755006,-0.100325391,-0.116462924,-0.070960574,-0.098089233,-0.131173372,-0.205770269,-0.26597783,-0.243082657,-0.321430176,-0.050205626
43,Colombia,-0.416357487,-0.429242462,-0.318785131,-0.322521359,-0.172736719,-0.165321603,-0.165922627,-0.149577633,-0.13235718,-0.059714228,-0.063991345,-0.081278838,-0.043301202,0.00393945,0.121845424,0.112485103,0.164173886,0.205496594,0.145201325,-0.093050844
197,Ukraine,-0.519448936,-0.589256763,-0.671051443,-0.285324872,0.04964127,0.06411846,0.0906661,0.059088912,-0.083982021,-0.132440627,-0.279543012,-0.315396577,-0.142217666,-0.086787418,0.001790598,0.014895575,-0.0377829,0.023895197,0.091257513,-0.14462519
159,Paraguay,-0.456348479,-0.400354266,-0.47459361,-0.395821035,-0.25690937,-0.164958507,-0.115736693,-0.134577692,-0.078932732,-0.083290011,-0.113736905,-0.104938999,-0.102827892,-0.069923989,-0.063116975,-0.043701917,0.024422409,0.053745765,0.04861623,-0.154367614
