,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,Aruba,,,0.737520695,1.153230071,1.017273426,0.972128868,0.967198193,1.252343535,1.281883717,1.273587823,1.28464973,1.278059244,1.276849508,1.273960948,1.279364109,1.295545578,1.271601558,1.264367223,1.286165118,1.028603554
2,Andorra,1.437128186,1.422261953,1.563076615,1.528181553,1.3299793,1.305506468,1.325321794,1.32293725,1.324308395,1.360453367,1.433837652,1.406641722,1.165964961,1.194495201,1.176597357,1.161652923,1.036903024,1.110087037,1.089937568,1.043449402
3,Afghanistan,-1.433421016,-1.177571177,-1.203033924,-1.12542963,-1.110293984,-1.057653904,-1.168901801,-1.375495195,-1.404467344,-1.335976958,-1.267430067,-1.240068436,-1.135439992,-1.117556691,-1.037788033,-0.990813971,-1.011600018,-1.006746769,-1.077736378,-1.570883274
4,Angola,-1.238779068,-1.272615314,-1.285479784,-1.234719396,-1.252087951,-1.18531394,-1.119346857,-1.126135349,-1.120525122,-1.125478387,-1.076246738,-1.113843679,-1.145230174,-1.177087069,-1.140292645,-1.098074555,-0.906310201,-0.78340435,-0.802130938,-0.840915978
5,Anguilla,,,0.854418099,0.903781235,1.017273426,0.972128868,0.967198193,0.963811636,0.988284409,1.009051681,1.025671721,1.004767299,,,,,,,,
6,Albania,-0.00815021,0.070307687,0.007237499,0.003671788,0.07588996,0.113008469,0.174939081,0.141477332,0.123838224,0.062333763,0.022064038,0.048892591,0.1437774,0.157161772,0.170948684,0.203805894,0.180729449,0.142711371,0.088362463,0.091204971
7,Netherlands Antilles (former),,,0.503726006,0.654332459,0.548463166,0.517305076,0.525152504,0.303896636,0.325717956,0.335149825,0.350018591,0.340803057,,,,,,,,
8,United Arab Emirates,-0.631543517,-0.912192345,-0.687912881,-0.708473206,-0.999829352,-0.906883299,-0.91238147,-0.83836776,-0.903547347,-0.896244109,-1.000819206,-1.019483566,-1.061362982,-1.11241889,-1.050320983,-1.096804976,-1.126921177,-1.140098095,-1.178465247,-1.192773342
9,Argentina,0.260062754,0.349125266,0.362040877,0.269231617,0.403436542,0.448621333,0.358895928,0.280091494,0.361670136,0.344941825,0.295209914,0.27698788,0.34533906,0.411802024,0.493365467,0.528664351,0.530451119,0.572384655,0.588114679,0.619619727
10,Armenia,-0.444421142,-0.467406183,-0.572165549,-0.591363311,-0.742222786,-0.759377897,-0.857629657,-0.876420259,-0.847521544,-0.690779805,-0.570491433,-0.588030815,-0.562072694,-0.536284149,-0.579242349,-0.560795248,-0.137946114,0.055480633,0.049051914,0.059204161
