,Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,ALB,Gini index,SI.POV.GINI,1.0,0.926829268292683,1.0,1.0,1.0,0.9770408163265306,0.8492462311557789,0.9980620155038761,1.0,1.0,1.0,0.967391304347826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9786324786324786,1.0,0.9253731343283582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7957746478873241
9,Argentina,ARG,Gini index,SI.POV.GINI,0.7829268292682925,0.6682926829268294,0.6857142857142857,0.764423076923077,0.7456896551724139,0.5459183673469389,0.5226130653266332,0.6472868217054263,0.4540816326530611,0.48421052631578965,0.48611111111111105,0.2771739130434784,0.4412955465587046,0.3977900552486189,0.5359116022099448,0.6895161290322579,0.6400000000000001,0.6075949367088604,0.7869565217391306,0.8195121951219511,0.846153846153846,0.8074074074074074,0.9029850746268658,0.9291338582677167,0.9304347826086956,0.9649122807017543,0.863013698630137,0.9172932330827066,0.906474820143885,0.7851851851851853,0.8380281690140847
10,Armenia,ARM,Gini index,SI.POV.GINI,1.0,0.9658536585365854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9828571428571429,1.0,0.9652173913043478,0.9024390243902439,1.0,0.9555555555555555,0.9701492537313434,1.0,1.0,1.0,1.0,1.0,1.0,0.9925925925925925,0.6619718309859155
13,Australia,AUS,Gini index,SI.POV.GINI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Austria,AUT,Gini index,SI.POV.GINI,1.0,0.9073170731707317,0.8342857142857144,0.9783653846153845,1.0,1.0,0.9271356783919597,1.0,1.0,1.0,0.9444444444444445,0.967391304347826,1.0,0.9723756906077348,0.988950276243094,0.9475806451612903,0.9771428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9774436090225563,1.0,1.0,0.7957746478873241
15,Azerbaijan,AZE,Gini index,SI.POV.GINI,1.0,0.8634146341463416,0.7257142857142858,0.9278846153846154,0.9633620689655171,1.0,1.0,1.0,1.0,0.994736842105263,1.0,1.0,0.8097165991902835,0.8232044198895028,0.8121546961325967,0.8629032258064516,0.9114285714285714,0.8575949367088607,0.9586956521739131,0.875609756097561,0.846153846153846,0.7481481481481482,0.7350746268656718,0.6811023622047244,0.8630434782608696,0.7865497076023393,0.7465753424657533,0.6616541353383458,0.6258992805755396,0.6185185185185187,0.647887323943662
16,Burundi,BDI,Gini index,SI.POV.GINI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8826530612244899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9589552238805972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Belgium,BEL,Gini index,SI.POV.GINI,1.0,0.7097560975609755,0.7142857142857143,0.9278846153846154,1.0,0.9183673469387754,0.8618090452261307,0.875968992248062,1.0,0.994736842105263,1.0,0.9809782608695652,0.9372469635627532,0.8950276243093923,1.0,0.9717741935483871,0.8914285714285715,0.9493670886075949,0.9304347826086956,0.9317073170731708,0.9316239316239315,0.8592592592592594,0.8134328358208955,0.8188976377952756,0.9173913043478261,0.8654970760233918,0.8356164383561645,0.8045112781954886,0.7985611510791366,0.7925925925925925,0.7676056338028169
18,Benin,BEN,Gini index,SI.POV.GINI,1.0,0.704878048780488,1.0,0.9038461538461539,0.7456896551724139,1.0,1.0,1.0,0.8801020408163265,0.523684210526316,0.5902777777777777,0.9701086956521741,1.0,1.0,0.6740331491712708,0.6431451612903225,1.0,1.0,0.8608695652173912,0.9463414634146341,0.7863247863247863,0.7481481481481482,1.0,0.6929133858267713,0.9434782608695653,0.5438596491228072,0.9794520547945207,0.924812030075188,1.0,0.8703703703703703,0.8661971830985912
19,Burkina Faso,BFA,Gini index,SI.POV.GINI,1.0,0.3341463414634147,0.7199999999999998,0.4543269230769229,0.6508620689655172,0.8418367346938775,0.8165829145728644,0.7267441860465117,0.49489795918367363,0.7157894736842105,0.7662037037037038,0.44293478260869557,0.9311740890688258,0.8176795580110499,0.5994475138121547,0.7499999999999998,0.4457142857142855,1.0,0.9739130434782608,1.0,0.5897435897435896,0.8555555555555554,1.0,1.0,1.0,0.6198830409356726,1.0,1.0,0.47482014388489224,1.0,0.9119718309859155
