,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,9.5,9.100000381,26.5,22.29999924,18.39999962,12.89999962,12.30000019,14.89999962,17.70000076,18.39999962,16.79999924,16.39999962,4.610000134,15.0,14.39999962,6.570000172,13.80000019,15.97000027,13.06000042,13.67000008,14.09000015,13.47999954,13.38000011,15.86999989,18.04999924,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,11.68999958
9,Argentina,7.059999943,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15.0,17.31999969,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,6.8450000284999994,4.9099999665,8.350000381,9.220000267,9.840000153,11.46000004
10,Armenia,6.5350000855,11.12000036,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,12.879999635,12.779999735,13.57000017,13.01000023,13.424999715,22.059999945,13.03999996,9.81000042,22.96999931,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023,17.62000084,17.70000076,13.21000004,12.19999981,12.18000031
13,Australia,6.929999828,9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038
14,Austria,3.25,3.420000076,3.589999914,4.25,3.539999962,4.340000153,5.28000021,5.150000095,5.480000019,4.699999809,4.690000057,4.010000229,4.849999905,4.78000021,5.96999979,5.679999828,5.320000172,4.909999847,4.199999809,5.369999886,4.880000114,4.639999866,4.909999847,5.369999886,5.670000076,5.800000191,6.059999943,5.559999943,4.929999828,4.559999943,5.199999809
15,Azerbaijan,1.619999975,0.109999999,0.170000002,0.519999981,0.649999976,0.800000012,0.899999976,1.029999971,1.129999995,16.25,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5.0,4.960000038,4.940000057,4.849999905,7.159999847
16,Burundi,0.479999989,2.8999999765,6.6300001145,5.4149999615,4.5799999235,3.744999915,5.285000204999999,5.8899999855,9.844999789500001,14.0,5.9049999715,2.2300000195000003,5.2200000289999995,3.5650000575,4.6699999575,2.594999999,3.180000067,2.9049999714999997,1.629999995,3.75,2.515000045,1.8600000145,1.2350000294999999,4.7049999235,1.570000052,2.355000019,3.4649999145,3.954999924,1.7599999905,1.8450000285,1.029999971
17,Belgium,7.25,6.980000019,6.699999809,8.079999924,9.649999619,9.340000153,9.479999542,8.949999809,9.319999695,8.649999619,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191
18,Benin,2.330000043,2.415000081,1.50999999,1.345000029,1.525000036,2.2999999525,2.2649999265,2.784999967,2.745000005,2.664999962,2.480000019,2.5299999709999996,0.689999998,3.0499999525,2.0700000525,1.145000011,3.2150000335,2.4499999285,2.069999993,6.620000005,1.039999962,2.650000095,0.804999977,3.1500000355,0.9199999865,2.0250000360000002,4.3750000595000005,3.5049999955,1.470000029,1.1999999885000001,1.5049999655
19,Burkina Faso,1.8399999734999999,1.6500000355,2.419999957,2.9399999379999997,2.579999924,3.004999995,3.4850000144999997,3.3300000425,2.440000057,2.7200000285,2.5049999955,2.1499999765,2.769999981,2.779999971,4.715000153,4.0,4.360000014500001,3.299999952,4.204999924,4.615000009999999,4.5850000385000005,4.6549999710000005,7.2799999710000005,5.2999999525,6.480000019,5.7350001335,5.605000019,5.160000086,4.690000057,4.9900000095,5.7950000765
