,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
26,Costa Rica,0.216163008,0.182650452,0.203843977,0.160173086,0.150616817,0.139604839,0.026059257,0.020872009,0.024541105,0.071599798,0.128442711,0.128982467,0.082010738,0.025400629,0.014106334,0,0.017636974,0.037724363,0.036422298,0.087728993
16,Brazil,0.079055218,0.068560867,0.1155731,0.134784124,0.120094896,0.147042772,0.120634025,0.109213586,0.10460085,0.111757722,0.06308049,0.063574873,0.032432904,0.058845287,0.026387679,0,0.104401331,0.258139433,0.216865807,0.101844472
119,"Venezuela, RB",0.14661518,0.111031463,0.152053996,0.150235519,0.103644516,0.088217261,0.061815435,0.07879756,0.101640686,0.085175027,0.050395787,0.125882603,0,0.066221229,0.029466177,0.078882084,0.165876548,0.174675372,0.199016186,0.103665402
59,Jamaica,0.175948653,0.198220169,0.056156052,0,0.098248985,0.030583671,0.022866422,0.007091298,0.075853321,0.165793561,0.17620763,0.150368517,0.206354885,0.152167171,0.114509561,0.037159276,0.13557879,0.12350186,0.127462296,0.108109059
32,Dominican Republic,0.184186967,0.076238341,0.02160003,0,0.048327668,0.058640166,0.015863051,0.023953449,0.012603165,0.011176095,0.0549539,0.104770335,0.1344637,0.279665325,0.170238131,0.233053027,0.257019856,0.264853025,0.275837148,0.117233862
48,Guatemala,0.192335423,0.141278048,0.12499601,0.056889993,0.01796114,0.03924448,0.005736542,0,0.057177739,0.090781401,0.142966948,0.151614607,0.152403762,0.069068034,0.05113427,0.162952494,0.210908773,0.251189359,0.343215039,0.119044951
49,Honduras,0.134631231,0.113121697,0.144550519,0.174074838,0.183569398,0.161725823,0.119514098,0.081202087,0.037600092,0,0.00326878,0.045652539,0.076920656,0.11664483,0.120667004,0.182979796,0.191765028,0.178589539,0.202879981,0.119439891
14,Belize,0.124946925,0.231264742,0.183781564,0.184145138,0.145194234,0.134168667,0.119652319,0.154826456,0.037128744,0.068620693,0,0.182919802,0.103772557,0.127337361,0.069768814,0.065546884,0.071429583,0.109929048,0.22119589,0.122927864
114,Uganda,0.105565961,0.100133667,0.177118023,0.192835769,0.288290281,0.224043318,0.209263539,0.129933521,0.168930541,0.06458205,0.025100692,0.093419417,0,0.172871398,0.057935521,0.043850464,0.113427346,0.103963647,0.168508049,0.128409116
27,Cyprus,0.298760612,0.169168772,0.06221691,0,0.087745768,0.124213651,0.191123631,0.037038589,0.210526743,0.196615066,0.001359973,0.153904432,0.170109578,0.112227914,0.143292271,0.232082398,0.117497772,0.119178903,0.120741475,0.134094971
64,"Korea, Rep.",0.143131299,0.129705132,0.099392654,0.109668453,0.106671245,0.093891858,0.095859527,0,0.04696277,0.12580162,0.098002001,0.177348065,0.155954301,0.15926744,0.177768594,0.228794898,0.221893666,0.233137055,0.223341802,0.138241704
75,Mexico,0.253580428,0.255372691,0.26675402,0.261020677,0.256275157,0.27739819,0.217587022,0.151785696,0.086012649,0.07348893,0.091750487,0.127943517,0.164795925,0.159339935,0.121271939,0.044519294,0,0.004427471,0.009275227,0.148557856
67,Lesotho,0.172139612,0.210075693,0.145104571,0.107073978,0.124513184,0,0.126154368,0.10178768,0.118425228,0.166639606,0.231828591,0.220866665,0.211516409,0.025925763,0.067764972,0.114056007,0.184366522,0.22141439,0.284660309,0.149174397
91,Panama,0.153705731,0.195046921,0.226115879,0.182723248,0.309626225,0.264709471,0.093873081,0.045547825,0.133913302,0.071130155,0.011281337,0,0.051866515,0.155748747,0.208544637,0.232339598,0.220950365,0.19433011,0.163809415,0.153434872
7,Belgium,0,0.110149785,0.120081056,0.151470534,0.144825757,0.155267004,0.15947886,0.151050626,0.152360308,0.192218719,0.157254561,0.197580193,0.170791711,0.206046969,0.140464446,0.061376335,0.199483462,0.256522728,0.263019512,0.157339082
33,Ecuador,0.083314229,0.137606344,0.155314066,0.117742164,0.167895041,0.049406364,0,0.004073964,0.011033551,0.062238313,0.133802313,0.168712022,0.235919807,0.278031822,0.294080848,0.294964206,0.294009632,0.269405645,0.246494087,0.158107601
71,Morocco,0.14657131,0.126841077,0.147645393,0.150487334,0.139971509,0.134164853,0.17642378,0.176122695,0.170443894,0.177184322,0.203662376,0.187174094,0.219283093,0.191154135,0.129768819,0.068375045,0.167549074,0.125916162,0.191502643,0.1594864
54,Ireland,0.097659321,0.180446287,0.219751598,0.113130982,0.069807125,0,0.133931028,0.128919091,0.123046883,0.183506043,0.139402644,0.144240797,0.19202861,0.234810394,0.222890624,0.202980668,0.205280256,0.228607192,0.230217309,0.160560887
116,Uruguay,0.181614424,0.216956112,0.213685661,0.224156716,0.211843891,0.220581931,0.193031381,0.18849756,0.210869753,0.217659899,0.148403116,0.156419753,0.149113752,0.124604346,0.152021489,0.13684326,0,0.028597241,0.085926152,0.161096128
34,"Egypt, Arab Rep.",0.138913517,0.204630909,0.221686708,0.201066962,0.199223268,0.186785649,0.159105489,0.166342539,0.078264226,0,0.051657316,0.169769328,0.194433626,0.192633359,0.185617178,0.178047944,0.18852015,0.188156558,0.194738705,0.163136496
56,Iceland,0.056584228,0.134670172,0.141344664,0.113737237,0.264770475,0.167448601,0.264770475,0.217784034,0.172054606,0.12704196,0.219167041,0.219383354,0.219576455,0.129863786,0.220068515,0.131541269,0.132458053,0.220968785,0.047182293,0.168442948
74,Maldives,0.140382838,0.178196683,0.185330394,0.184394491,0.193296865,0.202393633,0.183332623,0.175106336,0.177053411,0.206017514,0.147247391,0.208280958,0.166516587,0.202929871,0.104145683,0,0.179318332,0.213612298,0.188391299,0.170313011
86,Nigeria,0.004570077,0.088113688,0.120826944,0.128175998,0.106185078,0.126226766,0.122684278,0.147157093,0.141710111,0.163650378,0.147162158,0.213525051,0.199544575,0.276982248,0.150595442,0.187493469,0.21678528,0.394171622,0.347059003,0.172769435
78,Malta,0.151476887,0.168971457,0.125146973,0.209840734,0.321575506,0.210716029,0.155951866,0.211714026,0.212429539,0.240394665,0,0.135898032,0.163920234,0.217288705,0.191976261,0.089274863,0.141440182,0.19323524,0.142371989,0.172822273
18,Botswana,0.082433524,0,0.090307374,0.049356266,0.102643436,0.083236404,0.09033549,0.086928092,0.074567738,0.151359215,0.228737766,0.250219365,0.271749241,0.287918489,0.310246124,0.297446948,0.290788054,0.296169618,0.313769789,0.176748049
84,Malaysia,0.103338263,0.112721694,0.176422175,0.099865437,0.121519604,0.081838163,0.13208003,0.166347319,0.188288583,0.201348026,0.156571621,0.145096637,0.274615665,0.283461896,0.277240656,0.268817206,0.311968106,0.154346377,0.162562852,0.179918437
69,Luxembourg,0.104757996,0.20787599,0.242375849,0.177162734,0.081877713,0.086335073,0.059981525,0.15698996,0.011440111,0.192808204,0.309351987,0.281464171,0.200206315,0.175863795,0.178750102,0.258227512,0.234230118,0.211057954,0.285180699,0.181891464
39,Fiji,0.155054137,0.124368106,0.145086113,0.146142358,0.157850141,0.169891852,0.211159678,0.096840777,0.185175125,0.185982674,0.186339064,0.195984421,0.18664317,0.236071686,0.249302262,0.236634493,0.233356011,0.166628161,0.193012893,0.182185427
107,Eswatini,0.168357402,0.167245297,0.14424912,0.16078479,0.188329603,0.202941824,0,0.066817699,0.025399648,0.103531531,0.247034575,0.252655913,0.221505658,0.235646083,0.229635658,0.204005627,0.284788252,0.283260245,0.275440263,0.18219101
17,Bhutan,0.128450179,0.277862382,0.176525902,0.219139825,0.240466057,0.192359418,0.154844392,0.17583251,0.177444339,0.028446078,0.022697336,0.109193471,0.189919141,0.222207338,0.250089875,0.216000955,0.251960661,0.26140664,0.169064284,0.182311094
106,Sweden,0.117965878,0.225089644,0.083987996,0.243441385,0.195261148,0.071507971,0.261327114,0.196332251,0.213632976,0.280189948,0.364099167,0.251494069,0.255551674,0.10930726,0.149947752,0.11289077,0.146780811,0.133347024,0.061882442,0.182844067
102,El Salvador,0.209622223,0.190838482,0.171462247,0.172687853,0.171680675,0.187978827,0.200062458,0.157060837,0.171950299,0.15880406,0.222901475,0.226194788,0.176820234,0.081227579,0.130698599,0.177410029,0.199466771,0.232754629,0.242886697,0.183289935
89,Norway,0.15096806,0.157826281,0.179040627,0.187688597,0.188447965,0.197093437,0.187657118,0.201368461,0.202258465,0,0.209004941,0.163997238,0.205886932,0.218441966,0.211988007,0.210213143,0.217609469,0.211207749,0.204921845,0.184506332
97,West Bank and Gaza,0.109781115,0.139665526,0.096564897,0.121280076,0.165396584,0.170566994,0.186239852,0.192546438,0.21158632,0.224014568,0.221972218,0.225462274,0.226163985,0.187796558,0.233954933,0.215882337,0.229019543,0.216684442,0.202625569,0.188273907
47,Greece,0.262122263,0.137484443,0.224276627,0.176001646,0.225443784,0.177784325,0.143042382,0.121819238,0.062867562,0.041650923,0.082585853,0.11217348,0.221226045,0.253948616,0.27478127,0.269042573,0.236377453,0.286743061,0.285818342,0.18922052
0,Albania,0.174153998,0.181797139,0.18712279,0.183411719,0.192510553,0.190778612,0.192531201,0.193679524,0.186694636,0.18408776,0.181489973,0.186876274,0.1879882,0.196788343,0.194268009,0.197767683,0.196425051,0.196585403,0.197243689,0.189589503
80,Mongolia,0.164915051,0.052368886,0.067977726,0,0.073844632,0.123336201,0.21676667,0.212948883,0.19615387,0.173217863,0.245206008,0.240341769,0.239585165,0.242613845,0.274060505,0.27085704,0.269490286,0.264598981,0.275229427,0.189658569
37,Ethiopia,0.174009981,0.178330084,0.165220368,0.165819004,0.200075457,0.195432076,0.080054855,0.076216022,0.09506187,0.147061001,0.211811528,0.254056628,0.226204839,0.228665701,0.177384648,0.202035225,0.251148314,0.268549047,0.308703994,0.189781086
96,Paraguay,0,0.030512341,0.05681221,0.14681184,0.187944295,0.180194654,0.170311767,0.176115825,0.198503399,0.221313765,0.225393267,0.238109006,0.246076353,0.238924936,0.229017909,0.2595744,0.270822857,0.259789992,0.276974941,0.190168619
30,Djibouti,0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
44,Guinea,0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
45,"Gambia, The",0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
65,Lao PDR,0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
73,Madagascar,0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
77,Mali,0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
82,Mauritania,0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
108,Togo,0.140148661,0.0761655,0.128971298,0.140776326,0.15890664,0.158571995,0.158397068,0.160535947,0.156497102,0.1639382,0.188600494,0.234307029,0.204337542,0.213685235,0.212685892,0.241892131,0.272322942,0.282840315,0.323376008,0.190366122
93,Philippines,0.179170105,0.152676846,0.180806875,0.157181847,0.193132442,0.21493005,0.221796308,0.133217014,0.1495811,0.157778732,0.161785779,0.200325914,0.216920728,0.21602524,0.109294054,0.184138373,0.250292798,0.273324215,0.266096395,0.190446043
42,Georgia,0.16130928,0.169550737,0.158161061,0.117503375,0.147554687,0.144162111,0.169507337,0.189687511,0.198330453,0.198706415,0.184409472,0.194478079,0.204747139,0.214900456,0.256259086,0.23530575,0.236058944,0.240847209,0.203990582,0.190814194
60,Jordan,0.158880843,0.149785179,0.1778651,0.185078908,0.178722436,0.183559196,0.180831618,0.2048747,0.196798485,0.180159995,0.169866656,0.190427812,0.175630691,0.194599855,0.212322921,0.213146368,0.221548069,0.228282556,0.224353326,0.190880774
113,Tanzania,0.111391422,0.149334579,0.133390441,0.259006576,0.275100882,0.302800332,0.263172223,0.18417538,0.051453761,0.023832808,0.057623281,0.151044203,0.238693413,0.181488049,0.250695051,0.261666774,0.224816039,0.263706299,0.251182529,0.191293371
111,Tunisia,0.078452214,0.225569585,0.297103802,0.233688142,0.247005691,0.225925082,0.221948412,0.248851197,0.221888409,0.247507311,0.184297784,0.229733279,0.201713495,0.214861098,0.179026824,0.188967168,0.179146201,0,0.012881679,0.191503546
68,Lithuania,0.14730294,0.139592964,0.102064676,0.075041021,0.141427739,0.147469909,0.126060447,0.162463879,0.188569128,0.193193861,0.19900391,0.200445035,0.234384415,0.220148977,0.235927515,0.28507482,0.291428905,0.288060582,0.279673223,0.19249126
10,Bangladesh,0.193541708,0.200364133,0.173383162,0.199532467,0.162743035,0.187262737,0.174165779,0.169163069,0.187803872,0.192291853,0.185627294,0.1706918,0.16618845,0.199652548,0.230168019,0.23516396,0.220277047,0.216053278,0.204776495,0.193097406
76,North Macedonia,0.056148536,0,0.119975415,0.160073872,0.137785652,0.160699737,0.200479092,0.200643624,0.155668955,0.229160225,0.234938828,0.274473697,0.20147593,0.257811797,0.291597404,0.22432121,0.25805606,0.263697529,0.254820056,0.193780401
63,Kyrgyz Republic,0.165006736,0.162235044,0.163437618,0.137147451,0.155925458,0.169067782,0.170784581,0.172353794,0,0.16057134,0.193527156,0.222694405,0.218373668,0.225279772,0.266327657,0.261157843,0.267825792,0.281774602,0.290486007,0.193893511
31,Denmark,0.207210319,0.222028848,0.215347693,0.211346436,0.228014822,0.214031898,0.210802863,0.215613407,0.243965564,0.225804782,0.222131429,0.218466737,0.09662795,0.154606812,0.183888394,0.114792587,0.176441258,0.140258798,0.192174687,0.194397647
52,Indonesia,0.112052804,0.253537434,0.332214095,0.242887063,0.192982146,0.135682202,0.092037178,0.151106938,0.205657498,0,0.191992796,0.167267105,0.229009143,0.30029809,0.217197202,0.117600346,0.231932736,0.240352958,0.279847256,0.194402894
79,Montenegro,0.084355592,0.144186918,0.204511166,0.215013991,0.202995728,0.281244922,0.127415986,0.166685162,0.244032465,0.167691989,0.219017606,0.308426167,0.181028362,0.219372609,0.079413297,0.245036754,0.257832377,0.143414826,0.207036257,0.194669062
120,Vietnam,0.165351687,0.171892348,0.173973801,0.181039805,0.186279443,0.147831006,0.178023161,0.133397304,0.102663439,0.099885189,0.225318104,0.226503426,0.266562854,0.261878665,0.210921001,0.19810269,0.238563014,0.259066683,0.275276976,0.194870031
41,United Kingdom,0,0.091664332,0.082240111,0.142122891,0.133106415,0.131171293,0.188417752,0.218595432,0.198683232,0.254663463,0.263353469,0.276250018,0.284385918,0.257974538,0.199043461,0.19247252,0.218360976,0.292445753,0.291291698,0.195591751
35,Spain,0.019303785,0.006959526,0.07408403,0.083141229,0.125743722,0.126955729,0.194147226,0.193779719,0.205128729,0.219042252,0.235790756,0.284964257,0.267178873,0.283614621,0.289908797,0.279429297,0.294261704,0.258850858,0.287286588,0.196293247
110,Tajikistan,0.189586989,0.192301421,0.195773636,0.194099941,0.189571515,0.198198694,0.202653568,0.203299544,0.193248778,0.200343746,0.196443703,0.194847808,0.194100606,0.197212682,0.200611494,0.200902977,0.198470442,0.188104045,0.207041868,0.196674392
24,Cameroon,0.137387586,0.145057698,0.166947287,0.152456237,0.176508973,0.173819152,0.188814225,0.133994993,0.168884309,0.189642909,0.187338125,0.216434377,0.258882421,0.253905153,0.253929066,0.24862037,0.230302589,0.231375358,0.222623433,0.196680224
2,Armenia,0.202813982,0.191892423,0.187667429,0.212939895,0.190610588,0.191990717,0.170109321,0.169414805,0.212916031,0.196838599,0.203448965,0.205894798,0.196717282,0.19390128,0.181597909,0.199646559,0.220688342,0.196842784,0.218811857,0.197091767
87,Nicaragua,0.20120996,0.167688956,0.166667764,0.133674239,0.141165803,0.148958146,0.143781657,0.120244845,0.131867761,0.155509772,0.185836004,0.22097521,0.251269832,0.254335414,0.284213497,0.294759124,0.202810493,0.267700946,0.272633876,0.197121226
99,Russian Federation,0.020560382,0.038806097,0.057525814,0.085497018,0.139211516,0.166708265,0.22416343,0.228470042,0.236355123,0.240667253,0.240354964,0.242350134,0.238824588,0.238086424,0.244514492,0.264967666,0.27555892,0.281631038,0.285631961,0.197362375
19,Canada,0.176756697,0.202769729,0.156108183,0.134998982,0.176343398,0.188117797,0.182020521,0.189232122,0.227119534,0.200444049,0.23958412,0.266436803,0.261879258,0.213399242,0.215740039,0.187493036,0.195023309,0.183162222,0.155227677,0.197466143
15,Bolivia,0.029864495,0.038736625,0.072263652,0.215591991,0.257378026,0.125911764,0.14371258,0.13301563,0.146584942,0.098023627,0.213865731,0.190639806,0.243680552,0.291740736,0.338430011,0.277120902,0.378509462,0.239759467,0.317125131,0.197471323
115,Ukraine,0.052164452,0.07454228,0.128298057,0.173099836,0.17869033,0.209745914,0.227425328,0.250225087,0.276008939,0.237107471,0.237284649,0.208657856,0.180633546,0.213716973,0.208699869,0.186596169,0.250594109,0.206488284,0.256856816,0.197728209
50,Croatia,0.18750105,0.189708445,0.181700829,0.190180875,0.18669356,0.193471373,0.188236121,0.200765045,0.19319084,0.200581283,0.199306856,0.202088568,0.20781489,0.207113004,0.202840244,0.201487495,0.214510547,0.208986444,0.204613471,0.197936365
81,Mozambique,0.162877023,0.16586602,0.160076844,0.167696067,0.190300091,0.197120591,0.185546562,0.203916588,0.201310355,0.205699915,0.201037895,0.215282919,0.212857492,0.218329939,0.207226855,0.217225778,0.218407904,0.215401373,0.215354041,0.197975487
90,Pakistan,0.181469795,0.1903768,0.189113342,0.190480388,0.189536667,0.183020322,0.153916162,0.150313847,0.141009299,0.132753982,0.139348771,0.14355853,0.16293857,0.243769645,0.266525021,0.275283473,0.278366224,0.283055374,0.27993383,0.198672107
57,Israel,0,0.088096709,0.120445691,0.106503548,0.147032853,0.190350963,0.226033988,0.186115698,0.180808309,0.191472138,0.22988128,0.23518185,0.271468658,0.270972584,0.284050304,0.255564576,0.270252823,0.258933665,0.279329126,0.199604988
55,"Iran, Islamic Rep.",0.155987737,0.129650432,0.13957965,0.15462534,0.160647223,0.191803319,0.194910717,0.19175076,0.218848882,0.212062592,0.214266016,0.221643057,0.234767232,0.234449784,0.23547496,0.239460794,0.259128372,0.193305814,0.218818954,0.200062191
9,Burkina Faso,0.252611227,0.250322817,0.267338928,0.320331594,0.308206541,0.242336474,0.091257242,0.147163911,0.189576827,0.283316253,0.228220935,0.222168674,0.209662704,0.247883521,0.053142984,0,0.164317314,0.166321386,0.181218898,0.201336749
8,Benin,0.151241141,0.181913457,0.152628569,0.186866517,0.179109547,0.1725089,0.185231374,0.19818151,0.197021036,0.212839834,0.230531152,0.221739946,0.233499507,0.231845987,0.174142584,0.232755307,0.234264409,0.232146092,0.228887573,0.201966023
122,South Africa,0.126045792,0.155670503,0.174363714,0.181596837,0.176696657,0.190179793,0.198030165,0.219620311,0.234792945,0.242574767,0.237175151,0.230094411,0.22360256,0.216171503,0.215355241,0.202590468,0.197537822,0.197416062,0.217919315,0.201970211
61,Kazakhstan,0.088733891,0.08749193,0.074732086,0.106020946,0.142763435,0.177687521,0.130992749,0.13955098,0.200306969,0.198445654,0.223996115,0.247751325,0.280580188,0.289562597,0.272034817,0.284553365,0.290685815,0.292621049,0.32902331,0.203028144
