,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,0.178243291,0.178835165,0.179384762,0.179960195,0.180418193,0.182139794,0.18238406,0.182684694,0.183048744,0.183415142,0.183349378,0.183487952,0.184154984,0.184711627,0.185218948,0.185658156,0.185979929,0.186210102,0.180824519
1,Argentina,0.178589899,0.177802651,0.179662763,0.180344404,0.181050046,0.180025185,0.181549276,0.182257318,0.181741287,0.182708545,0.183531795,0.183589398,0.184223036,0.184235037,0.183150172,0.184410247,0.184808671,0.185492712,0.182151712
2,Armenia,0.177650578,0.178696199,0.178658677,0.179586728,0.180074518,0.180925024,0.181102629,0.182140746,0.183008762,0.183371478,0.183744199,0.184299529,0.185255097,0.186200659,0.186770998,0.187376358,0.187771593,0.18870965,0.180539795
3,Australia,0.178598309,0.179274034,0.179835321,0.180620033,0.181066883,0.18162817,0.181857045,0.182189457,0.18252732,0.18297417,0.183312032,0.183540906,0.183878768,0.184102193,0.184211181,0.184325618,0.184881456,0.185219318,0.185889593
4,Austria,0.178475766,0.178370644,0.179615515,0.179958546,0.181203417,0.181883946,0.18245382,0.182226977,0.182791319,0.183704224,0.183599102,0.184052788,0.184855038,0.184174509,0.185198069,0.185203602,0.185314257,0.185773476,0.184180041
5,Azerbaijan,0.177219878,0.178603091,0.180181613,0.180759513,0.182372816,0.183544668,0.184101164,0.18555929,0.186022145,0.18723948,0.188245453,0.189639369,0.190268102,0.191164382,0.192643912,0.193296724,0.19466656,0.195581568,0.178902743
6,Burundi,0.169448059,0.172728948,0.176644957,0.180085475,0.1829588,0.185872881,0.189211508,0.191514244,0.193867925,0.196204624,0.198663593,0.201183696,0.203333595,0.204518926,0.206475233,0.20905647,0.20951498,0.21176677,0.209100623
7,Belgium,0.177520331,0.177642335,0.179344835,0.17957775,0.180487229,0.181402254,0.181169339,0.181973451,0.182311733,0.183226758,0.182772018,0.183232303,0.184823892,0.184152874,0.185167719,0.185289723,0.185522638,0.186432117,0.18370368
8,Benin,0.17749605,0.177909955,0.178185891,0.179123448,0.180161345,0.18084805,0.181456364,0.181729165,0.18300537,0.183315799,0.184112251,0.184893026,0.185394728,0.186184909,0.186692883,0.187686881,0.188577403,0.189561994,0.18841435
9,Burkina Faso,0.170431877,0.172163719,0.174234616,0.17648169,0.178642337,0.180746475,0.183960854,0.186011807,0.187733677,0.189887677,0.191529769,0.19220788,0.193989583,0.195605082,0.197203961,0.197902017,0.199600618,0.199574026,0.198550211
