,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,6.909384383,5.323896566,4.219147004,4.988969195,3.101513179,3.460785836,3.097230044,2.859022604,4.307963049,4.848731527,5.387614869,4.270284194,4.039627015,2.214131417,2.73694779,2.010977859,2.289492444,2.256229188,2.119674752
9,Argentina,9.474084041,7.789882479,6.073994134,5.651413609,5.372885371,5.39004049,5.915645195,6.52623068,5.829456464,6.076887217,6.341726925,7.280305064,7.570798931,6.586123277,6.033309523,5.273442563,5.380834356,5.142843425,5.345632182
10,Armenia,2.274243435,2.819259491,2.766007435,1.945484832,2.670451722,2.625642984,3.336067533,3.358616444,1.946259602,2.46824653,2.253627387,2.174218394,2.47218534,2.563612629,2.963066904,2.377080327,1.693915557,2.468110658,1.754839476
13,Australia,1.886465108,1.538919138,1.322960651,1.283541631,1.368975412,1.219142604,1.223497165,1.209148037,1.042668759,1.100363732,1.060952322,1.053540861,1.029816973,0.9861068,0.935592108,0.846057448,0.887616041,0.892743779,0.866670711
14,Austria,0.799075236,0.611556834,0.718040213,0.65425552,0.73623971,0.541273226,0.695316504,0.609125561,0.689659683,0.887206378,0.929167995,0.724621505,0.522332318,0.530035315,0.617332925,0.793659612,0.967228608,0.85984446,0.721709007
15,Azerbaijan,2.561294372,2.6754956229999998,2.3925789909999997,2.575224215,2.450766356,2.166378561,2.176409557,3.217303329,2.280662034,2.306949593,2.18032261,2.354704353,2.482742833,2.192722427,1.735818491,1.848594804,1.979991632,1.672021282,2.268429137
16,Burundi,7.301465259,8.068249834,5.3757921075,4.7102342565,4.642091899,4.2764777135,5.3719164025,5.508554974,5.1620111925,5.706839009,5.407748568,5.450561209,5.72920312,4.537386391,6.054537366,5.547006393,4.9672969175,4.0316235875,4.986899411
17,Belgium,3.077701148,2.0003708395,2.302529781,1.858657703,1.5251311855,1.9537465675,2.0649940915,1.804429433,1.816700241,2.8118277089999997,2.875867637,2.2309872255,1.653288131,1.674988355,1.383699593,1.520548408,1.237328542,1.1541987795000002,1.961526202
18,Benin,1.3964365545,1.260856346,1.5417130975000002,1.235739148,1.346740966,1.316314335,1.2594914625,1.063649649,1.200789138,0.9958523429999999,0.9498824435000001,0.990087519,0.8717976620000001,1.0105349935,2.3341346515000003,1.127497407,0.830247237,0.9524744395,1.10108467
19,Burkina Faso,0.634502437,0.640082234,0.598592111,0.469380905,0.498945237,0.659555211,1.027929386,0.891613012,0.78819825,0.559634844,0.693972912,0.708730049,0.739223164,0.646029931,1.120862796,1.25044052,0.7855390005,0.7198179245,0.661229877
20,Bangladesh,2.644211087,2.57508632,2.848457346,2.583512751,2.956263046,2.707829583,2.840527873,2.8912153,2.702346806,2.656874612,2.724399874,2.875726215,2.921354125,2.582296097,2.273113534,2.222494688,2.373328796,3.277283075,3.5118191245
21,Bulgaria,3.241700421,3.164919469,3.150570137,2.588798386,2.437419899,2.336117096,2.285992554,2.007089307,1.99326304,1.734734203,1.92255066,1.495180033,1.545755466,1.75006344,1.104594161,1.450203395,1.304666594,1.185694468,0.993027936
24,Bosnia and Herzegovina,2.394006047,1.7660930895,1.806495627,1.597877887,1.5673704155000001,1.754017164,1.75800244,1.900456243,1.511276008,1.392996179,1.747586389,1.298482074,1.435912634,1.662116744,1.328898553,1.253157509,1.17331026,1.272342486,1.310649945
25,Belarus,10.14782373,8.8056812985,6.610127568,6.67674101,8.348347686,6.845620396,5.839505631,5.162639578,4.256639934,3.961630178,3.610474411,3.533718144,3.604848394,3.453600559,3.250177489,2.539619923,2.39087279,2.380345582,3.4386475985000002
26,Belize,33.1571305,24.86749707,28.56977535,28.54142735,31.57844154,32.43810842,33.56995261,30.82741415,40.00434156,37.54890442,42.89928136,28.63696714,34.80810265,32.97074747,37.45938507,37.78857029,37.32989446,34.32807909,25.65256865
28,Bolivia,11.727613891499999,11.193105579000001,10.362108016,11.107643045,9.7387550895,10.802830696000001,11.638770261,11.3199238925,10.910871529,10.7620927655,8.780019599500001,8.3952377275,7.2594072910000005,6.17310528,5.429746782,6.405873462,4.791625929,7.000719702,6.8775759359999995
29,Brazil,27.68780541,28.08658068,26.30016088,25.57016037,26.12833694,25.10434349,26.10785059,26.54181631,26.71709586,26.44514158,28.29482976,28.27604367,29.45940868,28.45576342,29.68912141,30.69182795,26.72467739,20.8827768,22.45113506
32,Bhutan,3.08429041,0.796381244,2.348119704,1.695584082,1.36902118,2.105665292,2.680122869,2.358737427,2.334055918,4.615626492,4.703655453,3.379163235,2.490955604,1.648612075,1.221654228,1.743648759,1.193007386,1.048363635,2.462377464
33,Botswana,14.95919659,17.98906472,14.66979094,16.17496083,14.21637541,14.92968651,14.66875753,14.79399743,15.24830583,13.93607051,11.835088355,10.3900166995,8.379452928,7.4483672795,6.500600093999999,6.2646042535,8.1832393985,7.3500900405,5.501915889
35,Canada,1.866685312,1.743518794,1.964451907,2.064399759,1.868642198,1.812892765,1.841762155,1.807616662,1.628227324,1.754530423,1.569209992,1.442067897,1.463646963,1.693190167,1.682106961,1.815850886,1.780196543,1.836356425,1.968620924
37,Switzerland,1.191073376,1.3124447825,1.186696821,1.119933145,0.921390744,0.9636560155,0.8944075195000001,0.661143997,0.665926123,0.581763878,0.561937641,0.702933428,0.499634231,0.68701393,0.536998287,0.532179285,0.586468024,0.535421571,0.543062675
39,Chile,6.6789138135,3.236664736,3.0305980495,3.559353738,3.607568238,3.72651246,3.519218494,3.730860685,3.17069021,3.690468564,2.494201413,3.164212799,2.466359393,3.394668123,3.404896197,4.217550913,4.404894484,3.962635147,4.844056685
40,China,2.009863821,1.85455293,1.867680969,1.56074306,1.342863413,1.197553726,1.094217934,1.077529358,0.97968265,0.872867465,0.815340829,0.764431884,0.720495296,0.653944197,0.610586892,0.562271461,0.527090789,0.780252708,0.7847539305
42,Cameroon,6.302878692,5.96397722,6.3636421215,7.442928306,5.9751535205,5.918445674,4.030608943,6.452779349,4.911205986,3.993993799,4.095829947,3.2589839915,0.934667904,1.154586912,1.153530332,1.388093415,1.84144571,1.563612414,2.532695015
45,Colombia,69.4477013,56.70396437,48.03218599,42.46650308,40.4598043,39.32093805,36.47047839,35.34520875,34.18416048,35.31762993,35.68039662,33.16235475,28.40888163,26.89777061,25.74361732,25.01950323,25.3438026,23.99708714,22.64022613
48,Costa Rica,6.291268159,7.204519251,6.626974247,7.817050223,8.077468213,8.377555779,11.4717878,11.61314555,11.51315897,10.23076196,8.681735059,8.667026141,9.947053316,11.48973608,11.79751705,12.18192893,11.70130353,11.15390185,11.18938445
53,Cyprus,0.204714996,1.1468470105,1.583515603,1.946174648,1.434709251,1.222139911,0.832125211,1.730278693,0.719025505,0.800115928,1.938247437,1.04907393,0.954614999,1.292004131,1.110931653,0.593378741,1.261286411,1.251487184,1.24237904
55,Germany,1.437417327,1.344126024,1.36196941,1.279368821,1.212683069,1.092548773,1.025093816,0.992583915,0.981107786,0.912737937,0.81385526,0.840166637,0.879062919,0.833869164,1.171621645,0.983565991,0.947976619,0.745955502,0.933353043
56,Djibouti,8.93899635959091,10.160946731869567,9.206055688705128,8.99380856078205,8.671838678493671,8.655994360359552,8.657303045937502,8.582991394361702,8.693485926836736,8.568700097210526,8.12859465571134,7.301899900488636,7.827611984651163,7.71578314071591,7.7283111248089895,7.214601057977778,6.623042276875,6.512034288253164,5.809719014242856
58,Denmark,0.893389255,1.1468470105,1.276047155,1.1014780535,1.1065520625,1.151975111,0.9564412120000001,0.9955894515,0.75609616,0.823932738,0.837653935,0.85134278,1.306451274,1.089880895,0.98050442,1.238600298,1.008321959,1.143475511,0.949552355
59,Dominican Republic,14.65906947,21.49075564,24.94862077,26.31561013,23.25712323,22.60448175,25.31169384,24.79968123,25.51800045,25.60831466,22.83777247,19.6850668,17.80587893,6.3248902145,15.54184189,11.56650967,10.04973395,9.554000449,8.858854208
66,Ecuador,14.50150322,14.994024054999999,13.355477285,14.789459495,13.655447585000001,15.89893621,17.93510341,17.76720454,17.48038154,15.37009758,12.42075548,10.98203384,8.212222897,6.476675149,5.815252285,5.778846752,5.818187267,6.83218277,7.776428805
67,"Egypt, Arab Rep.",0.993193756,0.646746135,0.434125658,0.691174899,0.714158697,0.869208153,1.214273716,1.124055428,2.222054565,3.197709631,2.553740796,1.557427692,1.4529724445,1.2509773305,1.081215888,1.086386253,2.6483344555,0.8075277555,0.830200072
70,Spain,1.34543291,1.378048948,1.200692384,1.176761424,1.06419699,1.060994622,0.883461047,0.884432076,0.854445688,0.817683334,0.773430388,0.643504017,0.69049661,0.647070029,0.630439538,0.658128503,0.618938273,0.712500916,0.637367946
71,Estonia,10.26948726,8.8056812985,6.8489173595,8.3443381395,7.0141418170000005,7.141289672,6.417589568,5.238971964,5.254848912,4.895680579,4.761318144,3.942177356,3.114855353,3.421194681,2.506633083,2.197987099,2.116541299,1.734999234,3.166133826
72,Ethiopia,7.1725369615000005,7.4247278015,7.2273693025,10.6523331815,10.1675157315,7.5230253355,8.9371447595,10.723568126,8.983687058000001,8.983264071499999,8.792478547,8.1461792985,10.361546258,9.3829877495,8.621702035,10.0216340335,8.499937343000001,7.780127417,10.445390049
75,Finland,2.531952473,1.970497633,2.823255614,2.262816431,2.254859791,2.435000126,2.500257545,2.246237832,2.217756063,2.040802696,1.625184749,1.636335021,1.611305505,1.49604242,1.346013998,1.215668258,1.557241763,1.590699038,1.64238642
76,Fiji,2.6027527294999997,3.063432662,2.812203496,2.799395331,2.657425269,2.511405969,2.010987087,3.397232544,2.326079068,2.316286622,2.311964997,2.195004171,2.308277367,2.387509262,2.0044660125,2.035544746,2.087181344,2.07006597,2.231037298
77,France,1.871130009,1.638131016,1.631026352,1.596855295,1.429060928,1.604998181,1.64123616,1.309501514,1.265912669,1.353954161,1.233398208,1.216085744,1.233768813,1.570131652,1.366990791,1.253807051,1.198636503,1.321976902,1.346641192
81,United Kingdom,1.865951714,1.55469742,1.586698191,1.383360951,1.413977188,1.420548063,1.226162681,1.123691719,1.191305343,1.001219551,0.971711871,0.927920505,0.900294343,0.989976503,1.190082154,1.212394363,1.124487833,0.8193496405,0.9000118770000001
82,Georgia,6.856756947,7.9657324185,7.051900807,9.572087318,7.709342052,7.919632529,6.348596357,5.097718407,4.561981471,4.179839428,5.551875474999999,4.028062702,4.188103536,3.8513759829999996,0.971246859,2.270049589,2.223362494,1.92655955,2.7357795185000002
83,Ghana,1.980601368,2.101173631,2.124826206,1.80154179,1.841006974,1.737506263,1.824830528,1.766583952,1.703012807,1.666160319,2.154139945,2.070833713,1.994528454,1.885152692,1.927536766,2.091241017,1.333054657,1.4873895044999998,1.5821656320000002
85,Guinea,8.93899635959091,10.160946731869567,9.206055688705128,8.99380856078205,8.671838678493671,8.655994360359552,8.657303045937502,8.582991394361702,8.693485926836736,8.568700097210526,8.12859465571134,7.301899900488636,7.827611984651163,7.71578314071591,7.7283111248089895,7.214601057977778,6.623042276875,6.512034288253164,5.809719014242856
86,"Gambia, The",8.93899635959091,10.160946731869567,9.206055688705128,8.99380856078205,8.671838678493671,8.655994360359552,8.657303045937502,8.582991394361702,8.693485926836736,8.568700097210526,8.12859465571134,7.301899900488636,7.827611984651163,7.71578314071591,7.7283111248089895,7.214601057977778,6.623042276875,6.512034288253164,5.809719014242856
87,Guinea-Bissau,5.534821117,4.5319158999999996,3.954067404,4.2161574505,3.1568561415,3.2282952480000002,3.0525795705,3.1088195240000003,3.1271113254999996,3.6584890285,3.820621128,3.2222512940000003,3.2559061775,1.9250535255,3.590595781,1.148704753,1.874510685,1.7284472329999998,1.937257114
89,Greece,0.840613584,1.0144339150000001,0.987984594,1.175967501,0.98343968,1.169025746,1.304310965,1.386953946,1.616511935,1.699129584,1.539728854,1.424514555,0.99986357,0.872441787,0.791319377,0.813665878,0.940863945,0.74474013,0.748340986
92,Guatemala,29.74071113,33.89470116,35.21939566,40.76045042,43.92767288,42.19607621,44.92225708,45.38897788,40.73703967,38.00307075,33.75729351,33.05372638,32.98952135,38.267676015,35.776346875,32.13128435,28.22959725,24.95239876,17.46525801
97,Honduras,52.28547262,57.31515441,49.96599594,43.06217658,40.84201619,45.94980867,55.82038741,64.77907636,74.97474892,83.76696653,83.00261136,73.09180494,65.78022482,56.49132263,55.55079748,40.97988592,38.9255911,42.00648156,36.326526
99,Croatia,1.660675344,1.572144695,1.893301295,1.553197234,1.693060876,1.421227221,1.631194317,1.12870431,1.432478398,1.136074348,1.187187039,1.075622581,0.845960468,0.874110592,1.045475574,1.099729443,0.577421797,0.798973634,0.974357825
101,Hungary,1.996599683,2.248223386,2.066344284,1.626025611,1.730369284,1.536288634,1.811473271,1.39566094,1.390094869,1.465284529,1.257050253,1.566007788,1.489037573,2.260193241,2.071163963,1.64442885,0.885912771,0.660837529,0.828127345
106,Indonesia,0.7167888364999999,0.742137856,0.635508775,0.5618182125,0.6175924735,0.6004142185000001,0.861622945,0.7503692865,0.7389289665000001,0.723420611,0.8115704535,0.7166757770000001,0.630777741,0.5880326229999999,0.8690978604999999,1.022050066,0.731858391,0.7547399260000001,0.44072977049999995
109,India,4.18323251,3.988311009,4.115530652,3.929471073,3.857703033,3.833809745,3.831111722,3.763079037,3.76413425,3.810322288,3.75088806,3.581862223,3.655138309,3.386857916,3.195126375,3.063995779,3.029995477,2.962417593,2.945715278
111,Ireland,1.330605592,0.929630256,0.739256569,1.255669226,1.465506584,1.803614582,1.154925042,1.179200155,1.207641958,0.914810455,1.12842349,1.104990092,0.7698777615,0.666319894,0.724052822,0.820485892,0.809347927,0.696364853,0.688566316
112,"Iran, Islamic Rep.",2.6027527294999997,2.819259491,2.830330421,2.691454041,2.8068441575,2.4371040720000003,2.5084687150000002,3.037374114,2.49150442,2.4819121025,2.4523612420000003,2.663373062,2.499168375,2.387509262,2.0044660125,2.035544746,2.194371056,2.07006597,2.2497332175
114,Iceland,1.401890449,0.8339859574999999,1.0373350315,1.017031894,0.0,0.655348793,0.0,0.316398624,0.624332744,0.927440172,0.307085695,0.305629076,0.304328772,0.908438485,0.301015325,0.897142601,0.890969137,0.294953058,1.465201465
115,Israel,3.371527226,2.723635132,2.485730111,2.588265204,2.290199399,1.971623806,1.709199138,2.002771335,2.041803615,1.96337832,1.680904894,1.641922761,1.375057676,1.378705962,1.282528119,1.492021506,1.383999321,1.467244127,1.094369138
116,Italy,1.126218272,1.3124447825,1.186696821,1.04664953,1.067598291,1.074081641,1.043750703,0.998212996,0.891694785,0.926344378,0.885111389,0.834346793,0.78629858,0.774202209,0.665973571,0.619708436,0.592142572,0.523533474,0.471371788
117,Jamaica,38.80656986,35.98532242,53.98131461,61.09489051,48.64918636,57.22069959,58.19828324,60.1965993,51.48616029,40.09296756,38.77376388,42.04693725,34.95485606,41.81909247,46.58937556,56.38773397,43.92042804,45.45027486,44.94858604
118,Jordan,1.7698899875,2.9442773005,2.146112869,1.9364701245,2.3638096490000002,1.790484534,1.830252332,1.479706693,1.597457069,1.840044537,1.99012035,1.690340829,1.906081319,1.629512874,1.371112399,1.359106628,1.2786547905,1.138422584,1.19571034
120,Kazakhstan,13.13418692,13.18539117,13.71146102,13.43850054,10.924677876499999,9.9363864425,11.39191556,11.03907214,8.534190879,8.610930218,7.557521785,6.578128966,5.224642582,4.854310918,5.742142074,5.06083427,5.487086929,6.678490837,3.227402973
121,Kenya,6.6789138135,3.6124878725,3.366608703,2.958643133,2.937551739,2.846230245,3.053831143,4.663560267,4.58236654,5.259590067,5.353663242,4.516211716,4.935753513,4.722386046,4.817382764,4.910282215,4.928728024,2.997681343,3.457234621
122,Kyrgyz Republic,8.234034088,8.377317575,8.315150144,9.674228722,8.703493633,8.02409698,7.935346526,7.854225573,16.76410998,8.463323273,6.759661825,5.251851583,5.475213452,5.118200219,2.9962167,3.263471878,2.918770151,2.19768196,1.747343081
126,"Korea, Rep.",0.772380899,0.801109493,0.865970515,0.843982909,0.850396174,0.877740823,0.873530511,1.078645607,0.978157179,0.80946202,0.868946159,0.699165689,0.744942924,0.737853645,0.698265865,0.589082505,0.603849393,0.579791389,0.600750747
129,Lao PDR,8.93899635959091,10.160946731869567,9.206055688705128,8.99380856078205,8.671838678493671,8.655994360359552,8.657303045937502,8.582991394361702,8.693485926836736,8.568700097210526,8.12859465571134,7.301899900488636,7.827611984651163,7.71578314071591,7.7283111248089895,7.214601057977778,6.623042276875,6.512034288253164,5.809719014242856
138,Sri Lanka,9.6612094235,6.8039261,6.8489173595,6.236893059,10.37775379,6.993455034,10.01802243,5.461274446,3.76571842,3.588499858,3.292325536,2.9956851,2.660123053,2.329249287,2.521267006,2.300262003,2.421243634,3.479690752,3.4386475985000002
141,Lesotho,38.220922865000006,38.16346593,37.47897274,39.728355699999994,41.665023485000006,45.04445561,37.84352307,39.303039055,38.28470491,35.5326124,31.81160384,32.43731415,32.81639086,43.56460456,29.787655824999998,33.901187535000005,32.3143857,30.68455927,25.463735355
143,Lithuania,8.505630408,6.874853769,10.14452548,11.12354037,8.718477633,8.499581465,9.27520498,7.956378837,7.010635999,6.843090846,6.632603977,6.58039481,5.350836514,5.866558977,5.294932957,3.514420899,3.284224655,3.406252503,3.710110345
144,Luxembourg,1.352182761,0.670665322,0.442652195,0.873652391,1.503400908,1.473941762,1.648115071,1.006976332,1.96893028,0.770249869,0.0,0.184313451,0.721354993,0.882237212,0.863161311,0.337886923,0.496488174,0.649635392,0.159750534
145,Latvia,9.174595117,1.9417054354999999,1.1898955525000001,2.1252643185,2.1608634675,2.2978603065,2.366746105,2.4274580565,2.6963723875000003,3.4440890975,3.383247512,2.445047556,3.166404449,3.353898907,3.494971546,4.151510663,4.355804966,3.933415148,3.711161371
