,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
89,Greece,64.92796326,70.00507355,76.22245026,85.31207275,90.0983429,87.39504242,92.67103193,93.12340548,103.7962799,109.1592636,113.7406006,116.3768234,122.4020004,106.4753532,131.540863,136.6025696,142.8520355,148.5308838,150.8760681,107.4793749
126,"Korea, Rep.",82.14562988,84.35980225,87.48885345,91.69358063,97.05217743,101.9281769,104.0928802,104.2780991,102.7910233,100.747139,97.42758942,95.60864258,94.85205078,94.33984375,94.03362274,94.3496933,95.864151,98.44618988,102.4673615,95.99823722
13,Australia,72.4471798,74.76803208,76.48711014,77.83012581,82.00845337,84.16990281,86.07491682,87.24227908,88.01121142,88.52227021,87.43693924,86.91627121,87.92393112,118.6108627,120.9657135,113.1421585,107.8080521,115.9520416,114.189888,93.18459682
75,Finland,84.83998108,86.94397736,89.51747131,91.67951965,93.15744781,93.75906372,94.69184113,91.29065704,93.44780731,94.9199295,92.87734985,90.9941864,88.88166046,87.67987061,86.97852325,88.1978302,90.2617569,92.95500946,95.04788971,90.95377751
251,United States,72.46667481,74.90560341,77.26476669,80.63482666,81.43544006,82.71290589,82.95828629,82.87493897,86.51297379,90.52877426,92.47438812,88.72641754,88.6268692,88.88941193,88.83505249,88.16738892,88.29917908,87.88871002,87.56765747,84.83001398
222,Slovenia,66.28983307,68.98806763,72.36907196,79.24755096,82.57848358,84.57386017,85.51544952,86.44242859,89.15319061,86.01754761,87.01795959,85.28806305,82.23113251,80.26098633,77.84908295,78.58899689,77.11312103,77.88276672,79.9208374,80.38570685
25,Belarus,60.09336853,62.86722946,65.01206207,67.57421112,69.71343231,71.66674805,71.22473145,74.45922089,79.57814026,86.13761902,92.07142639,93.54328156,91.50016022,89.56716156,88.18457794,88.45143127,87.42909241,87.7572403,86.59693146,79.65410875
70,Spain,61.58797073,63.96755981,66.09031677,67.15335083,68.53449249,68.75184631,69.74542236,71.5843277,75.91094971,80.0379715,82.27033234,83.72563934,85.4462738,85.61177826,86.51608276,88.85301208,91.11257172,92.88234711,95.96486664,78.19721643
177,Norway,73.32669067,79.06717682,79.22766876,78.52335358,77.67086029,75.48996735,72.59346771,73.17961884,73.49385834,73.66792297,73.57134247,76.50003052,77.54350281,77.9589386,80.54653931,81.99234772,83.01725769,83.23069,84.44367218,77.63394245
58,Denmark,63.50836182,67.50428009,74.39499664,80.37451172,79.01963043,78.55219269,75.68209076,74.28376007,73.59667206,76.75834656,79.10832214,80.9310379,81.02908325,82.12949371,81.05674744,80.6160202,81.18334961,81.83975983,82.8392868,77.60041809
9,Argentina,62.74872971,65.1762619,65.48536682,63.96667099,66.96472931,66.41162872,68.05695343,70.20645905,73.23139954,76.29740143,77.44628906,78.22389984,80.99581146,84.0019989,87.21344757,89.95851898,91.6006012,95.44790649,99.1662674,76.97896536
202,Russian Federation,66.85832214,70.6703186,70.59243774,72.56594086,72.79666901,74.02127075,74.89585876,75.3270874,73.5452652,76.18489075,75.90708923,77.85031891,78.46309662,79.93813324,80.63262177,81.90930939,84.5842514,86.40014648,83.64147949,76.67286883
143,Lithuania,63.0700798,69.63041687,74.90138245,79.72981262,82.45317841,82.51583099,85.74508667,89.25216675,86.5725708,84.05558777,79.75163269,73.53320313,70.40061188,69.74053955,71.11852264,72.41745758,73.7303009,72.00897217,70.78690338,76.39022406
145,Latvia,67.80930328,71.03424072,74.60855865,75.41919708,74.59651184,73.04329681,72.36354065,73.05489349,69.05104065,67.95346832,66.64354706,69.07659912,70.89794159,74.29988098,80.60481262,88.05742645,93.02448273,94.86453247,94.51083374,76.36390043
248,Ukraine,56.56587982,60.84936142,65.71183014,70.30892181,75.3947525,78.89259338,81.24918365,81.96871185,80.17552948,82.19396973,81.71401978,80.15564728,82.67118073,78.9477768,77.32859421,76.23051452,77.14329911,79.71429825,83.55651856,76.35645174
14,Austria,62.16835022,64.57191086,65.78784179,65.56001091,67.7496109,63.0472908,65.88690186,68.11264801,75.6237793,78.49945068,78.93891144,79.65540314,79.15869904,80.71942139,83.45494843,85.05713654,86.68834686,86.47553253,87.21138763,74.96671486
114,Iceland,54.57971954,62.39247894,68.21237946,69.88067627,72.12460327,71.11840057,73.74511719,74.4150238,78.8184433,81.4707489,81.95588684,80.29685211,81.43798065,75.76605988,73.60044098,71.84500885,73.1032486,77.58883667,84.27375031,74.03292927
223,Sweden,75.28256989,81.41976166,83.76122284,81.95384216,79.32479858,74.83711243,70.73696136,70.74315643,73.67311096,72.82540131,68.81764984,63.21715927,62.18059158,62.28247833,63.54801941,66.9882431,72.46116638,77.32910919,84.51622009,72.94203025
176,Netherlands,55.19102097,55.7432518,56.97795868,58.68983841,59.65945053,59.94197845,60.33618164,61.16703033,63.71601868,75.87854767,76.60666656,75.88544846,76.07804871,80.5699234,80.36483765,84.98045349,87.09784698,83.30685043,92.01217651,70.74755418
71,Estonia,61.53720856,64.39907837,66.18383789,67.91280365,67.86591339,67.67472839,66.44184113,66.63191986,68.18450928,70.36908722,72.37506866,73.9212265,73.30776215,72.1676178,71.39044952,69.04592133,70.36543274,74.231987,75.68293763,69.45733321
17,Belgium,59.38277817,59.83446121,61.02286911,61.08547974,61.65359116,61.20013046,62.08623886,65.26769257,67.82901001,69.8425293,71.1920166,72.11549377,72.99739838,74.55976105,75.89064026,79.66172791,78.90116882,80.13816833,80.88874817,69.23946863
39,Chile,40.37825012,43.46953964,43.93024826,49.36883926,48.23466873,53.95666885,56.73126984,60.91149902,67.86342621,72.2767868,75.93106842,79.9562912,82.84638214,85.26672363,87.18814087,88.4644165,90.8963089,93.10112762,91.66934967,69.0758424
190,Poland,57.8564415,59.48310089,61.05693817,63.5945816,65.36472321,67.21199799,70.22705078,72.31266785,74.75524902,74.6585083,73.9614563,71.85639954,68.44716644,66.94615173,67.00454712,67.82743835,68.62010193,69.18402863,70.47712708,67.93924613
111,Ireland,53.53480148,55.84616852,58.92190933,58.86931992,58.44118118,58.30199051,54.01747131,56.50397873,63.12643814,67.79859161,68.19725037,71.69954681,73.81323242,77.23214722,77.55713654,77.78061676,77.28288269,75.17993927,74.68031311,66.25183768
35,Canada,59.5465889,56.76303482,58.94784546,59.93509484,60.75286102,63.60005951,63.76739883,63.0657692,61.65584946,63.46731949,63.98077011,65.33229828,65.61290741,64.78695679,66.43917847,68.92250824,70.11302185,75.69882202,79.516922,64.83711614
116,Italy,55.55178833,58.67721939,62.24298096,64.43843079,66.10780334,66.68296814,66.34359741,66.54997253,65.77429962,65.56311798,64.13355255,62.29616165,61.70275116,60.93946075,60.93732834,61.93299866,64.29161835,66.0515976,69.46527863,63.66752243
115,Israel,57.42335129,57.40143967,57.13031006,58.74306107,58.33285141,61.21480179,60.42398834,63.14921188,65.92613983,66.58563232,68.57462311,67.0438385,66.94252014,65.4868927,64.90019989,63.35469055,61.47687149,60.32519913,61.07302856,62.3951922
194,Portugal,52.91067886,54.84885025,55.65270996,55.43175888,55.3979187,57.79473877,61.61090088,62.64160919,65.60205078,68.42896271,68.51029205,66.13674164,65.50357056,61.75632858,63.25564957,63.93581009,65.66265869,67.93070221,70.38208771,62.28389579
81,United Kingdom,62.56843185,62.06856155,59.35145187,58.96609879,59.03244019,58.49451065,56.64390945,57.90053177,58.92335129,59.14593124,59.40211868,57.03876114,56.5644989,56.45848846,58.42562103,59.99557114,61.38288879,65.77336121,69.4837265,59.87475024
21,Bulgaria,40.88225174,41.62207031,42.55524063,45.3680191,47.15087128,50.58832932,51.913311,54.23545074,57.79518127,59.02869034,61.35998154,64.19197845,67.56356049,70.30153656,71.2457428,71.03066254,71.52152252,73.37917328,75.40579987,58.79680915
77,France,50.25168991,52.31697845,53.45763016,53.88233185,53.87541962,52.94754028,52.47552109,52.77310181,54.8817215,55.62572861,57.90901184,59.8487587,61.51047897,62.78593063,64.72767639,65.80223083,67.54351807,68.35790253,69.34638214,58.43787123
101,Hungary,44.5506897,52.23563004,60.05670166,64.99211884,67.54415894,68.28498077,66.48384094,64.60788727,63.72238922,62.5932312,61.46318054,57.06502151,52.01586914,48.96213913,48.03886032,48.50038147,50.30653,52.44464874,55.15554047,57.3170421
55,Germany,35.73065567,36.1318903,37.52514076,39.06492043,40.68357087,57.09419442,57.84035492,58.65060997,59.72551537,61.24800491,47.82969666,61.38684082,65.50390625,67.74687195,69.58058929,70.2466507,70.34264374,73.52105713,72.98919678,56.99170057
99,Croatia,37.92010117,40.77352142,42.06106949,44.76409149,45.585289,47.18769836,49.16419983,48.7858696,54.02853012,57.22782135,60.64714813,65.53488922,67.51023102,66.4910202,66.53237915,67.86556244,67.65422821,67.72174835,68.09648132,56.08167789
250,Uruguay,40.16603088,42.44367981,43.63362885,45.33480072,46.05366135,50.69181061,50.93381119,49.99888039,51.23524094,53.03914452,54.5102501,59.87363052,60.7204895,59.6962204,62.54457092,63.12577057,63.67240906,65.15686035,67.88320923,54.24811052
163,Mongolia,35.79925919,37.98384857,40.78969955,44.65876007,47.53358841,46.93032074,48.4425087,51.40655899,52.2935524,54.13801956,56.55228424,57.82098007,61.35005951,65.00320435,60.64119339,60.72265625,59.94929886,64.47367859,66.60564423,53.32079556
214,Serbia,35.66371918,39.61336136,40.93379974,44.20524979,46.81958008,47.99300003,48.66537857,49.84967041,49.08272171,51.59376907,53.50003052,56.38087845,58.05496979,58.28768921,62.13697052,66.48674011,67.15866089,67.7898407,68.14311218,53.28206012
37,Switzerland,40.94654846,44.03966904,45.60078049,45.80414963,46.53779984,47.24253082,48.83327866,50.14809036,52.93772888,54.48451996,55.52046967,56.27014923,57.22972107,57.70735168,58.04695129,59.56298828,61.37744904,63.30805969,65.33409119,53.20696459
254,"Venezuela, RB",38.66276169,40.29644012,42.2471199,39.57223511,43.34566498,60.66341019,79.51647186,79.30056,55.63726997,51.9686451,49.17147065,44.96543503,48.22818566,49.23689843,51.36980438,54.64872933,55.33563996,56.25752449,70.22111321,53.19186211
53,Cyprus,25.1022892,31.9636097,35.86368942,33.22082138,33.41991043,36.17380905,42.61800003,52.00389099,48.31158066,46.53973007,45.86359024,47.52524185,53.10435104,60.10123062,67.17111206,75.94081116,81.33708191,88.48532867,92.9377594,52.50967568
186,Peru,30.5790596,30.64171028,32.49504089,32.76182175,34.21627045,34.96187401,40.69651413,65.6522255,43.86244965,44.78602028,34.29941177,54.45604134,59.30412865,63.92405129,71.13298798,70.73786163,75.83986283,81.0031929,82.96347809,51.80600016
201,Romania,32.82408142,38.13055038,42.21371841,46.38264847,52.47505951,58.27952957,65.79338074,68.59246063,63.99544144,58.18540955,49.71393967,46.84502029,47.13710022,46.72668839,48.24060822,49.38187027,51.01253891,51.3538208,53.23083878,51.07972135
221,Slovak Republic,32.08026123,33.88853836,35.98146057,40.35343933,44.77801132,50.18767166,53.75125122,56.04681015,57.0667305,56.24747849,56.14001083,54.36053085,52.68478012,50.70005035,47.79592133,46.63439178,45.36722946,46.42901993,47.62358856,47.79564084
10,Armenia,36.14685822,37.2188797,37.88314056,39.54676819,43.11534882,45.93093872,48.48933029,51.33459091,52.989151,53.33778,46.15803146,45.73738861,47.08219147,46.52180099,51.08018875,52.25152969,54.57048035,51.48752975,50.81660843,46.93150189
233,Thailand,39.995121,40.94997025,42.07361984,44.57695007,44.85783005,49.03480148,48.67156982,49.40269852,50.3747406,52.25570297,50.67900848,49.85337067,50.18006516,45.9030304,49.28681183,47.24827194,45.95426941,44.85102081,42.63700104,46.77820286
112,"Iran, Islamic Rep.",19.07242012,20.14679909,22.33358955,23.80201912,26.53152084,31.21858025,37.70845032,37.91297913,44.16965866,50.00553131,56.42695999,59.27872849,67.31977081,72.96105194,69.63565826,68.11608887,62.78507996,60.39419174,58.2224884,46.73902983
120,Kazakhstan,30.82110882,28.65764904,25.57446957,35.89688969,58.19260025,39.01461029,42.19768906,43.59324455,46.24797058,48.70264816,51.60951996,50.44258881,48.80432129,46.37350845,46.61611938,50.1461792,53.98825073,61.74975967,70.67794037,46.27931936
82,Georgia,43.76617813,45.85309982,45.78385162,51.37931061,42.73038101,41.81056976,38.87020874,28.88170052,32.58370972,34.78549957,32.24253082,37.91400146,42.28091812,46.48112869,51.83005142,56.8112793,60.33444977,63.91550064,66.68921661,45.52334665
185,Panama,40.39772034,44.25814056,43.32767868,42.09386063,43.11624908,43.25215912,43.38064957,43.31845093,44.25146866,42.17169189,43.93133163,48.66786004,44.53678894,47.26562881,47.79935837,45.03257179,43.6106453,43.58617973,44.38285065,44.12533077
5,Albania,16.31142998,16.65723991,19.89043999,23.18983078,26.63714027,30.68712997,32.09280014,33.38555145,44.54925156,49.87870026,59.25201035,64.63442993,65.78296661,62.00762177,58.3818512,57.3752594,54.96133041,59.7784996,57.81314087,43.85613813
