,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5,Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977275,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6492.872012
9,Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1163.186836,855.2756565,1179.504098,1285.260799,1277.968419,1065.89852,1143.810428,1331.639709,1324.685288,1374.424233,1411.176664,2100.030587,2846.266307,2026.570709,1946.329391,2125.53222,2139.63793,2510.585576,2746.207484,2763.375182,2914.918251,3539.456782,2651.229542,2919.283585,3607.820561,3559.218959,3982.444402,2382.560951,4330.959441,5730.72381,6815.61829,6957.417499,7464.474737,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11795.15939,9963.672506,8496.424142,10636.1202
10,Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.5604133,572.1617627,356.0822126,347.4664633,389.8252865,441.8940018,484.091641,501.1565152,584.3842673,575.6284792,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163552,2109.526231,3064.280106,3908.94906,2917.366129,3143.029202,3462.681611,3643.715183,3833.157532,4017.229808,3666.141876,3679.951972,4041.995021,4391.923697,4828.505178,4505.867364,4966.513471
13,Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.510249,1877.509803,1854.552575,1967.014259,2131.277657,2280.902108,2343.706917,2579.986339,2723.999484,2991.241889,3304.678667,3494.97331,3949.461643,4770.714415,6482.831082,7003.842471,7487.078975,7775.577645,8252.916534,9294.359247,10208.57617,11853.43602,12778.85525,11515.73843,12421.4926,11440.96857,11391.43671,11650.84187,14284.51581,17834.56887,18249.70948,18860.58159,18624.55508,17700.11556,18129.79072,20446.71985,22020.09372,23645.08833,21478.38516,20698.7127,21853.78167,19681.66264,20291.17855,23705.90722,30819.99349,34461.70878,36570.72037,41023.75486,49679.18053,42810.33166,52134.30885,62596.43217,68044.71482,68158.57974,62513.41122,56710.44572,49875.56514,53936.14025,57207.87151,54941.43418,51720.37076,60443.10916
14,Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2058.769051,2380.978458,2924.048879,3890.722419,4630.757197,5285.620724,5678.386658,6810.627685,8205.468977,9793.765348,10869.54649,9385.249064,9410.347257,9537.40742,8991.06504,9172.09676,13083.07266,16392.76952,17578.61894,17468.94614,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571
15,Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.530889,1209.187602,60.45821358,209.4785718,157.0860591,314.5612263,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5387.997975
16,Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,71.36022425,72.08878213,73.94200799,78.94826929,85.96472463,50.99042022,51.80864008,54.45030509,54.64746568,55.54377512,69.39510892,70.58552337,68.95532974,85.21464379,94.33346268,112.2861073,117.0518785,139.4132637,151.0679915,189.1259412,213.2534354,215.7876028,220.1570099,229.1177255,203.85983,232.4118246,238.3569167,219.3713007,205.3179193,207.2919501,206.4449283,208.6567234,188.5811668,168.9640756,165.5859347,168.6271677,146.5361825,164.2334457,148.0895535,130.7530239,138.0046172,135.6064758,124.1392972,114.3670072,128.5384225,151.1885364,166.2762376,170.7068737,194.7106401,204.5447501,222.6605892,236.4513537,238.2059494,241.5476708,257.8185519,289.3596333,242.0656705,243.1358094,231.4464765,216.9729681,216.8267413,221.4776762
17,Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2765.890997,3082.927989,3831.6319,4900.962201,5733.798139,6701.377361,7243.047341,8426.946959,10289.76842,11810.61588,12864.00257,10622.80248,9343.8611,8846.234298,8457.268803,8750.818513,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46638.68131,45517.79493,51247.01435
18,Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,90.03583168,92.37486063,91.17137408,96.25464503,100.4680814,105.9668704,108.628243,107.6828782,112.4779652,111.6952618,110.3469648,108.4947017,129.9996391,156.2803375,168.0122434,200.3343118,201.8329021,211.4928712,255.3923422,317.8204834,366.5294485,327.5649786,312.6931678,262.5773645,244.8443484,236.6105666,293.5596354,333.2230767,335.3419445,301.6849298,381.8050394,375.2920076,310.6237201,398.6129977,269.790585,358.8230057,380.5883092,355.1420548,372.8773308,541.7023024,502.9979648,508.3474429,564.3790796,698.4088086,784.1191226,805.9046287,837.1320425,944.6432077,1098.94678,1061.718411,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1319.154995
19,Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,69.08319561,72.17376677,77.07731842,78.82907043,80.83385453,81.99353819,82.75922787,84.55950435,84.91932365,86.71510814,81.68774302,84.5179746,99.66707635,114.218515,124.8115208,153.1288228,155.7549866,176.2974603,224.3285132,259.0365605,278.1953927,249.2854202,239.6194613,212.4870082,188.3357464,194.5678748,248.092873,280.9526703,301.9535079,294.0437234,339.6318076,334.7596647,349.708109,325.1536424,187.8151365,229.832672,243.5269378,224.6113331,250.4139338,293.887468,249.8020676,260.4434706,286.753726,363.8183683,405.451301,442.9443995,457.3420967,516.7503479,621.890329,603.8775751,627.2703475,727.6125147,733.9729342,762.3038171,767.3713907,632.1266837,665.7863455,711.1846047,779.2027097,772.1668949,833.2443426,893.0771558
