,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5,Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0054213,85.00475124,22.56505269,7.793218538,12.72547781,33.18027438,20.64285887,0.389437654,0.050018136,3.10758827,7.770525834,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.320870904,2.266922095,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617,2.041471631
9,Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3373.759443,175.9513255,18.68118564,13.96076412,8.672486324,0.64824576,-0.790883769,3.145904647,1.060049293,4.721553366,6.961261359,0.638928002,2.892356625,4.407360896,8.949953354,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778,7.184836294
13,Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.728813559,2.287581699,-0.319488818,0.641025641,2.866242038,3.405572755,3.293413174,3.47826087,2.521008403,3.278688525,3.439153439,6.138107417,6.024096386,9.090909091,15.41666667,15.16245487,13.32288401,12.30982019,8.004926108,9.122006842,10.13584117,9.487666034,11.35181976,10.03891051,3.96039604,6.734693878,9.050350542,8.533021625,7.215939688,7.533902562,7.333021952,3.17667537,1.012231126,1.753653445,1.969634797,4.6277666,2.615384615,0.224887556,0.86013463,1.483129403,4.457435148,4.407135362,2.981574539,2.732595966,2.343255225,2.691831683,3.555287737,2.327611289,4.35029855,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537,2.863910422
14,Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.945749352,3.542239867,4.381798639,2.708766995,3.868563549,4.930916377,2.054820593,3.974672929,2.764864473,3.080404195,4.372824416,4.704258138,6.355146127,7.531078038,9.521788197,8.445258639,7.318685451,5.494615681,3.574318576,3.707400964,6.328325362,6.803041776,5.436030825,3.339164534,5.663185739,3.189516818,1.705444567,1.401952718,1.915716847,2.56834829,3.261872319,3.337427035,4.0208478,3.631785249,2.953409368,2.243366315,1.860971158,1.305978572,0.922467197,0.568993766,2.344862854,2.650000773,1.810357878,1.355553709,2.06120618,2.299137856,1.441548511,2.168555288,3.215950332,0.506308828,1.81353439,3.286579149,2.485675622,2.000156169,1.60581183,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634,2.766666667
15,Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.63009716,1128.000024,1662.215949,411.7596418,19.79480281,3.674348097,-0.772697886,-8.525170005,1.805003037,1.547195902,2.77116472,2.23386493,6.708930428,9.679507319,8.328924829,16.69975496,20.84908718,1.45704836,5.726872247,7.858333333,1.066213397,2.415717453,1.373441815,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947,6.650299127
16,Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,4.436860068,-1.089324619,6.057268722,4.023883697,-0.199650611,3.85096274,3.828557669,6.006493507,15.7223073,15.7098746,6.856551574,6.834514041,23.89562065,36.540757,2.4985195,12.16739435,5.868096357,8.151231356,14.31686979,3.804286836,1.675675676,7.11323764,4.486797697,11.66159985,7.002169567,8.996938735,1.823333333,9.679346581,14.85281498,19.26325364,26.43678161,31.11158983,12.50041077,3.385424273,24.43202421,9.296187713,-1.365680053,10.64746457,8.176429375,13.25206992,2.745420002,8.412062858,24.40695104,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171,7.321106434,8.404538451
17,Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.299467255,0.992676261,1.404607035,2.148003413,4.168760586,4.065201375,4.174347619,2.730302686,2.701449829,3.753992291,3.908472385,4.343628546,5.448431284,6.955280087,12.67788775,12.76819859,9.068609811,7.096000591,4.470593316,4.469083949,6.648688297,7.627486568,8.726549066,7.661609837,6.34177491,4.868733995,1.294368191,1.553382613,1.160934934,3.107050651,3.44831218,3.215310693,2.427955672,2.754426435,2.377540845,1.467966991,2.077021074,1.628160495,0.949250288,1.120848234,2.544517762,2.469258231,1.645214362,1.588964,2.097283112,2.781432637,1.791207701,1.8230563,4.489444205,-0.053145674,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812,2.440248511
18,Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440599215,38.53086617,14.46254822,4.914239726,3.466295906,5.753314584,0.326722893,4.165404423,3.984295478,2.489162355,1.487242461,0.873890831,5.364520858,3.782176965,1.298068133,7.947298761,0.896072356,2.207835325,2.704239077,6.744682533,0.428888889,-0.548757551,0.218785924,-0.794050174,1.769412474,0.644803622,-0.705026635,3.022721197,1.733539627
19,Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.788161994,18.56213873,1.675909561,5.574202829,1.845123198,-0.730252523,2.36410602,-4.333753909,-0.286713688,9.655529358,1.772603315,2.06121818,-2.923356559,7.603890363,8.719609454,18.75694661,-8.400718778,29.9861043,8.269140072,14.99346595,12.2026365,7.555705604,12.05976521,8.153762774,4.846957682,6.906057821,-2.611742925,-2.681784235,4.255616018,-0.481798715,-0.504303389,2.162600527,-1.991135807,0.553455724,25.17787622,7.458844978,6.097804391,2.318690622,5.084333441,-1.072613628,-0.304212168,5.007432908,2.175694807,2.034565741,-0.400228702,6.415040184,2.333108564,-0.230627306,10.6597979,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934,1.884439938,3.653532872
