,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
35,Ethiopia,1.514725706,-2.161359722,13.57260314,11.81876595,10.83472707,11.456167,10.78852169,8.802553198,12.55053835,11.17829623,8.647811633,10.58227005,10.25749296,10.39246302,9.433482658,9.564189643,6.816147797,8.364085699,6.059530886,8.97226384
22,China,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773833,5.950500754,2.239701857,8.721090388
5,Azerbaijan,9.438916269,10.2082994,9.253801797,27.96153811,34.5,24.99999985,10.75897806,9.296363744,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,7.904545524
108,Tajikistan,10.80000376,10.99999908,10.29999894,6.699998517,7.000003211,7.800000119,7.899998272,3.900001148,6.499999086,7.4000006,7.499999463,7.399999747,6.70000069,6.019303318,6.899260206,7.099894057,7.599278842,7.400652432,4.400049702,7.385181115
98,Rwanda,13.1920781,2.20240272,7.447679676,9.377899425,9.227047579,7.633311061,11.16124324,6.248259929,7.334656108,7.958385719,8.641520625,4.719836864,6.167167721,8.856861325,5.970744298,3.976289694,8.579437537,9.460597561,-3.35885332,7.094556098
63,Lao PDR,5.918743682,6.067002304,6.35769548,7.107568369,8.619266209,7.596828801,7.824902763,7.501774913,8.526905517,8.038652681,8.026098434,8.026300226,7.611963441,7.270065843,7.022836255,6.892530873,6.247960008,5.457735092,0.50303183,6.874624354
78,Mongolia,4.732978466,7.004634574,10.62540596,7.253665441,8.55623481,10.24801636,8.900367947,-1.268598941,6.365161685,17.29077758,12.31981985,11.64891619,7.885225481,2.379835807,1.489784485,5.63687639,7.74488062,5.602244219,-4.557751973,6.834656576
115,Uzbekistan,3.973488192,4.232627382,7.449000605,6.950007197,7.451418476,9.473005305,9.029161017,8.050933328,7.597167961,7.525139894,7.102444887,7.29655037,6.873838441,7.218773508,5.9321508,4.395274633,5.354996888,5.709632222,1.886245259,6.500097703
117,Vietnam,6.320820988,6.899063492,7.536410612,7.547247727,6.977954812,7.129504484,5.661771208,5.397897543,6.423238217,6.413177689,5.50454562,5.553500245,6.422246656,6.987166724,6.690009213,6.940187782,7.464991257,7.359281,2.865411946,6.426022485
28,Djibouti,5.533341588,5.452708606,7.476407633,7.213163228,6.991819933,8.120770254,7.357788939,6.660019288,6.966845694,7.598647665,5.801299224,7.039067986,7.061543242,7.526108919,7.123432337,5.458091517,4.774416888,5.5451306,1.202022033,6.363296083
