,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
116,"Venezuela, RB",86.08039963,100.9332347,138.2387553,195.5249856,247.7104696,293.685932,446.608907,272.8649771,364.438738,447.0234274,455.5615744,458.5744638,398.9596219,218.9207337,185.4552432,205.0076529,217.1346631,186.4830326,144.1885376,266.4944921
85,Nicaragua,83.45773151,86.37862309,98.88655213,118.0210865,131.8388821,153.7620851,203.9024469,172.7426004,204.978208,278.5234735,283.1772219,253.0259447,247.8708149,206.5980803,182.4350768,193.6894461,231.6430831,239.5920508,277.8770087,192.0210746
21,Chile,96.35963381,105.6918031,129.1023657,147.6152316,191.8099657,198.4444157,169.6316554,176.2330873,214.4383462,217.8286291,202.7775184,196.4245918,192.466706,187.083291,193.8232397,213.8290237,207.4181555,203.914004,223.9618051,182.5712352
46,Guatemala,87.94095437,90.57916863,106.6302279,125.5248595,141.0268646,161.4480436,200.6796864,172.5326649,204.0455181,258.2402996,244.0366477,229.5897031,219.1480204,171.8265134,171.292235,184.2438973,218.1865316,219.50994,235.8567079,181.1757097
120,Zambia,91.94984306,95.75799646,112.7552661,127.2800412,200.021865,198.3923736,179.1857676,160.6390004,199.451745,206.1610233,190.7544426,182.8820551,176.7256532,169.7559966,164.5912704,184.1985303,175.2130879,169.1659834,172.4001538,166.1727418
59,Kazakhstan,93.12122264,100.480155,117.0774899,144.7680184,171.4414264,178.6221484,210.9177222,158.565388,192.2455511,223.5059566,222.852887,220.6186329,207.8622893,146.3335829,130.4040589,154.7100223,179.8377331,166.0115924,131.760676,165.8492923
78,Mongolia,103.5658925,104.4188108,119.3800551,121.6420044,168.2694718,174.3012444,184.2345486,167.7292396,206.2564806,209.3203716,193.6976527,179.3929937,164.3157593,150.8303182,152.525823,188.1836594,190.3785721,186.4192574,173.0011719,165.1507014
83,Niger,104.8952372,105.8067865,117.4176217,134.5200107,156.6529162,220.7654343,177.4346692,171.9141479,176.183352,188.5275141,198.4173948,193.8867409,184.7790471,177.0133025,163.057732,164.4070796,162.2141568,159.7317411,169.9936037,164.6114994
90,Peru,106.75268,108.8223719,124.0731995,131.6890054,170.9697048,181.2834225,159.6724484,155.5596003,188.0513369,202.9863674,197.3123949,185.4164565,175.4916198,163.4261284,163.0400318,175.2094934,174.4232607,171.4762865,185.50543,164.2716442
84,Nigeria,92.0227398,101.5647522,118.7420106,156.2900942,176.7040584,176.9588285,218.2076049,154.555065,184.7845551,219.1600554,224.3545298,223.1600826,211.092987,142.9554505,123.5806379,146.2455786,174.0874355,158.7194879,115.4807964,164.1403553
