,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
2,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.90928577,98.79935208,94.38502304,92.54564818,91.59316472,91.57583913,91.17727022,90.87050222,90.20426949,94.29697132,93.89141527,95.25016353,94.79366181,93.21495224,92.17676401,93.14646307,95.89929254,95.96843978,95.84496482,95.60674969,
8,Argentina,ARG,,,,,,,,,,,,,,,,,,,,,106.25,86.81318681,79.06976744,83.90804598,83.72093023,94.11764706,91.30434783,82.17821782,75,69.09090909,63.55932203,92.07920792,93.26923077,96.07843137,97.24770642,91.59663866,100,100,95.19230769,91,100,98.38086837,99.74456551,108.4722844,115.9051697,112.3205884,117.3391958,124.3693383,139.5214596,140.6033379,145.5230271,160.564925,167.1272495,156.4980784,153.2871405,146.3443414,155.244929,150.7457768,152.5529498,151.2264533,152.1617937,
9,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.34527389,101.1272708,99.66306734,105.3968932,99.71403385,110.6614657,111.1485471,113.1729978,112.1649711,128.2770644,124.6405394,116.8412341,113.7016965,112.6005764,116.1024386,122.0041125,129.903203,128.922834,132.3876615,139.804397,
11,Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,103.9860074,105.8724344,105.8018847,116.048584,130.9702366,145.3567283,152.3644109,174.4629064,162.8983843,178.7263134,200.2885825,181.8145129,176.8117884,164.9852955,148.1965091,147.9984555,172.4928872,175.7199208,192.9905599,194.4375285,
12,Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.79123931,98.97418932,97.99183534,96.755308,95.04421568,93.90706181,94.49872731,92.00003945,93.79998391,91.48458262,88.72963314,87.65765335,87.99885103,87.8714133,88.49922641,88.71860971,87.38712833,86.0519033,86.20372397,86.6564592,
13,Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,87.06364794,90.08143148,95.96676343,111.7542791,136.990691,150.8029727,153.6202342,190.6141608,127.2553934,155.7352383,191.5916298,198.2675334,198.0009746,185.1821739,116.7703042,100.127768,120.6658715,146.9001049,131.2166249,92.89570017,
32,Burundi,BDI,,,,,,,,,,,,,,,,,,,,,230.9210526,170.8609272,181.8181818,212.1323529,265.5021834,243.1451613,296.2264151,179.0849673,217.8913738,177.5,128.2798834,136.3914373,97.94520548,120.4081633,171.3692946,163.5687732,118.9427313,109.5435685,121.1764706,115.9292035,100,81.26823434,83.6502394,85.42855171,89.08954804,107.5344515,119.6695202,119.6443083,131.7928346,137.3413484,166.9580074,181.272274,176.2062485,154.2469445,152.657074,159.0660715,172.0227684,179.4453404,162.7661397,168.5808926,191.6609814,
19,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.3078152,101.6944304,101.6816281,100.5525638,99.02597331,98.21058383,99.39855837,96.5891779,98.4446797,96.94157847,94.86824368,93.87280336,94.14823319,94.68565302,95.64220047,96.71852725,95.71312123,94.1897844,95.02395409,96.2500201,
21,Benin,BEN,,,,,,,,,,,,,,,,,,,,,86.36363636,73.84615385,93.42105263,94.28571429,98.48484848,93.93939394,82.55813953,78.84615385,86.23853211,82.17821782,107,94.23076923,85.18518519,82.35294118,80.53097345,106.6115702,94.16666667,99.0990991,99.13043478,100,100,90.05762472,89.56626729,101.5038422,102.5955001,106.0623822,112.7322589,114.1999996,118.1786769,116.8450602,127.3728296,135.5389318,127.0638832,123.4199323,123.4600176,120.544215,125.7369581,130.7199579,130.8683667,126.4022516,121.6149336,
31,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,64.95726496,63.36633663,63.7254902,73,85.26315789,85.10638298,96.55172414,106.7961165,112.7272727,118.75,118.8034188,114.159292,115.5844156,110,121.7821782,130.9734513,122.6086957,121.6981132,124.4897959,112.371134,100,92.97175396,91.94343197,110.0460356,102.4903179,85.0907426,86.02264318,89.90551192,91.00635112,99.25540721,122.4360724,138.2716821,138.6665711,127.2211353,119.8626254,124.9262817,139.7194373,139.2494484,131.4153491,140.5040181,171.5004301,
