,Country Name,2016,2017,2018,2019,2020
4,Angola,2688.630467,2936.850718,2051.814728,1738.059253,1103.908798
5,Albania,3443.310224,3712.733017,4318.911492,4337.131083,4208.456611
9,Argentina,10797.54392,12493.77204,9813.558914,8262.878744,7211.955933
10,Armenia,3245.412455,3630.471703,3859.70294,4216.371446,3811.233531
13,Australia,39055.24183,42000.8897,43990.13708,42364.65081,40200.57918
14,Austria,37214.44155,38311.84529,41596.61338,40682.03813,38848.20149
15,Azerbaijan,3018.599527,3198.105743,3372.911412,3606.324368,3489.805088
16,Burundi,172.6776343,167.6035656,170.1566317,160.9054635,168.8890343
17,Belgium,34477.79926,36240.05792,39066.43551,38282.85629,36508.56475
18,Benin,935.0398606,966.664013,1053.587306,1031.220826,1086.790879
19,Burkina Faso,576.1470436,614.8206372,678.4211503,652.4717887,681.3137135
20,Bangladesh,1343.835406,1471.26443,1606.078875,1887.193249,1999.431069
21,Bulgaria,6238.107192,6971.018762,7755.416718,8171.340834,8440.099649
24,Bosnia and Herzegovina,4041.005772,4371.909654,4942.000426,5036.313534,5001.963583
25,Belarus,4111.320502,4751.758207,5205.002515,5629.18447,5148.322913
26,Belize,3781.281015,3808.434995,3778.55537,3844.453926,3241.733842
28,Bolivia,2595.771728,2743.098421,2895.794799,2938.007359,2617.571454
29,Brazil,7530.482645,8547.176508,7737.671235,7565.576903,5783.814702
32,Bhutan,2289.546606,2603.997287,2610.617204,2673.388137,2479.701583
33,Botswana,5043.580708,5291.210694,5389.770873,5121.305039,4631.998085
35,Canada,34330.33179,36956.0805,37633.85946,37802.57819,35025.2728
37,Switzerland,64491.41818,63880.52406,63796.92495,63271.75723,63781.73321
39,Chile,11142.45285,11823.33752,12169.23461,11399.32784,10252.96959
40,China,6145.894329,6714.785783,7378.394948,7545.859948,7572.281831
41,Cote d'Ivoire,1848.261754,1918.77233,2098.79471,2079.597418,2135.750581
42,Cameroon,1156.065069,1190.837283,1285.705185,1244.356692,1271.847494
45,Colombia,5029.925374,5365.90629,5561.638957,5306.770945,4464.963409
47,Cabo Verde,2508.937389,2633.887347,2936.643709,2932.880298,2469.553747
48,Costa Rica,10782.34255,10833.58751,11047.9372,11164.91179,10639.87905
53,Cyprus,20533.84766,22639.23438,24782.80273,24379.08008,22557.13086
54,Czechia,13482.08451,15284.60155,17419.30818,17454.43824,17172.9272
55,Germany,35591.56871,37677.17204,40746.2168,39623.09075,38425.66614
56,Djibouti,2102.119885,2118.653591,2399.449032,2648.143101,2680.145443
58,Denmark,46821.19076,49134.60462,52848.81876,51399.61053,52666.34897
59,Dominican Republic,6515.846268,6739.566159,7123.862631,7279.792091,6310.524427
60,Algeria,3292.146148,3362.944391,3264.69429,3177.320626,2760.23351
63,East Asia & Pacific,7632.173898,8101.213818,8633.473559,8770.606885,8643.055645
65,Europe & Central Asia,18439.93571,19461.8637,20738.17399,20374.00362,19417.35817
66,Ecuador,4860.912324,4932.50136,4850.104554,4728.535588,4197.130988
67,"Egypt, Arab Rep.",3013.730281,2037.360556,2082.906766,2484.361655,3022.160434
70,Spain,22572.45048,23802.7568,25714.57146,25199.85289,22544.89412
71,Estonia,15040.09065,16677.88733,19086.7926,19445.51283,19403.44083
72,Ethiopia,553.0608849,602.670916,638.6801047,717.4663494,792.3632098
