,Country Name,2016,2017,2018,2019,2020
0,Aruba,613966480.4,635754189.9,691061452.5,716330411.8,603283334.4
1,Africa Eastern and Southern,210143000000.0,250645000000.0,220195000000.0,225430000000.0,194572000000.0
3,Africa Western and Central,136058000000.0,126646000000.0,161787000000.0,190695000000.0,194317000000.0
4,Angola,13563944772.0,16643340218.0,13901148420.0,12276206494.0,10491940247.0
5,Albania,2991848400.0,3261763644.0,3623931004.0,3544361013.0,3510612140.0
7,Arab World,722205000000.0,735500000000.0,743847000000.0,760689000000.0,628106000000.0
8,United Arab Emirates,92902151858.0,97541306140.0,99269102573.0,93724842260.0,79632485146.0
9,Argentina,98478037376.0,117221000000.0,87192948628.0,63626066084.0,54479129470.0
10,Armenia,1899939894.0,2123558470.0,2790546513.0,2370918342.0,2485842282.0
12,Antigua and Barbuda,390500851.9,478079407.4,593774629.6,706740259.3,789994259.3
13,Australia,306658000000.0,319788000000.0,350780000000.0,324420000000.0,295182000000.0
14,Austria,96015598611.0,103641000000.0,117053000000.0,112705000000.0,111621000000.0
15,Azerbaijan,9724885630.0,9962584244.0,9483588235.0,9783117647.0,10103705882.0
16,Burundi,243804916.1,238847686.5,295365722.2,364028618.2,303280662.1
17,Belgium,115456000000.0,122958000000.0,138085000000.0,134026000000.0,127810000000.0
18,Benin,2396371151.0,3043370371.0,3763352166.0,3688560501.0,4012092605.0
20,Bangladesh,80206815217.0,90907877625.0,102271000000.0,113147000000.0,117061000000.0
21,Bulgaria,10226568439.0,11724968021.0,14078532891.0,14470783057.0,14283828585.0
22,Bahrain,9397765957.0,11686276596.0,13330664894.0,12615265957.0,12248244681.0
23,"Bahamas, The",3091100000.0,3428000000.0,3366700000.0,3479500000.0,2378200000.0
24,Bosnia and Herzegovina,3888190091.0,4514505820.0,5000136814.0,5088616622.0,4673454281.0
25,Belarus,12635806192.0,15340061067.0,16856105222.0,18775408739.0,16849483522.0
26,Belize,403000000.0,342000000.0,380000000.0,406000000.0,388500000.0
27,Bermuda,883410000.0,983043000.0,968986000.0,1094851000.0,842869000.0
28,Bolivia,7147105759.0,8334527689.0,8297786012.0,8127949873.0,5779504192.0
29,Brazil,268808000000.0,301800000000.0,289364000000.0,290672000000.0,230765000000.0
30,Barbados,791860200.0,778175600.0,727000000.0,771750000.0,849250000.0
31,Brunei Darussalam,3946936364.0,4221152292.0,5571545926.0,5209670210.0,4872904182.0
32,Bhutan,1236422882.0,1276446064.0,1165121546.0,960089207.2,769175812.0
33,Botswana,3328375261.0,4027245192.0,4411752931.0,5154982763.0,4896098366.0
34,Central African Republic,409962376.3,530547476.6,577454534.3,577538364.2,604947439.3
35,Canada,347789000000.0,388410000000.0,399475000000.0,400360000000.0,366223000000.0
36,Central Europe and the Baltics,288368000000.0,324769000000.0,386209000000.0,390162000000.0,366784000000.0
37,Switzerland,175839000000.0,181060000000.0,186721000000.0,190714000000.0,220490000000.0
39,Chile,59105710663.0,62559817930.0,71496535540.0,69798200238.0,54675965338.0
40,China,4788900000000.0,5295110000000.0,6085020000000.0,6176230000000.0,6369560000000.0
41,Cote d'Ivoire,10428786026.0,10380531216.0,12305638797.0,11742215115.0,13188725651.0
42,Cameroon,6701344030.0,7019412675.0,7810100523.0,7511558923.0,7200776252.0
43,"Congo, Dem. Rep.",6461431391.0,9500131818.0,9799507746.0,10662994003.0,11985483582.0
44,"Congo, Rep.",7563305910.0,4135842016.0,3442988082.0,3068641875.0,1635173545.0
45,Colombia,65523257228.0,67364942243.0,70834901643.0,69082789206.0,52017480598.0
46,Comoros,127218957.5,144737247.0,176751528.1,152183425.6,144576220.9
47,Cabo Verde,586320693.2,676295306.4,779495315.5,701945217.6,865431167.9
48,Costa Rica,11115578128.0,10932147171.0,11466497294.0,10348109406.0,9823391476.0
50,Cuba,8735000000.0,9974000000.0,12040000000.0,11889000000.0,10601000000.0
53,Cyprus,3654229577.0,4736867375.0,4936954417.0,5149549983.0,5027468875.0
54,Czechia,51077792818.0,57656005362.0,67720278111.0,69721069673.0,64331017546.0
55,Germany,692841000000.0,773686000000.0,871182000000.0,860097000000.0,859227000000.0
56,Djibouti,571421419.0,597623913.9,81197442.62,70473179.31,29115513.64
58,Denmark,68182232598.0,73242865650.0,80643580746.0,75720674915.0,80504277731.0
59,Dominican Republic,17391032437.0,17977052539.0,22069583773.0,23127839333.0,20012096302.0
60,Algeria,81261705854.0,82571454318.0,82331993639.0,76766012923.0,60689337481.0
61,East Asia & Pacific (excluding high income),5481230000000.0,6054380000000.0,6914760000000.0,7029880000000.0,7133730000000.0
62,Early-demographic dividend,2806890000000.0,3089360000000.0,3142200000000.0,3105030000000.0,2738450000000.0
63,East Asia & Pacific,7814820000000.0,8501290000000.0,9475710000000.0,9567930000000.0,9600300000000.0
64,Europe & Central Asia (excluding high income),694208000000.0,803470000000.0,775867000000.0,771919000000.0,755614000000.0
65,Europe & Central Asia,4369730000000.0,4772950000000.0,5150610000000.0,5208790000000.0,4998120000000.0
