,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4,Angola,AGO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,14.6,,,,,,,,,,31.1,,,
5,Albania,ALB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.1,,,0.6,,,0.2,,,,0.6,,1.0,0.1,0.1,0.4,0.0,0.0,,
8,United Arab Emirates,ARE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
9,Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,1.1,1.2,,,,1.0,1.7,2.0,1.9,3.9,4.2,3.8,4.0,4.2,5.0,8.2,12.4,5.3,3.8,2.6,2.1,1.7,1.6,1.5,0.7,0.7,0.6,0.6,0.6,,0.7,0.4,0.8,0.8,1.1,
10,Armenia,ARM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,14.0,10.0,7.5,5.3,2.6,2.0,1.5,0.9,1.2,1.0,1.2,0.8,1.7,1.4,1.1,1.1,0.8,1.3,1.0,0.4,
13,Australia,AUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,0.7,,,,,,0.7,,,,,,0.7,,1.0,0.7,,,,0.4,,0.3,,,,0.5,,0.5,,0.5,,,
14,Austria,AUT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.2,1.0,,0.2,,,0.2,,,0.3,0.1,0.2,0.1,0.4,0.5,0.7,0.5,0.4,0.6,0.3,0.2,0.7,0.7,0.3,0.6,0.6,,
15,Azerbaijan,AZE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,6.2,0.1,0.1,0.0,0.0,,,,,,,,,,,,,,,,
16,Burundi,BDI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,,,,,,79.4,,,,,,,,71.8,,,,,,,65.1,,,,,,,,
17,Belgium,BEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.5,,,,1.0,,,0.4,,0.5,,,0.3,,,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
18,Benin,BEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,,,,,,,,54.3,,,,50.7,,,19.9,,,
19,Burkina Faso,BFA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1,,,,79.9,,,,,54.7,,,,,,52.6,,,,,39.6,,,,30.5,,,
20,Bangladesh,BGD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,37.3,,32.7,,,41.7,,,41.9,,,,33.7,,,,,33.3,,,,,24.0,,,,,18.2,,,,,,13.5,,,,,
21,Bulgaria,BGR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,1.8,1.3,1.3,2.0,2.5,2.3,1.8,1.7,3.4,2.0,1.4,0.9,0.9,,
24,Bosnia and Herzegovina,BIH,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,,,,
25,Belarus,BLR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,19.2,13.6,6.6,4.4,3.5,1.3,0.9,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,Belize,BLZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14.8,,18.3,21.5,19.8,18.0,,,,,,,,,,,,,,,,,,,,,,
28,Bolivia,BOL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,21.9,24.2,19.0,19.7,,10.2,15.6,12.5,9.5,8.3,8.8,,5.3,6.5,5.2,4.3,4.6,5.6,4.9,3.3,1.9,3.1,
29,Brazil,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,23.9,24.4,30.6,29.9,25.8,12.3,19.9,22.4,20.4,24.0,,23.3,22.1,,14.7,16.0,16.0,14.3,15.0,,13.0,11.7,12.6,11.1,10.0,8.3,7.9,6.5,6.1,,5.3,4.5,3.7,3.3,3.9,4.7,5.3,5.3,5.4,1.9,
32,Bhutan,BTN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,,,,5.9,,,,,1.7,,,,,0.9,,,,
33,Botswana,BWA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,,,,,,,,34.1,,,,,,,,,29.1,,,,,,,17.7,,,,,,15.4,,,,,,
34,Central African Republic,CAF,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,,,,,,,,,,,,,,,,61.9,,,,,,,,,,,,,
35,Canada,CAN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,2.2,,,,1.0,,,,,,0.5,,,,,,0.2,,,,0.2,,,0.2,,,0.5,0.5,,0.2,,,,0.2,,,0.2,,,0.2,,0.2,0.5,0.2,0.2,0.2,0.2,,,,
37,Switzerland,CHE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,,,,,,0.0,,0.0,,,,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
39,Chile,CHL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,10.7,,6.7,,6.8,,4.7,,4.6,,5.8,,,5.3,,,2.1,,,1.7,,0.9,,0.5,,0.4,,0.3,,,0.7,
40,China,CHN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,62.7,,,48.1,,,46.0,,,36.5,,,22.1,,,18.0,,13.9,10.2,8.5,2.9,2.1,1.2,0.8,0.7,0.4,0.1,,
41,Cote d'Ivoire,CIV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,4.4,9.4,13.4,,,,27.1,,,25.9,,,30.4,,,,29.1,,,,,,34.4,,,,,,,33.4,,,11.4,,,
42,Cameroon,CMR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,25.7,,,,,,31.4,,,,,,,25.7,,,,,,,
43,"Congo, Dem. Rep.",COD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,69.7,,,,,,,,,
44,"Congo, Rep.",COG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,35.4,,,,,,,,,,
45,Colombia,COL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,17.6,,,21.4,17.5,21.0,14.2,13.0,12.0,10.7,,,11.0,9.6,8.3,6.8,6.7,6.1,5.4,4.9,4.9,4.3,4.5,5.3,10.8,
46,Comoros,COM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,,,18.6,,,,,,,
47,Cabo Verde,CPV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,,10.6,,,,,,,,4.6,,,,,,
48,Costa Rica,CRI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,13.9,,,10.6,10.4,12.4,9.9,8.5,7.0,7.1,8.2,6.7,5.2,6.8,6.9,5.1,4.7,4.7,4.7,3.3,3.3,1.8,2.4,2.5,1.5,1.8,1.7,1.6,1.5,1.6,1.3,1.2,1.5,1.1,2.2,
53,Cyprus,CYP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,,
54,Czechia,CZE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
55,Germany,DEU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,,
56,Djibouti,DJI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,19.7,24.9,,,,19.1,,,,
58,Denmark,DNK,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,0.0,,,,,0.0,,,0.3,0.3,0.3,0.1,0.0,0.1,0.5,0.1,0.0,0.0,0.3,0.2,0.2,0.3,0.1,0.2,0.3,,
59,Dominican Republic,DOM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,17.5,,,7.6,,,,6.5,6.9,,,6.7,5.1,7.6,8.7,11.6,7.4,6.3,6.1,5.4,4.7,3.9,4.1,3.8,3.0,3.4,2.5,2.0,1.0,0.8,0.8,1.1,
60,Algeria,DZA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,5.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
63,East Asia & Pacific,EAS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,83.4,81.5,78.9,74.6,71.0,68.3,64.5,59.3,68.1,65.8,63.9,61.2,58.2,53.7,50.0,45.5,45.2,46.2,42.8,39.5,37.2,33.2,29.9,26.2,21.6,21.0,18.8,17.6,15.5,13.3,10.4,8.8,4.5,3.6,2.7,2.2,1.9,1.5,1.1,,
65,Europe & Central Asia,ECS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.8,5.3,6.4,8.2,8.3,8.3,7.8,7.7,9.8,9.2,8.4,7.4,7.2,6.3,6.3,5.6,5.0,4.4,4.3,4.2,3.9,3.7,3.4,3.5,3.2,2.9,2.8,2.4,2.4,,
66,Ecuador,ECU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,21.8,28.4,,,14.9,15.0,11.8,8.2,8.5,7.5,7.3,5.7,4.7,4.5,3.2,2.6,3.4,3.6,3.2,3.3,3.6,6.5,
67,"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,3.0,,,,1.4,,,,,3.1,,,,2.9,,1.0,,0.9,,,0.9,,2.5,,,,
70,Spain,ESP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.2,,,,,0.5,,,,,1.2,,,,,0.5,,,0.8,0.8,0.7,0.8,0.4,0.5,0.8,0.7,1.1,0.9,1.1,0.8,0.9,1.1,0.7,0.8,0.8,,
71,Estonia,EST,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.1,0.8,0.8,0.4,0.4,0.6,0.8,1.0,0.7,0.9,0.8,0.6,0.5,0.3,0.2,0.6,,
72,Ethiopia,ETH,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2,,,,52.7,,,,,34.3,,,,,,31.3,,,,,27.0,,,,,,
74,Fragile and conflict affected situations,FCS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,51.6,51.7,50.9,50.6,50.0,50.1,,46.6,45.4,43.9,41.1,39.3,37.9,36.6,35.3,34.4,32.5,31.8,31.5,30.6,29.6,31.4,31.4,31.0,31.0,,,
75,Finland,FIN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,,
76,Fiji,FJI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,1.0,,,,,0.4,,,,,,1.3,,
77,France,FRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.5,,,,,1.0,,,,,0.0,,,,,,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,,,
79,"Micronesia, Fed. Sts.",FSM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,16.0,,,,,,,,
80,Gabon,GAB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,2.5,,,,
81,United Kingdom,GBR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,0.2,,,,,0.2,,,,,0.2,,,,,,,1.0,,,,,0.2,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.5,0.2,0.3,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.1,0.2,0.3,,,,
82,Georgia,GEO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,18.8,17.0,21.8,22.9,23.0,12.7,12.9,12.4,12.9,12.6,14.2,12.4,12.1,14.4,13.4,10.7,8.1,6.1,4.9,4.9,6.2,5.6,4.8,5.8,
83,Ghana,GHA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,66.4,,,71.8,,,,,,,56.7,,,,,,,42.5,,,,,,,25.7,,,,25.3,,,,,
85,Guinea,GIN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,,,40.8,,,,,,,,53.2,,,,,47.9,,,,,24.5,,,,,,13.8,,,
86,"Gambia, The",GMB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,,,,,50.7,,,,,,,29.8,,,,,13.4,,,,,,
87,Guinea-Bissau,GNB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,42.2,,,,,,,,,53.2,,,,,,,,66.7,,,,,,,,21.7,,,
89,Greece,GRC,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,0.5,,,0.5,0.6,0.3,0.6,0.5,0.3,0.6,1.0,1.1,1.5,1.0,1.5,1.4,1.0,0.9,0.1,0.7,,
92,Guatemala,GTM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,37.0,,,,,,,,,14.0,,9.6,,,,,,11.7,,,,,,,,9.5,,,,,,,
