,Country Name,2016,2017,2018,2019,2020
4,Angola,21253763682.0,29084405513.0,37287357737.0,34488851368.0,24329393813.0
5,Albania,2507690759.0,2650596138.0,3225183629.0,3175800334.0,3027675952.0
9,Argentina,122959000000.0,140196000000.0,124485000000.0,103690000000.0,85515030603.0
10,Armenia,2697399020.0,2975183151.0,3084157595.0,3400956113.0,3390161406.0
13,Australia,269418000000.0,311379000000.0,344845000000.0,352467000000.0,337116000000.0
14,Austria,100847000000.0,106034000000.0,115415000000.0,111973000000.0,112206000000.0
15,Azerbaijan,18008961584.0,20310887753.0,24616764706.0,23520411765.0,17912411765.0
16,Burundi,322191517.3,298169339.9,295465701.3,281767585.7,284652938.0
17,Belgium,91824033248.0,96708616474.0,102868000000.0,103188000000.0,102321000000.0
18,Benin,1856151835.0,1918913561.0,2088295623.0,2347652637.0,2549749279.0
19,Burkina Faso,3193135536.0,3546522412.0,4066179191.0,4391965647.0,5844799894.0
20,Bangladesh,82406651410.0,91793309497.0,102786000000.0,115391000000.0,123057000000.0
21,Bulgaria,13191321833.0,14193558052.0,14868538926.0,14944467086.0,15322084134.0
24,Bosnia and Herzegovina,3931698264.0,4339641812.0,4949691611.0,4841373476.0,4898700641.0
25,Belarus,14774175714.0,17268695337.0,18769140165.0,20441772636.0,18919904902.0
26,Belize,352223750.0,325664750.0,319258850.0,344238250.0,343436550.0
28,Bolivia,8596051457.0,9891019345.0,10574133559.0,10309823168.0,8605058001.0
29,Brazil,329596000000.0,375321000000.0,359409000000.0,351326000000.0,256419000000.0
32,Bhutan,918666632.9,1025305306.0,934787650.2,914330810.9,807176152.1
33,Botswana,6085090981.0,5975184500.0,5927157510.0,5313499084.0,3937522250.0
35,Canada,355951000000.0,396282000000.0,424816000000.0,345693363636.36365,345693363636.36365
37,Switzerland,165714000000.0,168362000000.0,177213000000.0,178331000000.0,183589000000.0
39,Chile,66761112813.0,75671913806.0,82303677172.0,75763663853.0,75718126642.0
40,China,4446200000000.0,4905910000000.0,5514440000000.0,5510260000000.0,5558230000000.0
41,Cote d'Ivoire,9158686654.0,10556897044.0,12194310343.0,12402907609.0,12795412824.0
42,Cameroon,8177032077.0,8758300731.0,9866435381.0,9452355392.0,9393366065.0
45,Colombia,78311876733.0,83631182296.0,89884170640.0,83988156350.0,64299156441.0
47,Cabo Verde,284880025.8,321959033.6,379126577.9,388556001.7,393337132.7
48,Costa Rica,11563445292.0,11688395268.0,12208225316.0,12389873667.0,12516463002.0
53,Cyprus,2280754926.0,2602936060.0,3114863014.0,3360809359.0,3232892062.0
54,Czechia,65573177759.0,71509803362.0,79109599285.0,79629037709.0,75482039185.0
55,Germany,956587000000.0,1013590000000.0,1085270000000.0,1048040000000.0,1035470000000.0
56,Djibouti,295368244.0,342729278.5,407640768.4,451290458.6,474909165.5
58,Denmark,64716731650.0,68892662190.0,74310375155.0,71756209117.0,71041167875.0
59,Dominican Republic,20877913871.0,22454450981.0,24649603609.0,25861761142.0,23876124680.0
60,Algeria,54809924061.0,61797229957.0,67874492469.0,63289787656.0,47435690126.0
63,East Asia & Pacific,7874370000000.0,8522100000000.0,9315760000000.0,9316810000000.0,9292020000000.0
65,Europe & Central Asia,4707340000000.0,5049750000000.0,5444970000000.0,5334340000000.0,5062840000000.0
66,Ecuador,32003058000.0,33920756000.0,35003501000.0,35353828000.0,30507933000.0
67,"Egypt, Arab Rep.",107897000000.0,79561922554.0,87308132853.0,107968000000.0,116914000000.0
70,Spain,246619000000.0,263248000000.0,282435000000.0,279444000000.0,257080000000.0
71,Estonia,5788922855.0,6461552653.0,7357333606.0,7133087832.0,7146003755.0
72,Ethiopia,16295156520.0,19283111445.0,23010337250.0,23807775734.0,24871407184.0
75,Finland,56574925000.0,62379864884.0,66159433548.0,64116783075.0,65324479863.0
76,Fiji,798825528.1,840165917.8,867195528.4,861229625.3,755413198.7
77,France,431140000000.0,447434000000.0,479720000000.0,475497000000.0,435316000000.0
81,United Kingdom,472001000000.0,475560000000.0,511173000000.0,504677000000.0,459555000000.0
82,Georgia,2915620907.0,3283403068.0,3504912211.0,3548692608.0,3355144387.0
83,Ghana,15553964525.0,18093051121.0,20982397466.0,21258252655.0,20926634666.0
85,Guinea,2587713331.0,3268169143.0,3953252655.0,3950964347.0,4045447565.0
