Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411173184.4,392737430.2,463128491.6,527932960.9,531843575.4,477653631.3,455307262.6,522346368.7,590502793.3,641340782.1,782681564.2,852513966.5,850279329.6,912849162,756983240.2,693854748.6,723463687.2,615083798.9,649720670.4,645251396.6,637988826.8,613966480.4,635754189.9,691061452.5,716330411.8,603283334.4,620125160.3
Africa Eastern and Southern,AFE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50384904565,41957147163,39668978234,45564874708,51698389542,48751655790,48993418679,49373466238,47361257753,50948228983,45537692124,47694201578,65816334158,87636274585,1.01876E+11,1.2E+11,1.4478E+11,1.7097E+11,1.70801E+11,1.87982E+11,2.15058E+11,2.22742E+11,2.34256E+11,2.50828E+11,2.34644E+11,2.10143E+11,2.50645E+11,2.20195E+11,2.2543E+11,1.94572E+11,2.1665E+11
Afghanistan,AFG,Gross capital formation (current US$),NE.GDI.TOTL.CD,86666711.11,91111155.56,104444506.7,106666724.4,111111155.6,113333340,117777771.1,86666666.67,88888888.89,91111111.11,95555562.22,99999993.33,104444451.1,126666660,188888882.2,231111111.1,348888882.2,366666660,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,1.66859E+11,1.40637E+11,86394168007,53240185609,44577270072,41993685054,38109056239,33577929230,33451424582,41030056003,36145293574,32670745065,24077670267,25690777682,29533689739,33518096354,36343059871,39361721405,38287053843,37940079486,38065549100,42537014676,51943216531,61638789770,74960587461,98674419524,99656296968,1.1879E+11,1.13244E+11,1.2035E+11,1.27672E+11,1.37851E+11,1.57679E+11,1.76234E+11,1.50131E+11,1.36058E+11,1.26646E+11,1.61787E+11,1.90695E+11,1.94317E+11,2.37636E+11
Angola,AGO,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,2783907340,2724893476,4661062894,5424166592,7276093051,10187920711,12205178423,16793436246,27273480877,30106128716,23037075147,28917904926,33333994540,34875136359,37742850983,29831173216,13563944772,16643340218,13901148420,12276206494,10491940247,14147466272
Albania,ALB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,611538478.6,643706276.1,671875012.5,612875012.5,614499962.5,740750012.5,615888125,83600694.44,36891479.03,162105372.7,355435601,509144791.4,577976514.6,376257327.9,502639653.3,633902317.2,1071819204,1372290895,1533305462,1902121187,2456928761,2968773399,3175677296,3679616247,4608745259,4162218869,3614891660,4049450820,3490029320,3584048805,3396286215,2939976358,2991848400,3261763644,3623931004,3544361013,3510612140,4403533603
Andorra,AND,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,67210383099,80432794475,98492099421,1.04919E+11,1.31229E+11,1.36534E+11,1.42047E+11,1.26117E+11,1.24223E+11,1.07346E+11,1.00279E+11,94715121544,97181883117,81885283863,1.96018E+11,1.03749E+11,1.0609E+11,1.10622E+11,1.07371E+11,1.17457E+11,1.19977E+11,1.16431E+11,1.33328E+11,1.45453E+11,1.50511E+11,1.56433E+11,1.53388E+11,1.76892E+11,2.09878E+11,2.58702E+11,3.23413E+11,4.24993E+11,5.57091E+11,5.13739E+11,5.61449E+11,6.10534E+11,6.52942E+11,6.9154E+11,7.4207E+11,7.2576E+11,7.22205E+11,7.355E+11,7.43847E+11,7.60689E+11,6.28106E+11,6.31506E+11
United Arab Emirates,ARE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23247802287,24758811082,27517552893,29533120000,36424851681,42802745378,64992757985,79178107856,80206027366,78593555317,81219427148,81978431096,75126823336,89369188618,91822890157,92902151858,97541306140,99269102573,93724842260,79632485146,
Argentina,ARG,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,5313345058,3338843016,5498448879,6357058746,5881428621,5146060702,5734285805,7498571826,7719211097,8027999891,8298250321,10978444356,16124666971,15438486959,15724100558,17569000351,16147130587,17906415044,19438878223,17852632105,18341049876,21718898274,15790000399,15551667060,19371110817,21726666839,23524999816,11889983498,19785065006,27769271211,38213203210,46609970270,51399500500,47736933000,53406319800,60990966300,62691747400,50645509000,49830828800,41986461000,10606870818,18049680786,28899558550,37537987445,43442829424,57791082382,70766944271,53453089199,75005496431,97541873555,90097938094,95532250251,90857938990,1.01528E+11,98478037376,1.17221E+11,87192948628,63626066084,54479129470,85139213746
Armenia,ARM,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064047261,823376623.4,20763233.48,118596041.6,367483703.3,305535851.7,336887740.3,381439054.2,429617443,383285986.6,419059322.4,485221417.5,604023894.7,795744250.7,1041601837,1752674590,2695863911,4083144220,5591113033,3558197968,3594356910,3237544393,2620949363,2463681600,2470857362,2187762846,1899939894,2123558470,2790546513,2370918342,2485842282,2868079878
American Samoa,ASM,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000000,128518518.5,140370370.4,160370370.4,176666666.7,201111111.1,221481481.5,239629629.6,164074074.1,180370370.4,198518518.5,216296296.3,275185185.2,418888888.9,490370370.4,512592592.6,462962963,322962963,235925925.9,265555555.6,280370370.4,311980222.2,319849629.6,390500851.9,478079407.4,593774629.6,706740259.3,789994259.3,
Australia,AUS,Gross capital formation (current US$),NE.GDI.TOTL.CD,5874118042,6522566917,5662448202,6639041326,7304289394,8710941875,8905812521,10021278979,10790682047,12337327808,13628625826,14512263411,15834112150,18120435618,27195283714,26083572306,27765032144,29755677908,30592149786,37570146541,40626183844,50727969349,57890323293,44852597099,51535953632,50582956202,51966284275,51833642139,66049912689,88793257878,90133897653,78951416686,72740905945,73669898820,78349360083,95700920701,99487101669,1.08277E+11,1.02493E+11,1.01877E+11,1.09246E+11,88805946120,96603181247,1.21316E+11,1.66347E+11,1.9102E+11,2.05849E+11,2.35141E+11,3.02065E+11,2.54141E+11,3.07673E+11,3.70061E+11,4.28842E+11,4.39544E+11,3.92339E+11,3.54954E+11,3.06658E+11,3.19788E+11,3.5078E+11,3.2442E+11,2.95182E+11,3.53423E+11
Austria,AUT,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,4771495105,5541740280,7058711828,9517022981,11444997055,10879523584,12248654598,15309730247,16461066995,21696574370,23617236758,19127014861,17519558764,16618430366,16163509387,16964551742,23505006760,29871903570,34140480330,35233812793,44427926903,46746366529,51115807663,48063635396,53086308878,64509635594,62486378997,55780133048,56978190307,56742769391,51151223870,49694720840,50688642611,64017705669,72533785057,75309760548,79396824795,95678567535,1.05712E+11,91501841483,88684956533,1.04211E+11,98162711032,1.02056E+11,1.04147E+11,90930239902,96015598611,1.03641E+11,1.17053E+11,1.12705E+11,1.11621E+11,1.33445E+11
