Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203335195.5,206810055.9,262463687.2,291620111.7,267882681.6,246845251.4,247564804.5,259779888.3,304413407.8,351674860.3,384622905,436061452.5,468039664.8,460068156.4,333092178.8,283293854.7,326209497.2,263510055.9,293234636.9,301397765.4,369439664.8,379334078.2,383301117.3,366257541.9,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,48098452708,52994039894,46845399349,37064365080,42495789790,53048669395,58002249868,61216625015,70967699985,73370640303,69577170487,66446840739,67851585192,74875822698,74731506620,75928369903,69182209451,67843866561,76353881959,69474033085,72714690697,94167283604,1.18688E+11,1.43444E+11,1.61644E+11,1.93264E+11,2.17532E+11,1.90934E+11,2.35222E+11,2.73946E+11,2.73568E+11,2.72282E+11,2.70903E+11,2.29476E+11,2.16088E+11,2.50744E+11,2.70407E+11,2.64499E+11,2.37556E+11,2.79292E+11
Afghanistan,AFG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917698311.6,1030959880,1369254451,1669374721,1966679570,2611814521,2758789241,2661559229,3306782820,4136545348,4274633005,4204327879,4362819507,4424400578,1886072502,1899437495,2465776709,2657614484,2826467190,2305125042
Africa Western and Central,AFW,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,82894001651,66391369658,47628633986,36232984592,39777941227,33679344772,33875196858,32289331134,31890007969,39668985933,38126826656,38088948987,29353173701,26477429766,35425628737,40605428748,40129992807,35419391546,38743650832,45064360143,41203869028,44677143730,55746760316,74349585633,89637926231,1.08829E+11,1.22382E+11,1.55299E+11,1.22223E+11,1.59876E+11,2.02013E+11,2.14056E+11,2.34843E+11,2.39504E+11,1.7327E+11,1.45251E+11,1.64979E+11,2.02772E+11,2.1593E+11,2.11233E+11,2.42793E+11
Angola,AGO,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339044728,5104486962,4646981369,3588659887,4474243885,6584533557,5798058745,8571519056,9461574028,12866467697,22331171894,30438252763,40389189578,53348780923,30974788504,42784765737,61313493342,71146755241,71186889336,63411495031,36573749640,21253763682,29084405513,37287357737,34488851368,24329393813,29736183282
Albania,ALB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555900588.4,409011588.3,390725059.5,531180304.1,675038886.7,852498955.9,1004680718,1349879571,1772143145,2019589407,2251420440,2705669379,3241078687,2940446271,2974271840,3156236434,2823526911,2946364693,2845221843,2478197738,2507690759,2650596138,3225183629,3175800334,3027675952,3984084310
Andorra,AND,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212124562.4,230863534.7,264568040.7,365948081.3,456828904.9,506715582.6,558813197.8,611606898.4,630525853.2,542581272.6,452830438.8,432196547.9,353051522.5,339115420.4,332204065.4,278464440.3,293745849,311884319.9,356471421.8,369136908.1,366007995.4,
Arab World,ARB,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,90587157793,1.16519E+11,1.30651E+11,1.33321E+11,2.0063E+11,2.98598E+11,2.94907E+11,2.37367E+11,1.92898E+11,1.85634E+11,1.70304E+11,1.41583E+11,1.57251E+11,1.54558E+11,1.74275E+11,3.62885E+11,1.8579E+11,1.99955E+11,1.91264E+11,1.99168E+11,2.28779E+11,2.64285E+11,2.91593E+11,2.5519E+11,3.10356E+11,4.04279E+11,3.73883E+11,3.75175E+11,4.20153E+11,5.21534E+11,6.88959E+11,8.37577E+11,9.50953E+11,1.25317E+12,9.26173E+11,1.14573E+12,1.37302E+12,1.52389E+12,1.49512E+12,1.44294E+12,1.0276E+12,9.57424E+11,1.05129E+12,1.26555E+12,1.21368E+12,9.44094E+11,1.22119E+12
United Arab Emirates,ARE,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,,,,,,,,,,,10892636256,13797778958,16908257116,16181545774,22281101764,31680422938,33725960229,29443203487,26283029147,26259874694,24870607464,17703078180,19895668755,19231272133,22837646445,29864342141,24115227458,29993189867,28635794062,27434758921,29943067284,34112775810,35815309180,30287542546,35484547311,50621375085,51321443159,52212933969,61080190606,76393192648,1.00502E+11,1.28612E+11,1.41442E+11,1.83032E+11,1.31959E+11,1.52228E+11,2.03511E+11,2.17566E+11,2.16934E+11,2.15292E+11,1.6053E+11,1.515E+11,1.66079E+11,2.00367E+11,1.86108E+11,1.47387E+11,1.97067E+11
Argentina,ARG,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,,,,,,13722940987,14202380230,11493637302,12434857435,14811143097,13353421858,15299799238,15831874375,22779001001,31577221374,26293432187,26042050145,27144799969,26774837040,30490501123,31723447657,31736843040,34652778710,43209876321,31406000793,34726667544,41467777149,42030000334,48572726893,32454050323,50917782541,62081175459,70201396124,64722201101,68876935900,67865473300,72371587300,79596589500,79855462400,74264967000,73866930600,67828286700,29862244294,41650893935,47449347397,56891104940,67914347258,78827167842,94990190458,84190456294,1.07003E+11,1.33668E+11,1.33378E+11,1.32519E+11,1.27777E+11,1.37703E+11,1.22959E+11,1.40196E+11,1.24485E+11,1.0369E+11,85515030603,1.14886E+11
