,Country Name,2016,2017,2018,2019,2020
4,Angola,22.366666666666664,22.366666666666664,31.1,22.366666666666664,22.366666666666664
5,Albania,0.1,0.4,0.0,0.0,0.4181818181818182
9,Argentina,0.7,0.4,0.8,0.8,1.1
10,Armenia,1.1,0.8,1.3,1.0,0.4
13,Australia,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
14,Austria,0.7,0.3,0.6,0.6,0.39999999999999997
15,Azerbaijan,3.1333333333333333,3.1333333333333333,3.1333333333333333,3.1333333333333333,3.1333333333333333
16,Burundi,72.85,72.85,72.85,72.85,72.85
17,Belgium,0.1,0.1,0.1,0.1,0.2304347826086956
18,Benin,44.50000000000001,44.50000000000001,19.9,44.50000000000001,44.50000000000001
19,Burkina Faso,56.56666666666666,56.56666666666666,30.5,56.56666666666666,56.56666666666666
20,Bangladesh,13.5,30.699999999999996,30.699999999999996,30.699999999999996,30.699999999999996
21,Bulgaria,2.0,1.4,0.9,0.9,2.0785714285714283
24,Bosnia and Herzegovina,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.17500000000000002
25,Belarus,0.0,0.0,0.0,0.0,0.0
26,Belize,17.65,17.65,17.65,17.65,17.65
28,Bolivia,5.6,4.9,3.3,1.9,3.1
29,Brazil,4.7,5.3,5.3,5.4,1.9
32,Bhutan,5.475,0.9,5.475,5.475,5.475
33,Botswana,27.620000000000005,27.620000000000005,27.620000000000005,27.620000000000005,27.620000000000005
35,Canada,0.2,0.2,0.4222222222222222,0.4222222222222222,0.4222222222222222
37,Switzerland,0.0,0.0,0.0,0.07647058823529411,0.07647058823529411
39,Chile,4.4399999999999995,0.3,4.4399999999999995,4.4399999999999995,0.7
40,China,0.8,0.7,0.4,0.1,20.36470588235294
41,Cote d'Ivoire,20.645454545454545,20.645454545454545,11.4,20.645454545454545,20.645454545454545
42,Cameroon,33.3,33.3,33.3,33.3,33.3
45,Colombia,4.9,4.3,4.5,5.3,10.8
47,Cabo Verde,11.6,11.6,11.6,11.6,11.6
48,Costa Rica,1.3,1.2,1.5,1.1,2.2
53,Cyprus,0.0,0.0,0.0,0.2,0.037500000000000006
54,Czechia,0.0,0.0,0.0,0.0,0.01
55,Germany,0.0,0.2,0.0,0.021428571428571432,0.021428571428571432
56,Djibouti,21.549999999999997,19.1,21.549999999999997,21.549999999999997,21.549999999999997
58,Denmark,0.3,0.1,0.2,0.3,0.20476190476190476
59,Dominican Republic,2.0,1.0,0.8,0.8,1.1
60,Algeria,4.233333333333333,4.233333333333333,4.233333333333333,4.233333333333333,4.233333333333333
63,East Asia & Pacific,2.2,1.9,1.5,1.1,38.271794871794874
65,Europe & Central Asia,2.9,2.8,2.4,2.4,5.510000000000002
66,Ecuador,3.6,3.2,3.3,3.6,6.5
67,"Egypt, Arab Rep.",2.3333333333333335,2.5,2.3333333333333335,2.3333333333333335,2.3333333333333335
70,Spain,1.1,0.7,0.8,0.8,0.7545454545454544
71,Estonia,0.5,0.3,0.2,0.6,0.7647058823529411
72,Ethiopia,42.1,42.1,42.1,42.1,42.1
75,Finland,0.0,0.1,0.1,0.0,0.05714285714285715
76,Fiji,1.1,1.1,1.1,1.3,1.1
77,France,0.1,0.0,0.0,0.19999999999999996,0.19999999999999996
81,United Kingdom,0.2,0.3,0.25862068965517243,0.25862068965517243,0.25862068965517243
82,Georgia,4.9,6.2,5.6,4.8,5.8
83,Ghana,25.3,50.84285714285715,50.84285714285715,50.84285714285715,50.84285714285715
85,Guinea,44.68333333333334,44.68333333333334,13.8,44.68333333333334,44.68333333333334
86,"Gambia, The",42.0,42.0,42.0,42.0,42.0
87,Guinea-Bissau,45.3,45.3,21.7,45.3,45.3
89,Greece,1.0,0.9,0.1,0.7,0.8315789473684211
92,Guatemala,21.916666666666668,21.916666666666668,21.916666666666668,21.916666666666668,21.916666666666668
95,High income,0.6,0.7,0.6,0.6,0.668421052631579
97,Honduras,14.6,13.9,14.2,12.7,21.123333333333335
99,Croatia,0.6,0.5,0.4,0.3,0.6909090909090909
101,Hungary,1.3,0.6,0.2,0.3,0.34374999999999994
104,IDA total,28.8,27.8,27.1,26.9,42.22258064516129
106,Indonesia,7.5,6.6,5.4,4.4,3.8
109,India,18.1,13.4,11.1,10.0,32.01666666666667
111,Ireland,0.1,0.2,0.0,0.2818181818181818,0.2818181818181818
112,"Iran, Islamic Rep.",0.7,0.6,0.9,1.1,2.4928571428571433
114,Iceland,0.0,0.0,0.05333333333333334,0.05333333333333334,0.05333333333333334
115,Israel,0.2,0.5,0.5,0.3772727272727273,0.3772727272727273
116,Italy,1.6,1.4,1.5,1.0041666666666667,1.0041666666666667
117,Jamaica,3.3,3.3,3.3,3.3,3.3
118,Jordan,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.18571428571428572
119,Japan,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997
120,Kazakhstan,0.1,0.0,0.0,2.631578947368421,2.631578947368421
121,Kenya,28.76,28.76,28.76,28.76,28.76
122,Kyrgyz Republic,1.1,1.3,0.7,0.7,1.3
126,"Korea, Rep.",0.2,0.25,0.25,0.25,0.25
129,Lao PDR,21.63333333333333,21.63333333333333,7.1,21.63333333333333,21.63333333333333
134,Latin America & Caribbean,4.4,4.4,4.3,4.3,11.520512820512819
136,Low income,44.6,44.1,43.9,52.443999999999996,52.443999999999996
138,Sri Lanka,1.3,8.0375,8.0375,8.0375,8.0375
