,Country Name,2016,2017,2018,2019,2020
4,Angola,9.336259842,9.324318886,9.01266861,10.63029003,3.97888987931579
5,Albania,58.3818512,57.3752594,54.96133041,59.7784996,57.81314087
9,Argentina,87.21344757,89.95851898,91.6006012,95.44790649,99.1662674
10,Armenia,51.08018875,52.25152969,54.57048035,51.48752975,50.81660843
13,Australia,120.9657135,113.1421585,107.8080521,115.9520416,114.189888
14,Austria,83.45494843,85.05713654,86.68834686,86.47553253,87.21138763
15,Azerbaijan,25.92642021,27.06740952,27.70849991,31.54019928,35.24843979
16,Burundi,3.681080103,3.917969942,4.057660103,3.923569918,4.968029976
17,Belgium,75.89064026,79.66172791,78.90116882,80.13816833,80.88874817
18,Benin,12.94939995,12.27414036,12.51698971,11.14138031,11.08936024
19,Burkina Faso,5.56196022,6.003399849,6.501870155,7.096129894,7.843729973
20,Bangladesh,17.87435913,18.15146065,20.56054115,24.01212883,23.96543312
21,Bulgaria,71.2457428,71.03066254,71.52152252,73.37917328,75.40579987
24,Bosnia and Herzegovina,50.78256989,47.82963181,43.4591217,40.19034958,37.9199791
25,Belarus,88.18457794,88.45143127,87.42909241,87.7572403,86.59693146
26,Belize,24.21410942,24.6566391,24.54084015,24.99110031,25.60012054
29,Brazil,50.73448944,51.57070923,53.25735092,55.13629913,54.57279968
32,Bhutan,8.37973295035,14.78161144,14.66244698,15.56830025,16.513134
33,Botswana,25.9108696,24.85997009,26.71711922,25.08139038,26.08892059
35,Canada,66.43917847,68.92250824,70.11302185,75.69882202,79.516922
37,Switzerland,58.04695129,59.56298828,61.37744904,63.30805969,65.33409119
39,Chile,87.18814087,88.4644165,90.8963089,93.10112762,91.66934967
40,China,48.01902008,49.07326126,50.60443878,53.76491165,58.42010117
41,Cote d'Ivoire,8.949250221,9.341369629,4.84493466834375,9.952599525,9.912989616
42,Cameroon,12.47752953,12.76025009,14.26727009,5.966289480405405,5.966289480405405
45,Colombia,55.48424911,56.43402863,55.32749176,54.97652054,54.23928833
47,Cabo Verde,24.00532913,24.39769936,23.61651039,13.74342354545,13.74342354545
48,Costa Rica,53.63869858,56.52795029,55.31010056,57.67481995,30.732687260000002
53,Cyprus,67.17111206,75.94081116,81.33708191,88.48532867,92.9377594
54,Czechia,63.7481308,64.07868958,63.76876831,65.58698273,68.06181335
55,Germany,69.58058929,70.2466507,70.34264374,73.52105713,72.98919678
56,Djibouti,1.3037204566363636,1.3037204566363636,1.3037204566363636,1.3037204566363636,1.3037204566363636
58,Denmark,81.05674744,80.6160202,81.18334961,81.83975983,82.8392868
59,Dominican Republic,54.49900055,59.91558838,59.658741,61.16122818,36.95326160041176
60,Algeria,42.62884903,47.64683151,51.36566925,52.61994171,52.49861908
63,East Asia & Pacific,45.45228958,45.74924088,46.2326889,48.21516037,51.04001999
65,Europe & Central Asia,67.99825287,70.06725311,72.02945709,74.35861969,76.28720856
66,Ecuador,29.329837837039996,29.329837837039996,47.59777069,47.94522858,52.58781052
67,"Egypt, Arab Rep.",33.85890961,35.16452026,38.90494919,22.680374848899998,22.680374848899998
70,Spain,86.51608276,88.85301208,91.11257172,92.88234711,95.96486664
71,Estonia,71.39044952,69.04592133,70.36543274,74.231987,52.22626377588235
72,Ethiopia,10.17908001,10.48816967,10.42656994,2.8281092604390246,2.8281092604390246
75,Finland,86.97852325,88.1978302,90.2617569,92.95500946,95.04788971
