"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203335195.530726","206810055.865922","262463687.150838","291620111.731844","267882681.564246","246845251.396648","247564804.469274","259779888.268156","304413407.821229","351674860.335196","384622905.027933","436061452.513967","468039664.804469","460068156.424581","333092178.77095","283293854.748603","326209497.206704","263510055.865922","293234636.871508","301397765.363128","369439664.804469","379334078.21229","383301117.318436","366257541.899441","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","48098452708.2343","52994039894.3201","46845399349.1097","37064365079.5701","42495789790.4561","53048669395.2815","58002249868.3103","61216625014.6089","70967699984.9693","73370640303.4971","69577170486.7282","66446840738.5017","67851585191.9304","74875822697.8957","74731506620.4532","75928369903.3113","69182209450.8185","67843866561.069","76353881959.0832","69474033084.9536","72714690697.1468","94167283603.6434","118687935332.622","143443715949.327","161643612137.803","193264411188.221","217532128194.178","190933869603.052","235222155139.241","273946139689.622","273568314003.052","272281945961.776","270903257983.626","229476107518.929","216088294868.052","250744118309.601","270407425660.043","264498851524.224","237555795810.278","279291890813.311",
"Afghanistan","AFG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","917698311.575651","1030959880.3546","1369254450.99768","1669374721.15012","1966679570.49389","2611814520.77601","2758789240.62112","2661559229.01143","3306782820.30528","4136545348.1278","4274633004.98415","4204327878.65108","4362819506.52867","4424400578.22867","1886072502.1818","1899437495.25726","2465776709.01559","2657614484.09383","2826467190.22378","2305125041.6896",
"Africa Western and Central","AFW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","82894001651.3389","66391369657.5557","47628633986.1924","36232984592.4581","39777941227.3777","33679344772.0635","33875196858.3931","32289331133.6263","31890007969.0121","39668985933.4169","38126826655.5621","38088948986.9144","29353173701.0023","26477429766.039","35425628737.3087","40605428747.8453","40129992807.4252","35419391545.8733","38743650831.9741","45064360142.5324","41203869028.447","44677143730.3295","55746760316.1668","74349585632.8176","89637926230.5061","108828728554.633","122382295640.751","155298844013.542","122223389314.652","159875758896.787","202013100465.702","214055904224.108","234842723034.559","239503538261.345","173269662540.336","145251125401.292","164979207114.796","202772077167.549","215929538554.341","211233429003.34","242792533028.98",
"Angola","AGO","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3339044727.78043","5104486961.84217","4646981368.98164","3588659887.19731","4474243884.62729","6584533557.40262","5798058745.39281","8571519055.73602","9461574027.93062","12866467697.453","22331171893.6978","30438252763.2232","40389189578.1431","53348780922.8957","30974788503.962","42784765737.0476","61313493341.6428","71146755240.744","71186889335.8635","63411495030.5411","36573749640.1888","21253763682.4026","29084405512.5669","37287357737.0124","34488851367.9958","24329393812.9973","29736183281.6578",
"Albania","ALB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","555900588.427247","409011588.275392","390725059.539561","531180304.127444","675038886.728515","852498955.868022","1004680718.3179","1349879571.14245","1772143145.16522","2019589407.46148","2251420440.0663","2705669378.5878","3241078686.82847","2940446271.29833","2974271840.45674","3156236434.02401","2823526910.58399","2946364692.83386","2845221843.00341","2478197737.88382","2507690758.60402","2650596137.69941","3225183629.47406","3175800333.72538","3027675952.1399","3984084310.27821",
"Andorra","AND","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212124562.373319","230863534.675615","264568040.654997","365948081.264108","456828904.891979","506715582.638975","558813197.842178","611606898.439639","630525853.229823","542581272.575715","452830438.817447","432196547.884187","353051522.549146","339115420.374552","332204065.364687","278464440.252968","293745849.014833","311884319.9277","356471421.823335","369136908.093586","366007995.431182","",
"Arab World","ARB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","90587157792.5482","116519113805.874","130650996904.901","133321351217.566","200630449601.386","298597943985.215","294906801948.168","237366682841.647","192898385850.586","185633547857.749","170304369525.494","141583379918.932","157251327748.673","154557963074.38","174274838611.118","362885212067.005","185789644837.433","199954813094.213","191264029041.305","199167539795.019","228778757011.193","264285221792.099","291592826562.872","255190474498.017","310355998731.909","404279112878.472","373883481222.796","375175264448.238","420153164465.572","521534162419.557","688959398008.948","837577125768.129","950952904783.425","1253165558702.5","926173283838.99","1145732608798.54","1373021629874.69","1523888744658.39","1495116454794.51","1442940084370.7","1027598166108.28","957423990770.443","1051288423671.9","1265547425708.53","1213680532237.6","944093574128.585","1221186890479.8",
"United Arab Emirates","ARE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","10892636255.7746","13797778958.2859","16908257115.7738","16181545773.9202","22281101763.7655","31680422937.908","33725960228.8205","29443203486.7883","26283029147.3713","26259874693.544","24870607463.9063","17703078180.3323","19895668755.1076","19231272132.9338","22837646445.1103","29864342141.106","24115227458.4582","29993189866.5214","28635794061.5636","27434758921.2749","29943067284.1188","34112775810.4059","35815309180.0599","30287542545.9496","35484547311.096","50621375085.0919","51321443158.6113","52212933968.6862","61080190605.8543","76393192648.0599","100501837985.024","128612389380.531","141441797140.912","183031994554.118","131958611300.204","152227846371.681","203511149598.366","217566493186.517","216933711373.052","215292194461.636","160530133990.606","151500186395.895","166079122177.126","200367141958.031","186107900699.712","147386900016.368","197066697288.043",
"Argentina","ARG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","13722940987.1061","14202380230.1166","11493637302.0994","12434857435.1947","14811143096.9913","13353421858.1536","15299799237.7258","15831874374.511","22779001001.4911","31577221374.0778","26293432187.1455","26042050144.5194","27144799968.9717","26774837040.446","30490501123.1548","31723447656.8833","31736843039.9318","34652778710.3286","43209876321.0791","31406000793.3823","34726667543.9361","41467777149.132","42030000333.6516","48572726893.3543","32454050322.8141","50917782540.73","62081175458.8359","70201396123.5615","64722201101.1011","68876935900","67865473300","72371587300","79596589500","79855462400","74264967000","73866930600","67828286700","29862244294.3788","41650893934.7656","47449347396.6465","56891104939.9563","67914347258.316","78827167842.031","94990190458.2193","84190456294.3594","107003102712.487","133668465000.852","133378346124.392","132518500700.684","127776703489.575","137702635919.615","122958567447.25","140195988951.077","124485103498.843","103690330647.858","85515030602.8421","114885638901.492",
