,Argentina,Australia,Austria,Belarus,Belgium,Brazil,Canada,Chile,China,Colombia,Czechia,Denmark,"Egypt, Arab Rep.",Estonia,Finland,France,Germany,Greece,India,Indonesia,Ireland,Israel,Italy,Japan,Kazakhstan,"Korea, Rep.",Lebanon,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Norway,Pakistan,Philippines,Poland,Portugal,Russian Federation,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,Turkiye,Ukraine,United Arab Emirates,United Kingdom,United States
2010,423627422092.49,1148610059015.24,392275107258.667,57222490768.7143,481420882905.001,2208871646202.82,1617343367486.26,217105420016.533,6087163874512.21,286563099757.482,209069940963.177,321995279401.502,218983666061.706,19523477325.6235,249424310816.667,2645187882116.67,3399667820000.01,297124961971.501,1675615335600.56,755094160363.071,221913560882.367,238364092298.023,2136099955236.67,5759071769013.11,148047348240.643,1144066965324.49,38443907042.3217,255016609232.871,1057801295584.05,7189481824.07288,847380859016.668,146517541181.254,428757038466.841,177165635077.065,208368726861.407,475696613935.595,238113003233.284,1524917468442.01,528207332649.536,239809387605.427,417365076968.257,1422108199783.34,495812558843.31,598851028906.58,341104820155.464,776992599946.766,141209864408.488,289787452661.675,2491397494467.95,15048964444000.0
2011,530163281574.658,1398405797101.45,431685217367.511,61757788944.7236,523330354138.133,2616201578192.25,1793326630174.52,251224856981.294,7551500124203.36,334943877377.472,229562733398.948,344003137611.271,235989672977.625,23213994093.4631,275604356167.316,2865157541994.17,3749314991050.59,282995942006.557,1823049927772.05,892969107923.094,239003132208.133,266791854430.897,2294994296589.5,6233147172341.35,192626507971.584,1253223044718.99,39927125961.194,297951960784.314,1180489601957.61,10409797649.3063,905270626332.687,168291357111.739,498283438454.281,213587413183.996,234216930369.796,524382678547.32,245117990242.248,2045925608274.37,671238840108.229,279351168707.267,458201514136.977,1480710495710.12,574094112972.733,715888126682.396,370819140946.553,838762755164.179,169333048847.834,350666058379.85,2666403005061.42,15599728123000.0
2012,545982375701.128,1546892142709.84,409401816050.531,65685102554.8759,496152879924.727,2465188674415.03,1828366481521.6,267175872540.066,8532229986993.65,370921317942.564,208857719320.649,327148943812.137,279116666666.667,23019150071.1867,258290060227.734,2683671716967.19,3527143188785.16,242029307133.408,1827637859506.25,917869910105.749,225628699652.993,262282344091.849,2086957656821.6,6272362996105.03,207998568865.789,1278427634342.59,44016799515.8209,314443149443.149,1201089987015.45,12292770631.1967,838923319919.531,176206659722.524,509506317146.541,224383620829.57,261920509950.555,495236910793.797,216224240577.957,2208295773643.15,735974843348.664,295087220933.024,434400545085.811,1324750738725.0,552483727282.802,686420221557.99,397558222957.17,880556375779.51,182592416468.527,384610125384.033,2706340967030.68,16253972230000.0
2013,552025140252.246,1576380424746.08,430190979705.962,75527984234.2342,521791015247.06,2472806919901.67,1846597421834.98,277239461340.404,9570406235659.64,382116120909.218,211685616592.931,343584391647.927,288434108527.132,25115753366.1114,271362405890.589,2811876903329.03,3733804649549.03,238907690051.13,1856722121394.42,912524136718.018,238340859896.937,297732778479.129,2141924094298.56,5212328181166.18,236634552078.102,1370795199976.18,46880103080.6634,323277158906.979,1274443084716.57,12582122604.1921,877172824534.512,190906575136.003,522761531914.894,231218567178.979,283902728260.716,515764728216.161,226433858005.714,2292473246621.08,746647127407.619,307576360584.992,400886013595.573,1355579535912.55,586841821796.891,706234937370.968,420333203150.426,957783020853.031,190498811460.028,400218529747.597,2786315215249.95,16843190993000.0
2014,526319673731.638,1467545212521.8,442584815286.034,78813839984.3506,535390200131.018,2455993625159.37,1805749878439.94,259405202008.001,10475682920594.5,381112110485.385,209358834156.329,352993631617.708,305595408895.265,26634083965.0987,274862826772.156,2855964488590.19,3889093051023.52,235458133124.608,2039127446299.3,890814755233.225,259170903647.536,314330061977.263,2162009615996.54,4896994405353.29,221415572819.5,1484318219633.63,48095213746.4677,338061963396.376,1315351183524.54,12226514722.0861,892167986713.722,201313497220.917,498410050251.256,244360888750.807,297483247101.038,539087652559.835,229901964221.884,2059241965490.83,756350347320.381,314851156183.411,381198869776.106,1371820537888.62,581964017237.095,726537808338.0,407339454060.678,938952628604.067,133503411375.739,414105366758.911,3065223279583.79,17550680174000.0
2015,594749285413.212,1350615691821.28,381971148530.543,56454734396.5842,462335574841.484,1802214373741.32,1556508816217.14,242496649874.236,11061553079876.4,293481753078.868,188033050459.881,302673070846.857,329366576819.407,22890762090.1508,234534382384.766,2439188643162.5,3357585719351.56,195683527003.375,2103587813812.75,860854235065.079,291775166506.891,303414276832.04,1836637711060.55,4444930651964.18,184388432148.715,1465773245547.15,49929337837.0813,301354756113.174,1171867608197.72,11619892396.0767,765572770634.375,178064471137.921,385801550067.169,270556131701.171,306446140628.709,477111287969.227,199394066525.44,1363481063446.77,654269739552.019,308004146057.608,346709790458.563,1196156971279.69,505103781349.757,694118186379.628,401296437424.995,864316670330.882,91030959454.6961,370275469560.166,2934857946213.47,18206020741000.0
2016,557531376217.967,1206535157956.03,395837353031.499,47722657820.6675,476062757356.927,1795700168991.49,1527994741907.43,249298719723.108,11233276536737.2,282825012368.255,196272068576.338,313115929314.339,332441717791.411,24072829276.7744,240771351298.833,2472964344587.17,3469853463945.53,193148146586.933,2294797980509.01,931877364177.742,299091127524.505,322102790386.835,1877071687633.78,5003677627544.24,137278320084.171,1500111596236.37,51147308773.9304,301255454041.415,1078490651625.31,11181350461.4723,784060430240.08,188838342527.975,368827142857.143,313629858859.587,318626761492.867,470022572790.91,206426152308.931,1276786979221.81,644935682011.475,318832428519.725,323585509674.481,1233554967011.68,515654671469.547,687895460902.713,413366150655.591,869692960365.551,93355993628.5042,369255326235.771,2699659680997.2,18695110842000.0
2017,643628665302.155,1326516328531.56,417261151844.977,54726595249.1849,502764720556.354,2063507864886.88,1649265644244.09,276364933679.626,12310409370892.8,311883730442.045,218628940951.675,332121063806.391,235733695652.174,26924385103.0659,255647979916.471,2595151045197.65,3690849152517.65,199844406013.531,2651472946375.05,1015618742565.81,336377500160.546,358245427458.541,1961796197354.36,4930837369151.42,166805800595.704,1623901496835.79,53027680685.8375,319112175611.571,1158913035796.37,11480847745.3187,833869641687.06,206623758800.159,398393955268.99,339205615769.187,328480867142.69,524645833884.582,221357874718.93,1574199387070.9,688586094412.68,343193352161.634,381448814653.456,1313245330197.65,541018749769.097,695200833086.499,456356961443.497,858996263095.858,112090530368.543,390516804016.501,2683399006715.79,19477336549000.0
2018,524819742918.669,1428288504767.07,454991174096.102,60031262269.3365,543299066998.902,1916947014067.55,1725329192783.02,295402652037.155,13894817549374.2,334198218100.719,249000540729.179,356841216410.068,249712999437.254,30624720196.229,275708001767.843,2790956878746.66,3974443355019.6,212049447242.111,2702929718960.46,1042271531011.99,385736680797.118,376691526553.276,2091932426266.98,5037835383110.97,179339994859.384,1724845615629.26,54901519155.6219,358791603677.728,1222408203104.3,13178094459.4548,914043438179.607,211953111035.513,436999692591.454,356128224957.085,346842094175.24,588782567765.872,242313116577.967,1657329646183.62,816578674529.141,376998146500.593,404159690890.846,1421702715218.04,555455371487.089,725568717468.001,506754616189.315,778471900960.981,130891049796.879,427049432149.345,2878152147315.82,20533057312000.0
2019,447754609218.678,1392227864397.08,444621176100.548,64409647193.8044,535830876745.097,1873274432754.47,1742015045482.31,278584733103.01,14279937500606.5,323109540251.855,252548179964.897,346498737961.635,303080865603.645,31081901909.2156,268514916972.549,2728870246705.88,3888226035921.56,205257014892.502,2831552222519.99,1119099868265.25,399321701632.431,402470513619.148,2011302198827.45,5123318151510.62,181667190075.541,1651422932447.77,51953744530.2445,365175135787.568,1269011767478.56,14206359006.8095,910194347568.626,213434571357.984,404941363636.364,320909489229.723,376823278560.849,596054591863.312,239986922638.902,1693113904262.89,803616264791.024,375472731271.075,388531954110.604,1394320055129.41,533879529188.454,721369112726.724,544081056184.697,759937390496.669,153882982016.281,417989721734.494,2857057847953.02,21380976119000.0
2020,385540224628.292,1326901059123.21,435225238000.437,61371126414.1663,525211810652.608,1448559976218.19,1645423407568.36,252727193710.018,14687673892882.0,270299984937.97,245974558654.043,355222449505.211,365252651278.852,31370395572.7658,271891788362.647,2639008701648.26,3889668895299.62,188925995936.807,2667687951796.5,1058688935454.78,425852281928.121,413267669231.522,1896755301518.14,5040107754084.11,171082379532.988,1644312831906.17,31712128253.7961,337337932675.152,1090515389749.41,13312981594.573,909793466661.481,211734532308.013,362198318435.26,300425666773.043,361751116292.541,599449188399.108,229031860520.777,1489362488439.76,703367841222.555,345295933898.674,337619680138.494,1276962685648.25,547054174235.876,739913619797.445,499681757030.968,720289368333.191,156617861448.576,349473015336.939,2704609160088.15,21060473613000.0
