Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,25,22,22,22,24,21,21,21,24,25,28
Australia,13,13,12,12,13,13,14,13,13,14,13
Austria,27,27,27,26,26,27,26,26,26,26,25
Belarus,47,47,47,47,47,47,48,47,47,47,47
Belgium,22,24,24,24,23,24,23,24,23,23,23
Brazil,7,7,7,7,7,9,9,8,9,9,12
Canada,10,11,10,11,11,10,10,10,10,10,9
Chile,40,37,35,37,38,39,39,38,38,39,40
China,2,2,2,2,2,2,2,2,2,2,2
Colombia,32,31,30,30,30,36,38,37,37,36,39
Czechia,41,42,43,44,44,43,42,42,41,41,41
Denmark,29,30,31,31,31,34,35,34,34,35,32
"Egypt, Arab Rep.",39,40,34,35,35,30,29,40,40,38,29
Estonia,49,49,49,49,49,49,49,49,49,49,49
Finland,34,35,38,38,37,40,40,39,39,40,38
France,5,5,6,5,6,6,6,7,6,7,7
Germany,4,4,4,4,4,4,4,4,4,4,4
Greece,30,33,39,39,41,42,43,44,43,44,44
India,9,10,11,10,10,7,7,6,7,6,6
Indonesia,18,17,16,17,18,17,16,16,16,16,16
Ireland,38,39,40,40,39,37,37,33,30,30,26
Israel,36,36,36,34,34,33,31,30,32,29,27
Italy,8,8,9,9,8,8,8,9,8,8,8
Japan,3,3,3,3,3,3,3,3,3,3,3
Kazakhstan,44,44,44,41,43,44,45,45,45,45,45
"Korea, Rep.",14,14,14,13,12,11,11,11,11,12,10
Lebanon,48,48,48,48,48,48,47,48,48,48,48
Malaysia,33,32,32,32,32,35,36,36,33,34,36
Mexico,15,15,15,15,15,15,15,15,15,15,15
Mongolia,50,50,50,50,50,50,50,50,50,50,50
Netherlands,16,16,18,18,17,18,18,18,17,17,17
New Zealand,45,46,46,45,45,45,44,43,44,43,43
Norway,24,25,23,23,25,26,28,27,27,28,30
Pakistan,43,43,41,42,40,38,34,32,35,37,37
Philippines,42,41,37,36,36,32,33,35,36,32,31
Poland,23,23,25,25,22,23,24,23,21,21,21
Portugal,37,38,42,43,42,41,41,41,42,42,42
Russian Federation,11,9,8,8,9,12,12,12,12,11,11
Saudi Arabia,20,20,19,19,19,20,20,20,18,18,20
Singapore,35,34,33,33,33,31,32,31,31,33,34
South Africa,26,26,26,28,29,29,30,29,29,31,35
Spain,12,12,13,14,14,14,13,14,14,13,14
Sweden,21,21,21,21,21,22,22,22,22,24,22
Switzerland,19,19,20,20,20,19,19,19,20,20,18
Thailand,28,28,28,27,28,25,25,25,25,22,24
Turkiye,17,18,17,16,16,16,17,17,19,19,19
Ukraine,46,45,45,46,46,46,46,46,46,46,46
United Arab Emirates,31,29,29,29,27,28,27,28,28,27,33
United Kingdom,6,6,5,6,5,5,5,5,5,5,5
United States,1,1,1,1,1,1,1,1,1,1,1
