Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,23,22,20,21,24,20,20,19,24,26,27
Australia,13,13,12,12,13,11,12,12,14,14,12
Austria,26,27,27,26,26,26,26,26,26,25,25
Belarus,47,47,47,47,47,47,47,47,47,47,47
Belgium,22,24,25,24,23,24,23,23,23,23,22
Brazil,8,7,7,7,7,9,9,8,9,9,11
Canada,10,10,10,10,11,10,10,10,10,10,9
Chile,38,34,32,34,36,38,38,37,37,38,40
China,2,2,2,2,2,2,2,2,2,2,2
Colombia,30,29,29,29,28,30,32,32,33,33,36
Czechia,39,40,40,42,43,43,43,41,40,40,41
Denmark,31,31,31,31,31,34,36,36,36,36,33
"Egypt, Arab Rep.",46,46,39,40,40,37,37,45,42,42,35
Estonia,49,49,49,49,49,49,49,49,49,49,48
Finland,34,33,35,35,34,40,40,39,39,39,37
France,6,6,6,6,6,6,6,6,6,6,6
Germany,4,4,4,4,4,4,4,4,4,4,4
Greece,29,32,36,36,41,41,42,43,43,44,44
India,11,12,11,11,10,7,7,7,7,7,7
Indonesia,18,16,16,17,17,17,16,16,16,16,15
Ireland,41,37,42,39,37,32,33,31,29,28,26
Israel,36,38,38,37,35,36,34,34,34,32,29
Italy,7,8,8,8,8,8,8,9,8,8,8
Japan,3,3,3,3,3,3,3,3,3,3,3
Kazakhstan,45,45,46,45,45,45,45,44,45,45,45
"Korea, Rep.",15,15,15,15,15,13,13,14,12,13,10
Lebanon,48,48,48,48,48,48,48,48,48,48,49
Malaysia,32,30,30,30,30,31,31,33,30,31,32
Mexico,14,14,14,14,14,15,15,15,15,15,16
Mongolia,50,50,50,50,50,50,50,50,50,50,50
Netherlands,17,18,18,18,18,18,18,18,17,17,17
New Zealand,43,43,44,44,44,44,44,42,44,43,43
Norway,27,25,24,25,25,27,27,28,27,30,30
Pakistan,42,42,43,43,39,35,30,29,31,34,34
Philippines,40,41,34,32,32,29,29,30,32,29,28
Poland,21,21,23,23,21,21,22,21,20,20,20
Portugal,33,35,41,41,42,42,41,40,41,41,42
Russian Federation,12,9,9,9,9,14,14,13,13,12,14
Saudi Arabia,24,23,22,22,22,23,24,24,21,21,24
Singapore,37,39,37,38,38,39,39,38,38,37,39
South Africa,25,26,26,28,29,28,28,27,28,27,31
Spain,9,11,13,13,12,12,11,11,11,11,13
Sweden,20,20,21,20,20,22,21,22,22,24,21
Switzerland,19,19,19,19,19,19,19,20,19,19,19
Thailand,28,28,28,27,27,25,25,25,25,22,23
Turkiye,16,17,17,16,16,16,17,17,18,18,18
Ukraine,44,44,45,46,46,46,46,46,46,46,46
United Arab Emirates,35,36,33,33,33,33,35,35,35,35,38
United Kingdom,5,5,5,5,5,5,5,5,5,5,5
United States,1,1,1,1,1,1,1,1,1,1,1
