Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,2,0,2,1,0,1,1,2,0,-1,1
Australia,0,0,0,0,0,2,2,1,-1,0,1
Austria,1,0,0,0,0,1,0,0,0,1,0
Belarus,0,0,0,0,0,0,1,0,0,0,0
Belgium,0,0,-1,0,0,0,0,1,0,0,1
Brazil,-1,0,0,0,0,0,0,0,0,0,1
Canada,0,1,0,1,0,0,0,0,0,0,0
Chile,2,3,3,3,2,1,1,1,1,1,0
China,0,0,0,0,0,0,0,0,0,0,0
Colombia,2,2,1,1,2,6,6,5,4,3,3
Czechia,2,2,3,2,1,0,-1,1,1,1,0
Denmark,-2,-1,0,0,0,0,-1,-2,-2,-1,-1
"Egypt, Arab Rep.",-7,-6,-5,-5,-5,-7,-8,-5,-2,-4,-6
Estonia,0,0,0,0,0,0,0,0,0,0,1
Finland,0,2,3,3,3,0,0,0,0,1,1
France,-1,-1,0,-1,0,0,0,1,0,1,1
Germany,0,0,0,0,0,0,0,0,0,0,0
Greece,1,1,3,3,0,1,1,1,0,0,0
India,-2,-2,0,-1,0,0,0,-1,0,-1,-1
Indonesia,0,1,0,0,1,0,0,0,0,0,1
Ireland,-3,2,-2,1,2,5,4,2,1,2,0
Israel,0,-2,-2,-3,-1,-3,-3,-4,-2,-3,-2
Italy,1,0,1,1,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,-1,-1,-2,-4,-2,-1,0,1,0,0,0
"Korea, Rep.",-1,-1,-1,-2,-3,-2,-2,-3,-1,-1,0
Lebanon,0,0,0,0,0,0,-1,0,0,0,-1
Malaysia,1,2,2,2,2,4,5,3,3,3,4
Mexico,1,1,1,1,1,0,0,0,0,0,-1
Mongolia,0,0,0,0,0,0,0,0,0,0,0
Netherlands,-1,-2,0,0,-1,0,0,0,0,0,0
New Zealand,2,3,2,1,1,1,0,1,0,0,0
Norway,-3,0,-1,-2,0,-1,1,-1,0,-2,0
Pakistan,1,1,-2,-1,1,3,4,3,4,3,3
Philippines,2,0,3,4,4,3,4,5,4,3,3
Poland,2,2,2,2,1,2,2,2,1,1,1
Portugal,4,3,1,2,0,-1,0,1,1,1,0
Russian Federation,-1,0,-1,-1,0,-2,-2,-1,-1,-1,-3
Saudi Arabia,-4,-3,-3,-3,-3,-3,-4,-4,-3,-3,-4
Singapore,-2,-5,-4,-5,-5,-8,-7,-7,-7,-4,-5
South Africa,1,0,0,0,0,1,2,2,1,4,4
Spain,3,1,0,1,2,2,2,3,3,2,1
Sweden,1,1,0,1,1,0,1,0,0,0,1
Switzerland,0,0,1,1,1,0,0,-1,1,1,-1
Thailand,0,0,0,0,1,0,0,0,0,0,1
Turkiye,1,1,0,0,0,0,0,0,1,1,1
Ukraine,2,1,0,0,0,0,0,0,0,0,0
United Arab Emirates,-4,-7,-4,-4,-6,-5,-8,-7,-7,-8,-5
United Kingdom,1,1,0,1,0,0,0,0,0,0,0
United States,0,0,0,0,0,0,0,0,0,0,0
