Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,115949.996948242,115250.0,118709.999084473,120360.000610352,121540.000915527,122010.00213623,123599.998474121,127550.003051758,127540.000915527,128800.003051758,131509.88477542152
Australia,114900.001525879,164059.997558594,162619.995117188,125680.000305176,137669.998168945,134160.003662109,118379.997253418,141300.003051758,140600.006103516,126069.999694824,137680.2499088237
Austria,8109.99965667725,7920.00007629395,7769.99998092651,7630.00011444092,7440.00005722046,7389.9998664856,7309.99994277954,7269.99998092651,7039.99996185303,6920.00007629395,6734.691708176233
Belarus,16299.9992370605,15979.9995422363,16250.0,16920.0000762939,16989.9997711182,17229.9995422363,16809.9994659424,17010.0002288818,17030.0006866455,17020.0004577637,17342.59426446609
Belgium,9239.99977111816,8989.99977111816,8829.99992370605,8609.99965667725,8539.99996185303,8529.99973297119,8449.99980926514,8170.00007629395,8189.9995803833,8079.99992370605,7792.469036431949
Brazil,419390.014648438,418760.009765625,421010.009765625,418519.989013672,424290.008544922,430369.995117188,432380.004882813,430140.014648438,424649.993896484,431070.007324219,422094.31664737617
Canada,85559.9975585938,86580.0018310547,87010.0021362305,89809.9975585938,91930.0003051758,92209.9990844727,94449.9969482422,98660.0036621094,101730.003356934,101699.996948242,105080.3676652316
Chile,12279.9997329712,12329.9999237061,12609.9996566772,11560.0004196167,10829.9999237061,10590.0001525879,10909.9998474121,11020.0004577637,11409.9998474121,11590.0001525879,12330.00081851161
China,1072780.02929688,1121239.99023438,1122670.04394531,1147020.01953125,1161119.99511719,1159609.98535156,1120069.94628906,1131479.98046875,1158959.9609375,1176140.01464844,1245117.758668506
Colombia,71849.9984741211,70540.0009155273,68879.997253418,69610.0006103516,69660.0036621094,69620.002746582,69599.9984741211,70989.9978637695,74120.002746582,76839.9963378906,81732.09512969592
Czechia,13819.9996948242,13770.0004577637,13619.9998855591,12819.9996948242,12760.0002288818,12760.0002288818,12470.0002670288,12489.9997711182,12409.9998474121,12439.9995803833,12444.072829352484
Denmark,9050.00019073486,8729.99954223633,8560.0004196167,8350.00038146973,8199.99980926514,8199.99980926514,8149.99961853027,8079.99992370605,7949.99980926514,7780.00020980835,7503.087526486251
"Egypt, Arab Rep.",62709.9990844727,64930.0003051758,67260.0021362305,65769.9966430664,66610.0006103516,65540.0009155273,67959.9990844727,69790.0009155273,70550.0030517578,75129.997253418,79637.77188901545
Estonia,1289.99996185303,1230.00001907349,1230.00001907349,1200.00004768372,1190.00005722046,1179.99994754791,1100.00002384186,1110.00001430511,1110.00001430511,1110.00001430511,1158.5185542518625
