Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,1060.0,1160.0,1180.0,1260.0,1230.0,1290.0,1310.0,1370.0,1370.0,1360.0,1402.5925925925922
Australia,3100.0,3110.0,3140.0,3160.0,3110.0,3220.0,3280.0,3350.0,3350.0,3320.0,3291.358024691357
Austria,850.0,830.0,830.0,850.0,840.0,860.0,860.0,850.0,840.0,850.0,837.0370370370368
Belarus,360.0,370.0,380.0,380.0,370.0,340.0,340.0,360.0,370.0,380.0,435.3086419753086
Belgium,760.0,730.0,730.0,730.0,720.0,730.0,770.0,760.0,760.0,760.0,724.8148148148147
Brazil,8310.0,8480.0,8860.0,9350.0,9730.0,9650.0,9560.0,9830.0,9710.0,9920.0,10242.716049382714
Canada,5550.0,5670.0,5640.0,5760.0,5760.0,5710.0,5610.0,5860.0,5940.0,5920.0,6267.283950617284
Chile,750.0,830.0,1020.0,1120.0,970.0,1000.0,1060.0,1090.0,1110.0,1130.0,1279.012345679012
China,47180.0,50410.0,51850.0,53380.0,53180.0,53490.0,53190.0,54190.0,55010.0,55520.0,58396.666666666664
Colombia,720.0,820.0,840.0,990.0,1020.0,1060.0,1080.0,1030.0,1050.0,1100.0,1110.1234567901233
Czechia,820.0,820.0,810.0,790.0,800.0,810.0,830.0,840.0,840.0,840.0,819.3827160493828
Denmark,590.0,560.0,540.0,560.0,540.0,550.0,580.0,580.0,580.0,560.0,528.8888888888887
"Egypt, Arab Rep.",1010.0,1050.0,1130.0,1140.0,1190.0,1240.0,1280.0,1260.0,1260.0,1260.0,1188.3950617283947
Estonia,160.0,150.0,140.0,160.0,150.0,140.0,140.0,150.0,150.0,130.0,134.07407407407408
Finland,810.0,780.0,780.0,800.0,830.0,810.0,790.0,830.0,850.0,850.0,897.6543209876542
France,3730.0,3660.0,3750.0,3780.0,3690.0,3750.0,3790.0,3820.0,3730.0,3730.0,3689.259259259259
Germany,5990.0,5920.0,6040.0,6120.0,6000.0,5990.0,5990.0,5940.0,5760.0,5580.0,5377.654320987654
Greece,690.0,650.0,600.0,550.0,550.0,540.0,520.0,520.0,510.0,490.0,460.9876543209876
India,16410.0,17100.0,18080.0,18690.0,19790.0,20280.0,20740.0,22030.0,23010.0,23080.0,24014.32098765432
Indonesia,5380.0,5780.0,5990.0,5920.0,6100.0,5850.0,6080.0,6190.0,6600.0,6960.0,7603.456790123456
Ireland,320.0,290.0,290.0,290.0,300.0,310.0,320.0,330.0,320.0,320.0,297.77777777777777
Israel,500.0,490.0,540.0,470.0,460.0,480.0,470.0,470.0,470.0,500.0,516.6666666666666
Italy,3160.0,3050.0,3010.0,2910.0,2870.0,2880.0,2780.0,2720.0,2780.0,2760.0,2776.049382716049
Japan,8600.0,8610.0,8670.0,8730.0,8380.0,8440.0,8350.0,8390.0,8270.0,8160.0,8259.876543209877
Kazakhstan,1020.0,1090.0,1120.0,1130.0,1050.0,950.0,1040.0,1050.0,1060.0,1020.0,1075.5555555555552
"Korea, Rep.",3160.0,3200.0,3280.0,3370.0,3390.0,3570.0,3640.0,3760.0,3760.0,3730.0,3678.518518518519
Lebanon,160.0,160.0,210.0,190.0,200.0,230.0,240.0,250.0,230.0,230.0,199.50617283950618
Malaysia,1290.0,1270.0,1320.0,1630.0,1750.0,1750.0,1810.0,1810.0,1850.0,1910.0,1939.3827160493827
Mexico,4240.0,4290.0,4290.0,4270.0,4220.0,4260.0,4350.0,4320.0,4170.0,4160.0,3981.358024691357
Mongolia,120.0,140.0,160.0,170.0,160.0,160.0,150.0,180.0,190.0,220.0,290.98765432098764
Netherlands,980.0,990.0,980.0,950.0,940.0,970.0,960.0,970.0,990.0,1000.0,1018.2716049382718
New Zealand,360.0,360.0,370.0,370.0,370.0,380.0,380.0,390.0,400.0,400.0,410.6172839506172
Norway,370.0,360.0,350.0,350.0,340.0,340.0,380.0,390.0,370.0,380.0,359.5061728395061
Pakistan,2310.0,2370.0,2430.0,2490.0,2610.0,2780.0,2960.0,3160.0,3120.0,3170.0,3087.1604938271603
Philippines,920.0,930.0,980.0,1050.0,1090.0,1190.0,1280.0,1360.0,1400.0,1460.0,1482.9629629629628
Poland,2320.0,2350.0,2310.0,2240.0,2180.0,2220.0,2300.0,2460.0,2550.0,2520.0,2632.3456790123455
Portugal,590.0,580.0,540.0,530.0,530.0,560.0,550.0,560.0,550.0,540.0,510.9876543209874
Russian Federation,6390.0,6750.0,6940.0,6860.0,6730.0,6790.0,6620.0,6730.0,7370.0,7930.0,9101.728395061727
Saudi Arabia,2590.0,2800.0,3030.0,3090.0,3290.0,3510.0,3480.0,3400.0,3200.0,3210.0,2878.2716049382707
Singapore,220.0,230.0,230.0,220.0,230.0,240.0,240.0,250.0,230.0,230.0,211.358024691358
South Africa,2930.0,2870.0,2950.0,3060.0,3060.0,3000.0,2970.0,3100.0,3070.0,3080.0,3233.7037037037026
Spain,2980.0,2990.0,2990.0,2500.0,2520.0,2600.0,2620.0,2740.0,2810.0,2720.0,2641.7283950617275
Sweden,1050.0,1010.0,1040.0,1040.0,1050.0,1090.0,1140.0,1190.0,1180.0,1180.0,1150.617283950617
Switzerland,540.0,520.0,520.0,530.0,510.0,510.0,520.0,520.0,520.0,530.0,541.2345679012345
Thailand,2170.0,2180.0,2340.0,2400.0,2450.0,2550.0,2870.0,2940.0,3030.0,3190.0,3195.9259259259256
Turkiye,1490.0,1480.0,1610.0,1650.0,1710.0,1860.0,2010.0,2130.0,2150.0,2170.0,2109.7530864197533
Ukraine,1140.0,1190.0,1200.0,1200.0,1050.0,890.0,940.0,860.0,900.0,860.0,959.753086419753
United Arab Emirates,690.0,690.0,730.0,830.0,860.0,780.0,860.0,1000.0,920.0,880.0,901.7283950617284
United Kingdom,3570.0,3510.0,3610.0,3580.0,3550.0,3500.0,3400.0,3380.0,3460.0,3500.0,3676.7901234567894
United States,54360.0,53590.0,52420.0,54640.0,54830.0,55040.0,55160.0,54930.0,56190.0,55040.0,54705.67901234566
