Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,-4037.26074218799,1716.79980468701,5004.810546875,15125.322265625,390.8671875,4650.76953125,3701.72753906201,11680.417216542144,16213.19342827087,21509.896270640776,27634.541450931618
Australia,-21765.140625,-30485.052734375,-20663.681640625,-22742.505859375,-22586.552734375,-29898.16015625,-17268.705078125,-57050.153839469574,-78351.4338363167,-105670.81660260767,-139659.2797247394
Austria,-3482.3779296875,-4557.25244140629,-6628.8251953125,-6344.0712890625,-6359.189453125,-7723.857421875,-8604.11328125,-11327.323224980857,-13677.606248861912,-16440.08602721116,-19649.685856448374
Belarus,-8944.12109375,-7542.0400390625,-7006.10546875,-7266.849609375,-7290.16943359379,-4759.1328125,-7365.6689453125,219.22129542458788,3641.8349479755107,7761.777195237326,12635.35454996006
Belgium,651.634765625,-294.899902343794,4130.30712890621,4545.525390625,3824.5751953125,4896.5263671875,2697.18701171871,6729.011865624367,7640.023653426757,8536.298287487152,9409.364039314216
Brazil,-14040.2109375,-12347.65234375,7323.02734375,10895.32421875,10504.25390625,-4786.4921875,-12454.9140625,2851.7566156441953,7797.304384526793,13587.963201267905,20294.39340628892
Canada,-142754.390625,-126840.296875,-132315.3984375,-131060.765625,-127762.5703125,-111545.34375,-112198.6015625,-81538.51465929633,-60754.209904759016,-35440.80130315496,-5091.862443243386
Chile,-2073.0908203125,-1763.5283203125,2075.0654296875,2219.38134765621,1724.7470703125,7292.12646484371,7591.4736328125,15882.926438806478,21571.646779104565,28307.5050921102,36179.23939432424
China,-285418.0,-301112.0,-228593.0,-246268.0,-415197.0,-382872.0,-364711.4375,-448148.6795327958,-487464.62447288056,-531580.131554571,-580756.0084369746
Colombia,4098.5498046875,2509.60888671871,5022.60888671871,7585.8623046875,8138.6318359375,7665.5966796875,11462.40625,7603.994177417031,7076.701598252019,6159.387818670068,4807.729526671465
Czechia,-4053.984863281,-5436.545410156,-7003.050292969,-6920.25488281299,-5365.490234375,-6305.385253906,-5775.430175781,-8591.908715125588,-10104.176691167466,-11886.519318430172,-13956.96865698991
Denmark,855.166503906199,849.685913085901,-2791.5430908203,-3040.4495849609,-2934.1188964844,-1787.8670654297,-1927.6451416016,-4833.178867432824,-6938.098153124038,-9483.146236278782,-12507.331315711295
"Egypt, Arab Rep.",-10875.53125,-15628.33203125,-12191.984375,3497.91015625,12518.751953125,19652.09375,17962.6484375,49964.88349630763,70284.93505285242,94475.50009061542,122857.69100655333
Estonia,499.521789550799,-2013.0095214844,-3235.9926757813,-3744.3770751953,-3347.1706542969,-6578.8301391602,-6522.4135131836,-14401.035049753256,-19771.39184096835,-26244.366616924068,-33917.34574792802
Finland,-2369.96484375,-2019.1044921875,-6284.2680664063,-6098.4602050781,-5575.638671875,-5125.2976074219,-4043.9587402344,-7856.4981494938165,-9678.988081157122,-11841.897692949831,-14372.133083391753
France,-11280.880859375,4834.779296875,9504.890625,3588.52734375,3266.501953125,5498.5390625,996.68359375,24121.720720598474,36912.00309966583,52329.51237644774,70605.54885501879
Germany,-14986.52734375,-21296.328125,-15410.49609375,-16654.4921875,-16009.28125,-11502.9140625,-16702.1953125,-549.6763569809809,8009.217740355332,18967.425702308392,32583.33550031673
Greece,2620.34716796871,3026.3181152344,1628.00830078121,2670.26171875,2763.57373046871,3753.498046875,5259.33984375,5063.4724727103585,5957.281675089009,7028.703543506808,8291.545189967528
India,-166579.09375,-185113.890625,-165148.390625,-176528.203125,-176513.421875,-254017.203125,-333368.109375,-293852.2092149305,-313998.29115098156,-334025.9950208956,-353732.1894066125
Indonesia,-4542.087890625,51457.34765625,46336.25390625,5160.708984375,4190.6640625,-4637.78515625,-32215.6484375,-14808.778865835005,-23090.536894382338,-33844.65555505214,-47327.32081874523
Ireland,-34.5217285156032,428.101074218699,1747.9840087891,1377.5445556641,1626.6535644531,937.701904296897,883.435302734397,2407.7307278149033,3475.99560338021,4800.137496202226,6405.490140210022
Israel,7930.1825368438,4839.3538813348,8969.4813808272,,,,,nan,nan,nan,nan
Italy,-2764.693359375,-117.248046875,-2696.89453125,674.701171875,292.171875,-2083.400390625,-9429.5546875,-5082.030738248875,-7534.976628419921,-10707.849123588978,-14663.799134626686
Japan,-39415.8359375,-17273.28125,-14876.875,-27852.0,-23857.65625,-29849.8125,-21412.03125,-44422.53395849531,-57859.34641802772,-76132.22541655402,-99793.0507181068
Kazakhstan,-20146.3984375,-21864.577148438,-5239.24609375,-5236.521484375,-34616.30859375,-20260.184570313,-7609.5390625,-23814.448779291757,-26757.30311443658,-30615.028872409726,-35490.997859631905
"Korea, Rep.",17514.57421875,24205.2109375,31850.00390625,35577.49609375,29371.30859375,48127.54296875,56606.16796875,52006.610339481784,50791.82770304276,47020.43103997492,40352.07662149644
Lebanon,1263.6544799805,1418.7442016602,3709.6813354492,3771.8968505859,4340.3419189453,7475.9409790039,8086.7121582031,13493.723220885631,17515.577070815478,22297.72229049149,27904.01214484518
Malaysia,-1219.896484375,-4561.47998046901,-5819.30029296901,-5293.80078125,-5057.9921875,-9767.140625,-29431.547851563,-25854.057116612337,-37846.69452566811,-52881.85792494053,-71267.46004204091
Mexico,36071.314453125,40323.513671875,18410.994140625,17505.509765625,22687.255859375,40170.720703125,57197.25390625,40981.64525361861,41270.804776989346,41502.91811356081,41693.335523332906
Mongolia,1320.4998168945,2273.3880004883,3184.5016174316,3291.3136901855,3389.6274719238,1710.7321472168,-224.260620117198,2763.142873945228,3591.9403590918773,4659.190965515518,5992.4776600140685
Netherlands,-2853.65527343799,-2912.71484375,-3313.12597656299,-2419.8125,-2321.47216796901,28.359375,-2379.28271484401,-208.55962070587603,-889.5766519777507,-2033.728359381591,-3707.140963899906
New Zealand,-1316.7814941406,-1253.7622070313,0.263183593699068,5.7666015625,-88.0834960938009,497.3017578125,-646.2021484375,2998.131770577202,4816.158716608293,7074.879171154993,9821.047345023238
Norway,-1934.5373535156,-2381.9545898438,-1925.5859375,-2740.1999511719,-2682.9487304688,-2791.2751464844,-3686.0119628906,-5903.620087628211,-8315.152988832593,-11384.091711973135,-15175.851848116583
Pakistan,-8719.962890625,-7186.90234375,-3939.6796875,-4301.826171875,3535.16015625,6549.83984375,10236.18359375,22714.849286125685,33754.26954172267,47032.10380280003,62748.75145793146
Philippines,190.957519531206,702.9951171875,4568.796875,5153.80078125,5533.469238281,5718.791015625,4267.337890625,8749.749926892635,10410.60806225178,12158.38925841923,13985.562004995243
Poland,-1446.78125,1814.2109375,5887.4609375,5994.8671875,6015.693359375,9152.232421875,12110.33203125,25292.62646305962,37157.12561816419,51965.74868305655,70029.47875103788
Portugal,915.955566406199,937.316162109397,1947.7883300781,1985.3662109375,2094.3864746094,1435.6823730469,1697.1557617187,1552.980658626112,1602.1956842361403,1648.347364463085,1693.8885383260467
Russian Federation,-120432.703125,-121891.40625,-116711.203125,-136985.09375,-78409.21875,-113397.515625,-102409.296875,-152073.53674135372,-184979.84595686896,-228490.74796778915,-283775.58133922017
