Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,280192.73742675706,294766.799194335,302854.816345215,319995.322875977,302760.87420654297,313500.774719238,311771.72967529204,319920.42759251915,322023.1882402819,319769.9054259148,320499.12317550066
Australia,483774.869445801,523064.94970703206,532066.314697266,486377.493225098,489823.45031738305,485281.831298828,489381.28240966797,476759.8528743974,452668.57959141827,410249.1818715133,385034.4351423698
Austria,75437.62081146245,72462.74427795406,67081.1753959656,67885.92882537842,63970.80984115596,63766.14412307739,63245.88696670534,62652.67736629726,57262.395086282115,56099.91069214919,53933.888701150325
Belarus,69385.8763122558,67357.9587402343,69563.893157959,70023.1521453857,69569.8303375244,67630.86642456049,64924.329910278306,73599.2198458396,79991.8363975605,82831.77582194633,92390.04676605618
Belgium,117371.63575744616,105905.10322570796,108960.30369567867,110475.52138519284,103224.57454681392,109286.52335357669,106137.18804168694,108379.01316262141,110250.02689591947,110386.3003474237,109650.35078046266
Brazil,811589.796386719,833202.354980469,891423.048095703,925605.309570313,956144.2575683601,920573.499267579,876565.077392579,899311.7614984572,876147.2885153858,888877.9583184558,915569.4456553967
Canada,485365.61669921875,514699.68298339867,506544.6256713865,520169.20507812477,531607.4226684568,545074.6675415037,544691.4124755862,591061.506092657,627005.8203076441,652389.217617743,706054.6723045971
Chile,80706.9089126587,87866.4728240967,94115.0687484741,97899.3817672729,90084.74455261239,101112.1299743652,106051.4713439941,115062.92659139438,120701.64723686827,132397.50799128012,145020.97612426404
China,9309461.95117188,10153087.79492188,10487797.16113281,10938702.33203125,10805772.91699219,10691327.59472656,10683208.66503906,10833531.066560954,11229435.02396462,11407299.609656367,12359755.76450622
Colombia,140228.5496520996,142969.6082763671,144442.60308837894,155045.8635253907,158018.63244628912,158575.6027832031,164822.40502929688,154613.98990495605,160836.70068272462,165139.385072088,166488.96186038447
Czechia,122836.0148315432,118323.4532165527,113496.9492874141,107839.7463378902,105704.5121307373,106404.61436462418,109254.57344818179,106568.09288704762,104045.82468212362,97683.48117748043,89386.11487913407
Denmark,58615.16562652586,53239.68392944333,44528.458549499504,45829.549880981525,41625.880607604944,40662.13350677493,42122.354171752864,36956.82212438842,34721.9027242563,28556.854736469064,22355.75743147821
"Egypt, Arab Rep.",253154.4653930667,256121.67254638678,271198.01776123047,284267.90740966843,299438.7476806646,312712.0934448243,318432.6432495117,363244.88013937394,390004.9417667192,420235.4924612214,458744.4732142789
Estonia,20949.52175140383,17536.99057388299,15024.00673294059,16935.62266731262,15932.829936981158,10281.169770240711,10707.586281776461,3568.9640490245547,-3191.3921318390385,-14824.366297443159,-24730.308077050817
Finland,66650.03376388551,59360.894458770796,49375.73157119745,50231.53857421879,46624.361213684075,43634.70220184322,47466.04200363161,40893.502403637314,40501.01374989758,34358.10125800847,28504.03631511624
