Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,30213817111.0998,37104716624.8996,31567304377.5225,33413631489.5722,35330279234.9601,30669352553.9863,34926920030.8981,33672221280.3468,23815684360.2064,23814079619.2565,23627705246.161
Australia,25318418039.2848,32046731736.1727,35076304392.6583,36030573509.7979,32592490590.2873,32090024128.4633,29011500946.2804,35858662040.8779,35108906286.3344,29462165641.5391,26698619117.8442
Austria,4971410985.66668,6051859531.32297,5520993880.78125,5397697491.43923,5314295407.42743,4315472578.34375,4395047361.78211,5051098257.10589,5144143368.34509,4678966855.92156,4724454343.48639
Belarus,5087948976.1665,4941708542.71357,5340890008.39631,5142792792.79279,5755770735.52426,3547218385.03077,3290611178.12626,4140506132.58811,3956124852.76796,4376422220.09752,4343334972.94638
Belgium,3683371186.66667,3391359778.21012,3876078944.17969,3554309496.54903,3414911266.07842,3173539721.05469,2991737733.38522,3343856282.35295,3276322096.54902,3590378647.84313,3942975187.70429
Brazil,90911778080.9459,113596365375.418,102757155240.387,111446593386.207,106236719039.524,77840331810.3941,87834044625.2112,94933571442.0004,84736712463.7364,78771453948.5359,85367206703.9106
Canada,24150754718.8512,31664131072.9025,33118038446.1077,34978830269.318,28649089979.3945,29104161348.0672,28454713729.5458,31171032151.0368,29328725610.2532,28503380163.00145,27866293784.0009
Chile,7551544459.44511,9109873648.20946,8749832259.6382,9629567049.36725,10237739217.7208,8995181098.0962,10468276042.6098,11831104361.3082,11601749878.2915,11098724484.3842,10322170228.7607
China,567638801957.077,693050537755.939,777603027769.593,855871281411.601,905464751940.294,927734103002.81,905097390133.193,918795407202.462,978614814147.521,1020114506878.58,1130751507071.64
Colombia,18124697323.3737,20403763142.9318,20707376395.634,20606433195.8066,20759013598.3476,17551455569.5439,18684586308.5761,19928321050.7978,20806210846.7681,20713650573.7703,19977514284.0091
Czechia,3220923383.03248,4551106422.85649,4701774996.80756,5005880424.27624,5052776105.02228,4157812896.9968,4096290562.91108,4498524148.35518,4821279418.92705,4699538859.03041,4822610700.014
Denmark,3870088859.05682,4513782094.94432,5413423638.90729,4473907148.32411,4880004929.50218,2898337401.06102,3009548116.21708,4333516836.06772,3663222560.45653,4387674973.54051,4835740137.6035
"Egypt, Arab Rep.",29214083484.5735,32729655765.9208,31464166666.6667,32519069767.4419,34647503586.8006,37528234501.3477,39126122699.3865,27074687500.0,28030284755.2054,33487331782.4601,42250999026.8247
Estonia,619103536.508768,854244330.671208,763191451.65586,775602341.249414,842774327.552938,654228714.008593,508805726.266927,642471149.001178,639873039.183529,738756901.662744,643196899.459924
Finland,6033336550.00001,6397426342.41246,5978121690.23438,6424106955.68629,6592020891.76468,5285719410.9375,5563295045.1362,5920659045.88236,6580278528.62745,6308238862.74509,6666998687.93776
France,42429561916.6667,47283327986.3814,43792021880.8594,41014941287.0589,44448979241.5685,39164695526.1719,35539338243.969,40027993125.8824,46019435338.0392,41545938007.8431,41424026283.2686
Germany,27323020500.0001,34119607159.5331,29907310703.9063,35196456157.255,35178700768.6273,22989107093.75,24234536752.5292,31436767778.8236,27387516036.8627,30165360141.1764,29267633095.7199
Greece,8879082826.60002,8811790824.01753,8328394601.21602,8081298113.95061,8439133841.25409,7562587427.71445,6789814535.96266,7706777619.73884,7708863610.69411,7817234528.23528,8007366963.98601
India,285298796155.585,313418261521.447,307872488773.018,318398573403.48,342408945451.364,340244981475.06,375516164816.913,439039677566.795,433323710255.152,473696167678.463,486290904472.887
Indonesia,105178671736.143,120660549348.229,122755685289.028,121883103723.842,118805781402.308,116151993490.32,125605406684.182,133621208764.874,133499323604.594,142266719595.99,145066491494.238
Ireland,2118255278.61667,2893075988.50195,2223556773.85195,2581035378.81491,3221830947.58862,2608555785.9164,2826305528.65565,3962418858.9353,3438452979.29098,3613859625.68627,3965550693.79768
Israel,4383367634.17782,4952757288.33873,3923441056.39203,4523655280.16968,4363455913.69299,4303909780.88418,4666093458.43061,5129982508.42429,5219321436.29802,5387281154.75334,5440464258.21197
