Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,46790907589.9236,58598721409.4167,65678460281.7782,68528734595.0321,67704098526.2361,74255544529.9215,70744782168.6938,71523580540.4371,61019547441.513,55101277807.9519,46788811567.653
Australia,184203024450.0,221364258220.0,252775091200.0,265169274900.0,259862494437.0,246355227360.0,213635206620.0,233523233937.0,247441106627.0,245471238348.0,231241934014.0
Austria,68618001188.8,74646720801.8,72016813333.8,77115064628.0,79534536291.6,68356593484.0,70597611730.8,74607852716.8,81795275061.5,81390230241.0,86369057891.2
Belarus,7580796521.2797,8303178002.97257,8905514941.32479,10393273412.1716,10604873611.6632,7591160496.80604,6386431004.77827,7486579533.93536,8342638459.3345,9120302747.12141,9217406901.36385
Belgium,92734268400.8,101425201563.1,97032278921.6,101841418774.8,103185255581.0,87641227489.2,89266165578.8,93715669300.4,101527546523.4,100124047213.0,105694817763.6
Brazil,241913760950.064,282866330404.096,261838628636.17,259659262038.505,257154327284.215,187275238939.17,185258988710.571,210769606648.319,195808153284.951,191185544630.421,159254464680.676
Canada,261659411910.0,282575872461.0,294558529716.0,300489683970.0,293251324041.0,268294252356.0,266706381339.0,273861918000.0,284689059744.0,288641812608.0,290345972608.0
Chile,28472559473.791,32783684582.5589,34805519076.1915,36043438160.2163,32925492275.4,30900875603.2,38031922758.8285,42016256091.7635,47595111057.919,45656222480.6531,42372592381.4949
China,1126306400657.88,1514454342651.48,1796175611355.65,2122568302790.29,2393915292362.18,2587719804459.14,2603507524161.83,2835392168026.05,3330249981440.0,3484022656400.0,3816892893942.96
Colombia,33746559778.1774,37632539081.7354,43423233244.8929,44624772968.4228,44038996201.2672,34819952389.5452,34247649236.5845,37197013994.8707,38192590962.2183,37198663328.31,30681548009.2273
Czechia,43748113014.1,48293951506.0,44433926930.8,45508595008.0,44369732288.2,38907129314.0,40380256061.6,43812786709.2,49419940792.2,50198864738.4,52694997733.0
Denmark,57020701431.4,60371290500.0,57370916981.1,59512155660.0,59546194041.3,50355861576.9,51829230047.2,54270954293.6,58913209821.9,57757498717.2,60315461908.8
"Egypt, Arab Rep.",13962139329.0459,13944823934.4167,13720756349.1779,14646747443.9057,15909000253.5283,16713322776.2638,20302791945.8923,14691452356.7842,14303755104.9632,18270974322.3565,21905839192.6673
Estonia,3343377188.81751,3672177320.9893,3657103154.301,4140426100.59942,4269561852.27872,3811862573.73764,3890556820.46398,4209951311.93715,4701916926.46165,4886282251.93243,4747164461.44007
