Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413651174.26325
Austria,191676218.291111,207536140.209971,171555586.82743,174501112.678012,178656221.2339,153991791.594263,137795648.874219,137129203.371167,202785268.38524,147611425.497943,117782149.665049
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,92845837.8705503,91764387.7653618,75817491.9889832,75558963.0666571,70479829.0020961,51752720.3872813,51341424.1320866,47945956.8929103,58185366.8780761,44982563.5547267,47172253.0162093
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,61716488.3943092,37797716.5299898,30228498.0124416,37094520.4441108,40213000.3322304,50175456.5309385,77183591.1900717,140566932.438786,276826674.723406,436814110.083672,516525955.774691
Denmark,18500533.0570259,15148925.5947681,21120537.4464113,31614434.5583107,38843195.6636276,34321328.5162476,26472876.8470726,24362611.6443926,29429131.8863693,22379685.2419345,22192465.6842201
"Egypt, Arab Rep.",485817358.446183,553802137.046861,601369915.061617,527451225.375162,838960565.931777,758301489.952558,585978734.942432,730547386.620713,383272876.502756,514145103.437404,460838324.787902
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706884815.334796
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,20747252.8234044,22489674.1608023,26028743.5728628,30164292.3935183,30191477.8921723,24159906.1700255,24082752.531689,28137206.8670033,27667344.0737058,19587023.6836306,19037794.2752999
India,6309659253.99026,6407491018.83479,5621111615.77464,5127331341.83795,5404253348.739,6205681999.51733,6837083487.00414,5483069718.01953,4024016715.33871,4396891676.34962,5044395939.54911
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103165326.005018,211284380.215234
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Korea, Rep.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,7486888364.33631,6745163223.13295,7188990567.03573,6770581451.74046,8468803791.82306,5340346360.32619,4857634183.75644,6431491890.68828,7100485061.25559,6524385461.38244,6243980424.58812
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115542068.594736,258849765.375555,458511212.261485
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,243295946.205671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253096280.002257
Russian Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,6575453.14280412,7735052.39970119,8591635.00968391,7663090.19184569,12677158.9637243,11779920.5566371,9338967.75157536,11790167.9275684,6076591.58111964,8393760.98237206,7777240.30185086
Singapore,1086854.72988376,1436178.02471546,1160039.37791584,1032316.88063794,1544271.69594673,1178847.25280465,1351000.36763884,1554283.23739854,707814.219297685,603814.179904597,754364.182090805
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,1499622.48156721,2201369.37369179,8300670.30170753,17482072.8096891,12925343.4956606,11070634.8170299,10395034.7225651,21816521.477743,8214049.94086883,11881635.6991424
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
