Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,1336303316.50544,1707954298.13315,1466621714.3831,803819723.257165,766497390.355452,296485628.633901,509926307.315252,443752700.51412,639638962.680191,546477552.577644,646831108.563479
Australia,18486149794.1986,25344264022.0037,17387768816.8006,17030113854.1861,14983677561.0633,9056776061.03606,12749009846.2164,13032709704.5587,16861347607.8759,14555298828.1384,23099237069.1309
Austria,18365339.6265942,26963173.3004012,22369022.5039774,25687730.7457652,14485287.5495306,6208485.99495831,8259695.49030838,11415234.7283463,0.0,0.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,11884683208.4966,16579108603.4285,10745352971.4387,11079257759.57,8460725570.43937,4508443236.91678,5801657173.37731,6397443270.10222,6434129090.18358,5754480477.6465,5181368115.01345
Canada,4522119039.22543,6723381412.16299,4527355854.7651,3288144123.82514,3286027968.94054,1851564271.9197,1804511638.92279,1818970505.82279,1656295533.67257,2076663704.58195,2479739489.94529
Chile,13072128319.9198,14889680655.5054,11806216448.0426,10060131767.444,8401486300.88459,4209928666.79474,3452226203.99853,6786415111.67606,8792153717.18282,6278996314.92188,1694529928.75762
China,85936608809.8186,130194187918.969,41396805913.3269,34965037969.298,25106825047.2161,16961960400.3328,15721875202.3208,17326500459.1158,20496001652.7771,10336644486.2006,34737340194.8943
Colombia,1649579987.63997,1992832637.86668,1927363250.05863,991974951.103682,725424997.110736,377275040.825669,600801668.395222,504939712.885193,393478767.196692,501670775.962804,681147294.063331
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,2341142.89033135,7075036.69459269,1570437.38611063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",182356758.138895,580037515.968819,912566324.502545,313197432.237772,183914729.534093,130855660.57398,254440194.707743,280242790.093976,15595551.501362,0.0,0.0
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,191544326.49226,277069464.355865,344096010.569344,187339347.811584,130818080.12299,59664204.0649398,57296333.8914012,162474795.346994,166952306.772135,114027419.930031,128958631.66861
France,24241961.3725318,2583086.31153034,1916898.0897004,1078719.86474023,796421.942107493,24879.5025488653,27501.7089050666,47209.7160214233,93608.9302695021,0.0,0.0
Germany,3463268.31848306,5967169.86093507,4699374.47562549,4566953.42143823,2710419.00803691,0.0,0.0,0.0,0.0,1133445565.07558,1184567183.52845
Greece,44009404.96211,74840494.9637456,65998000.9167644,61749572.0524735,48246717.5751178,16678222.4661016,38990538.1215209,40721574.1636681,47471134.3626942,28210415.2987826,26595315.6804897
India,14495523115.0369,13473319632.7646,5764314860.66325,7252296742.63518,4890167605.32765,3050147527.31834,4269349275.26658,5511195168.92398,7532668129.21786,7849249432.08488,11589510633.7518
Indonesia,6986667216.40837,8308001306.42864,3104614330.35386,3674437018.80533,1338667141.16645,1084026205.63439,1640256600.17856,2004640537.80759,3021102799.57016,3736593340.80522,2971107828.78702
Ireland,143878014.452818,134538246.836476,49583896.4894267,9357575.03795795,20058757.2427249,1303175.23171086,28549166.1833598,129085492.094184,110004912.185026,43758363.7407324,30934270.6593361
Israel,84179723.6895595,157271013.20327,265007380.886594,150867443.254169,102182039.52975,135199396.593027,154332554.262217,71874212.1964901,106632018.629848,0.0,0.0
Italy,7486086.42649714,10889870.0748102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,118448550.758872,166924773.007562,127891356.588872,80613755.4121316,63541617.7719832,58655554.9265293,56367088.1489921,58626837.2848061,73406239.6920179,1468057882.66864,1216341689.23889
Kazakhstan,2755851029.8412,3617903585.53751,4012410880.03269,3990113141.77024,3226040438.2786,1412614139.94362,2346466946.45379,2833437343.43576,3730195457.24064,3198733795.05357,4512581905.69987
"Korea, Rep.",10011237.3707393,14364964.8996613,54312421.5595159,15939157.5982436,9654669.85119573,5013311.16621609,7590298.67197047,7007611.34171921,4183399.13585994,617859293.116132,480887522.212327
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,91904110.756777,200875772.660868,232501345.109869,208873499.450619,123509367.184605,410150006.514917,45787717.5315365,51340808.438568,18235782.8237067,0.0,0.0
Mexico,2992676380.27951,6543825232.1382,6323679952.86338,4771596578.86353,3278191828.8998,2725396385.96645,3648716793.50301,3676075491.72552,3076540644.61027,2239158526.44963,2469999494.70849
Mongolia,425668198.140993,561476177.456035,480146500.673694,482392217.326883,354724918.524862,316808843.561382,194843121.012276,335792797.677618,602792398.621242,396963002.824964,355759749.50577
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,211666064.174832,210926164.767475,117542136.080794,148787131.317564,100408429.907492,130077870.480334,69196247.4832803,67144193.2057115,83062253.9614898,72631693.5265906,76271994.2517857
Norway,29507899.5042189,42127156.5293709,35789484.5237765,37753720.6610264,23236500.3343329,7891371.72946487,0.0,0.0,0.0,0.0,0.0
Pakistan,54315629.4276038,71564558.1380404,51675688.3354853,30117180.0323754,22240499.2736692,13973169.8407135,20289873.6509825,47736830.9408976,66802028.3718451,65063144.1448473,64159406.2390124
Philippines,2018199173.0665,3506005417.25834,1466649742.71526,974096554.940292,1957035494.34419,689170195.61901,410468305.621374,877834045.489822,1350661833.96649,997104992.737093,1132751068.51576
Poland,4470587026.73348,6780557385.65212,1119850395.46115,817896620.481886,698400449.819939,469372030.834965,436646524.546252,715974345.987534,893343765.256274,512622382.361715,528808604.383076
Portugal,99471734.6841266,69535497.7259276,75995390.0160652,22077848.0342536,9851534.47521421,897709.955395859,1504.04327156356,50469719.1884392,122391974.224882,148371295.55022,152251305.384311
Russian Federation,5612288135.77125,7862945265.45316,7378278596.1997,5301792832.62893,4815449786.62751,4470402825.55332,4770987964.31197,5230827039.40603,5751027666.8726,5956472441.16281,7165328552.58072
Saudi Arabia,100972917.131521,137026569.600211,295736340.421739,211263927.115309,110588687.099002,101298228.406193,37665681.658902,179913667.789373,221764746.466108,221628299.228978,274177930.072052
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,5805069584.59577,6778322070.6613,5054579231.17622,5271786080.17542,3413959254.96564,816644894.340794,1532624991.78615,1329800475.97222,1128629375.43733,2601048823.06579,3438470120.9803
Spain,102915075.676661,171247874.162964,240236476.44819,161037521.944482,146562444.994006,86633141.1704796,82752742.0886325,174131043.106648,235290790.688114,130526147.189253,116780741.918377
Sweden,1809063138.86562,2590235304.02301,702376445.915431,478164896.236995,358371856.26054,319234055.192496,391910726.353582,710971080.143648,809479709.138871,552212666.152401,624459215.984098
Switzerland,333275.218620253,890957.43904561,673966.313059696,615459.754064184,469252.287224036,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,78878467.6850666,84316035.0286135,111884169.788129,68682057.1126886,56315710.6390084,33643774.8078166,46124949.8172234,105108.407567042,10314.1742480155,0.0,0.0
Turkiye,1894963562.34476,2426182776.19517,1430476169.19858,1217048963.35824,839988046.321486,496559154.855651,432320162.497974,362474886.54186,469370272.619537,613452328.34979,687475100.014417
Ukraine,1329342919.13269,1506798901.82853,752401257.691306,854865248.761771,407057566.333754,4783763.83652436,148062532.066664,68609449.2891901,129764225.304457,8482047.27487796,57552562.256947
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,2975311.79529849,4869988.57608502,2444304.31524283,680515.970865454,0.0,0.0,1677.8683043874,13167.031979401,47667.7100279333,857359.872516,1209280.61383295
United States,19329358161.747,28468340249.8541,19889129805.8577,15782781015.1259,12808442298.9971,4357875057.3376,4827501998.22505,5304838494.87184,4591722604.77168,2889120545.33177,2913780396.03896
