Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,9402862890.85549,13525336203.5679,12820128381.6016,11720371048.5133,9952247428.60552,4464501309.31094,3076378687.10376,4746838453.96732,7691396855.21899,7029116462.77386,4309142185.65181
Australia,11442863875.0948,15261341629.7456,16266744075.0131,12702250043.5075,12723978490.403,10311553402.3585,8834060589.66181,10465690866.7944,17411497743.0292,16444018058.5569,11887700823.8632
Austria,350071748.619087,551344153.810239,551955242.695132,461601509.203007,389344710.225352,188405655.945077,126112254.659067,192615297.672967,266205594.267883,208914263.893622,109030649.39571
Belarus,396038347.312704,597476913.034998,567817985.94324,512968321.54108,455649474.396121,196195359.153732,154207888.153505,237524936.662033,389876779.940207,353464881.539768,241955372.527122
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138706.349246264
Brazil,24965420613.67,39558286208.8133,36727158021.0709,34680819767.9641,34180321857.3744,14849256051.8715,11186892088.8064,20704254167.0766,31557724155.2246,30800324693.7834,22476249790.1556
Canada,4629531184.08008,7179336600.10493,4733002132.87368,5504188864.07198,5046437635.88652,469080489.199826,1838437455.02342,3750427890.20212,8752482550.63549,7858086637.46833,4910841075.66607
Chile,48395258.5973906,69585567.5729693,80606059.7675847,80480028.7400727,64742795.6329308,29800999.9942198,17081969.3751236,19443129.2949576,30402690.5378632,27449809.6367511,47334944.6701847
China,150822824928.403,235868217075.247,172512038429.77,143322338036.891,124325370768.014,61075230221.2918,51559909196.0349,71996699980.6109,99136719943.6146,82994086094.94,63122874307.5009
Colombia,13037526558.3308,23289581768.7128,22444667260.2451,22352471531.9973,19344921324.2109,8114349397.71631,5596549569.89919,8847510749.41188,13353264310.6888,11966597913.3301,7233762459.60872
Czechia,533597490.742175,677141784.14546,346585549.533123,191015147.517211,153181622.122223,92337931.1774647,86379311.4549733,114882889.468439,137240785.215421,92825337.1629829,74939669.4094899
Denmark,3899429379.85291,5238509862.12237,4651267655.13987,3631390600.38654,2981122252.70138,1374271359.42994,952048188.545964,1444670138.73245,1870542144.35163,1361095358.069,543587602.02046
"Egypt, Arab Rep.",13484017523.2244,19036658865.9237,19499819443.0244,18653351084.5802,16383037468.0005,8569484280.03109,6134636343.5683,7916077407.2985,12215035096.8915,10819904242.2481,6856446507.9262
Estonia,167475012.255506,308073729.014412,212937227.345061,161923571.469569,122035339.068224,51381413.3944281,39385206.3979781,56378220.1969898,85268957.9382307,70523144.7546251,43763084.197231
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,269483312.218767,389936864.037367,344007899.29339,277414006.225594,208125227.000698,99236655.9607102,79077664.3156046,112595043.281713,190904212.229015,160954544.992458,90794450.7045576
Germany,2613841365.93762,3624448401.94133,2748542755.77257,2125249710.49639,1622028537.99233,930123074.295141,640979184.811892,905980387.913036,1194101778.91337,857102796.780708,524508171.268494
Greece,240646251.975356,296868642.195652,151895498.576385,70845912.4801801,55293484.1741373,27943711.9609132,34490869.6362262,49625346.4638878,85483748.6369902,55463194.0669577,26093202.8467118
India,16063893511.8786,26581256637.0763,23927923740.9614,20573246738.4753,18080465836.8882,8972511823.2338,7845452400.89968,11511128907.0272,15678176507.2726,12372473607.4367,8524577381.67998
Indonesia,23840354757.6045,36975682263.1211,30375913617.3536,25579448615.1643,22491649224.4325,12624747921.8706,10733831828.8591,14549900075.9365,21935561828.0696,18968601529.8465,13860166584.3965
Ireland,14773801.7478365,17118539.3673646,15560983.1862866,13006943.5480336,6442262.40609172,3338014.25338828,128158879.343364,227915815.226278,327697825.064987,186580499.806007,0.0
Israel,73902347.9957489,201245791.481488,82668634.6604965,362046740.609938,432903578.206904,301453089.252317,203499094.527218,152415445.536001,258834340.477162,164937752.085427,236508172.683875
Italy,1886643600.78056,2991148300.5475,2995434317.41293,2715956517.21138,2291473554.78628,1074194134.04271,552612343.107873,895325368.014083,1588745590.93203,1195919879.89889,964876793.873131
Japan,282103219.823631,383155900.103723,378153771.067934,313653142.859821,324229290.469602,320964762.129035,214001495.419592,257807653.37558,343326107.635258,246624642.587115,169256319.115647
Kazakhstan,11925872435.9936,18151139483.9749,17158849021.9357,16599022164.3763,14509151476.8254,6255890144.70009,4777024661.46357,8623625054.86702,14668341542.3431,13161341779.6142,8131147467.53508
"Korea, Rep.",72698408.8080611,86807009.8281726,65642702.6164366,61561487.0799521,43661739.8588685,20013003.7305835,12458802.7610363,33526373.5556418,45152470.4806427,26930029.4945453,36435042.1095779
Lebanon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
