"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","37907244.8626407","46178368.5945985","57264613.1066508","67403436.2536019","74103148.9009074","84521885.673549","93340475.2216813","105366509.843411","120116836.679332","142497287.05036","150784881.173614","172637030.417943","184887046.302919","174849562.379702","191455922.681094","197716712.621359","201260218.138797","210829167.43292","234695339.370299","238963118.459734","254932411.185683","275429097.764057","285614572.173354","250758236.66503","243034013.540687","267832106.000075","257232003.891832","282540814.339773","288295814.131214","315836046.550738","318987103.21957","331464548.294974","343094872.111275","","","",
"Africa Eastern and Southern","AFE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","120324570.273472","125706640.394379","107808199.638675","117111905.126559","146827855.37812","169736694.91742","183353501.513744","212978595.808171","238497900.980999","268047975.334866","280677851.504972","265250021.85613","","","","","","","","","","","","","","","","","","","","","371418219.059735","420775300.846788","504343169.51283","542876399.021581","597248376.864271","827614502.56174","881468005.772435","1050478668.83681","1344668402.89308","1447642260.70426","1636048198.6204","1655666181.85094","1601588636.60445","1464448391.57928","1294525841.15075","1293562215.98918","1353065929.66919","1383710813.63143","1712217272.06508","",
"Africa Western and Central","AFW","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","407578288.98661","382936945.434737","377851152.185932","389191587.971093","403538972.735501","579304255.575292","560706842.519299","575785771.075707","612807666.878299","653769180.915612","693700418.43745","","","","193538368.814731","348160642.140381","462147514.795429","495959022.261704","464134098.745144","376734669.309197","531462734.352813","547058682.083662","1000443851.77079","1179884492.5143","1571627660.26296","2384002450.13451","3536062967.34727","4625678482.63519","6211397483.65194","5684022534.23369","6620835488.44215","8723051988.33569","10313716172.5161","11384677514.4254","12334685262.619","10202636178.9337","8912202587.84674","10483134358.7558","7972346916.89166","7814939408.18626","5344650285.00721","",
"Albania","ALB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","263787947.7285","276286855.467706","300726691.171317","302004374.022733","311511991.722791","324031201.527169","306824579.878529","189140039.727173","119840918.410003","180437320.003988","248694511.602502","292700965.441952","359363396.296593","275207502.366011","279011371.909935","334739101.925664","365218552.924941","412915638.551367","462500509.197218","592200678.667083","775284120.788768","858083078.213606","924477598.256207","1322482152.18023","1593709291.5704","1542395021.20885","1535832596.07769","1826393518.34377","1819583341.0016","1870275186.63254","1961346960.59821","1980056581.41227","2033734449.0302","2257632652.4312","2578132053.8289","2638917728.33817","2550554897.46158","",
"Andorra","AND","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","4258785.18770688","4840294.71510683","6155929.14253292","8206918.53238359","10161443.0676643","13324066.3868982","13754508.7095399","15368900.8842293","18609155.2293549","24793224.3727728","30786508.8566153","26720598.2068256","25749299.3922735","22402547.1343518","22496443.1671847","26610773.3447238","36950838.6010186","46924223.7626556","55424737.3676169","61174759.6250357","78903704.1287202","84684105.1732474","92362257.9591752","76498155.2312769","77419356.7790446","100667134.682608","104298551.974741","102202973.499883","104759284.822712","108821204.95021","123759432.198162","135596962.097785","155958267.287172","212067901.503653","262233994.032926","274459630.986726","301077949.149546","340215077.438843","352035802.808847","311562003.559137","304985981.932414","315446874.905288","272261429.652975","270656525.757462","278342211.257378","241152124.537319","254991832.241063","264689300.136118","285072605.078258","282082120.570457","","",
"Arab World","ARB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","1018061714.94179","1505176350.9615","1915807907.42561","2288662374.73372","2783553334.68116","3581042656.69741","4233704762.13091","5670488150.33313","6890919492.29893","7234005728.54082","6954196029.81677","6237884222.57107","5565226009.50109","5989446724.5373","6210306863.278","6574014617.58342","7023349078.29962","6968527636.92425","8807232608.43573","8701029524.9043","8683737990.68201","9097958640.69731","9011428919.98474","8974337389.51135","9136287654.09443","8836755904.98954","8706149461.29163","9249940320.90553","9486601687.52795","10283135470.6798","19504246831.8363","22058399726.3777","24844018720.4985","30481248597.421","27621166446.3305","12908170210.1998","13556061224.9162","14055728696.4874","12790190104.6661","14200773332.6345","15012544459.2169","14754064316.1992","14857186925.9784","16329318049.6102","16557321080.6598","15382079634.216","",
"Argentina","ARG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","1797102604.93974","1962458659.42884","2152100193.67699","3262688858.24321","4454560668.10512","3401204163.15787","3420265076.31838","3668821039.11456","4035017901.49019","4672837792.62067","5436492808.81464","5779013022.25771","6028855798.69207","6966983026.16118","5150618613.22003","6180713508.61195","7479048422.05742","7639678097.43021","9018466180.54384","6414108550.84374","11861985015.7726","15690552486.3441","19043032320.1747","21396176144.1019","25150000688.4345","28007208764.3456","27003745551.8222","30803282454.9298","32888490432.7858","34000333261.2317","34038299854.0985","33289741354.7362","13453088677.1326","15156807795.2182","17573875169.207","19646808062.4653","22014466119.2654","26471918985.0533","34586534222.922","37886398216.3862","46790907589.9236","58598721409.4167","65678460281.7782","68528734595.0321","67704098526.2361","74255544529.9215","70744782168.6938","71523580540.4371","61019547441.513","55101277807.9519","46788811567.653","",
