"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","3260.68389724161","2713.7237060037","3047.83195303238","5230.1225268352","5585.30582188737","7746.17142857143","6283.2","10656.2048780488","10591.3861163227","11221.6412757974","12997.288372093","11733.12","26394.0444444444","8868.56016409371","5428.28936170213","3487.62857142857","3561.17142857143","3580.97142857143","3431.05714285714","3416.91428571429","11871.7714285714","14248.4210526316","13221.8254347453","10022.5737275022","11676.4988305847","15406.7785005971","11306.8336581753","15356.8073750206","14128.1577552922","12368.767126795","13173.7784255727","13673.8344827586","12759.0597044335","14148.0007227777","15276.2534785239","15228.9602761497","22814.0820248174","24024.5666413418","26058.5693976041","24180.8942226974","56446.5502043895","49669.9780404724","49997.9752696977","60997.6347391336","90295.6279673271","70749.4172824574","99770.5463935652","87421.716580402","60038.2432232753","56301.3902855428","78386.3880998968","",
"Africa Eastern and Southern","AFE","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","4985946.14396987","6308749.62951393","6349742.01725192","13314012.1879589","17247491.0682226","19237935.1028807","19764825.6869502","17797043.2955678","24776691.8618152","21141780.2961864","21618627.009871","15422907.4778965","19231597.1193885","16051020.527758","12110882.6625933","14991484.6409841","23999397.6267965","16298388.8413234","16242112.4299245","20921270.0700383","16817305.8259101","17306714.1520729","16858954.3957259","21477316.2554324","22900392.4703444","23825073.213089","21831805.2828276","24021057.7387984","22780642.3194724","28059420.6576811","24317365.5636036","24000592.8261707","37154940.7071314","27992261.61635","18430771.5486467","18256275.032261","27412476.4839536","28360912.2041023","29740691.7969004","27859959.8845904","45854747.837775","44343800.4032511","42615856.0535703","43213223.5403369","44500344.4576261","46968909.3459635","51827732.1167124","43999314.800908","44321442.2069729","51280519.2613575","62590457.69168","",
"Africa Western and Central","AFW","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","26218059.5669046","29192327.2736093","29992543.1225938","39188154.1008466","47008801.9110673","54227335.4886988","54176975.185266","66991762.9963414","72103339.9703157","81278924.6626161","90075286.6540999","71395578.3953478","78924559.1615972","60727048.2961029","57662810.6063412","51892978.2935521","73195043.9322328","73621734.6758157","76764948.8254574","82775072.1530389","111997294.847692","107458260.058866","113247724.244909","114399363.296518","126027731.810816","165368313.888399","160150629.54753","148676788.228884","155190464.892459","130297720.803576","130802056.523704","126651350.178676","151447585.52963","205793322.440051","161148746.139409","184831958.70959","206717569.26674","266210159.642109","356614890.070962","331320506.44123","319002690.944875","365214308.612244","416458775.04714","427247165.668153","462159794.579689","459213121.377227","487417634.428204","526373631.758946","426319311.90759","400865288.062989","413346500.761907","",
"Albania","ALB","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","9732705.95970669","8974162.13619238","9081506.43836698","11858241.1831985","19325387.9998385","15274928.8493175","18393168.1183006","22459424.4205947","22553972.4683416","31706314.1838776","43239695.9712365","40472506.5730337","31748640.7691731","28461375.1391946","29907538.714534","31819448.9373798","36940789.9608448","34647314.4540973","39415661.4847315","36123766.8903147","29723987.809441","39469374.6196225","42081609.0705863","5729111.95564276","4365028.09207935","4385514.8353061","4613975.72535723","4462941.4948999","3008677.37867847","2589467.91767526","4407411.41443241","2456982.59952315","2893690.02341859","3535170.70885232","3879499.85979038","3855938.53159671","4817655.86226446","7983620.52035771","8980120.67581598","9010111.18401143","7868992.22112283","27099372.402558","22486375.4559551","21100283.0756557","22389403.1929155","21790468.1980577","18624861.5712389","23876206.2327467","27270754.8966214","21268285.4290766","20022964.394233","",
"Andorra","AND","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","2456.04255319149","2258.04255319149","3255.4518127884","4993.57073170732","6730.7625","10119.3616071429","9841.8375","19078.2428571429","29267.7","28003.8","37633.8875","43004.3625","118327.733333333","90508","99330.6285714286","39062.76","128485.866666667","135153.542857143","144660.685714286","147081.838095238","147360.714285714","153128.380952381","134804.497767619","99540.3140198464","105549.865067466","159932.413793103","165548.937931034","170095.048275862","261518.4","113618.781763595","112523.080619803","126665","142239.233653846","204413.710134423","200485.554996671","196107.220909152","246172.230751178","228944.515094221","404756.991309471","396972.953525503","478407.081966308","552475.468313375","602419.526401093","527498.182801774","856703.136401257","781474.366250858","607576.533481877","752230.297552065","380205.569116798","515037.301827478","467983.309725963","",
"Argentina","ARG","Adjusted savings: net forest depletion (current US$)","NY.ADJ.DFOR.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
