"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Africa Eastern and Southern","AFE","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","116530.808956733","211819.119562529","247923.754613636","869488.582091645","3858768.53876642","10603945.0180402","16547996.5958345","21033332.1033384","16637493.8236553","38110010.2658791","39967917.7630346","29928177.047846","21156883.3930507","29934835.2717336","27570769.3837541","25690229.6954498","18282205.0960054","16803075.6348396","12494738.4865605","12660011.1164931","20281825.5349479","4682237.91411295","3929394.29087336","3135641.64164208","2426534.82597162","2148687.0837788","2278297.99943433","1814808.7628807","892182.44603894","1213446.81598106","1783580.71079586","1077619.1822436","972637.810596808","947542.354255919","1235245.72159917","1469360.02931615","1472556.39559561","3289911.55049963","7709672.0102909","4951400.37132758","10454795.638152","26389305.2205569","34487671.1328613","14945054.4573292","14099836.2968947","9728937.62076407","12912171.8474335","21520605.8763997","28262645.4530129","17897360.7279479","14903804.7435575","",
"Africa Western and Central","AFW","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","0","1840588.3089688","0","15398156.0292927","364652031.637522","325722328.225123","312062686.652354","325985322.393295","263863420.236346","760734016.137066","733738140.688734","364893204.154649","129288399.806499","358850230.466664","590526736.238672","726350668.294353","359773510.858999","1013887769.85254","1053908982.59445","1849877636.80744","2677492663.37655","1512618376.95842","1988223053.55514","1535127695.74776","1261178091.41271","1725133433.06393","2584010680.60393","2220979862.5255","799000611.527506","1687001232.15305","3372992478.9286","2184544955.35539","2562649168.86134","2535392614.07154","6313910066.74691","11921573290.8767","16423236950.7461","22763945988.2974","38612255115.7372","16448625749.4784","26268899596.2208","35197256394.1061","35852955390.508","32601616056.1531","26980605897.3513","9357213952.36975","8064209222.82479","15272261167.2641","20957521453.5095","17452633102.5468","10791979724.5683","",
"Albania","ALB","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","871420.095987853","1494585.02090271","2474656.68375691","6618976.47535389","55183226.7233096","54151061.2283953","63122702.6356327","70696199.3004638","75662664.6451205","194093988.869862","258036370.631997","197868296.020056","164506768.173167","293859335.809596","220230000.366556","224237706.766634","97681576.6340691","150682327.507267","94796486.8312156","158297421.684977","123217681.592989","31976523.3872846","14388569.9166425","14249293.2509463","12633780.6614136","12198688.2048387","15763376.467683","11632396.8307065","1575492.62584493","4376499.44697343","10499070.9611469","8727521.3839452","10265073.6786163","13348934.3915088","17922618.1400276","27994513.5662129","35970242.2131827","26818545.4900904","35366154.7687688","15956648.4146778","72306817.4672371","195678960.987812","215343708.594286","211576236.856547","250957827.607687","104174980.968264","98012660.180678","101593151.454309","150110789.118947","156891305.571153","121774361.586864","",
"Andorra","AND","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","94144763.5892592","212103044.59092","317722822.227676","681934872.902444","3185343451.90952","3030384248.23039","4182348303.01958","4659632144.31023","4063976778.82941","9247724496.88848","9449728770.48278","6346932541.30958","3604531455.69601","3154396330.17204","3095760753.7918","3206848284.4193","1933018422.09292","3449624796.51369","1112962166.37794","2186621563.61776","3757223234.69776","2895143675.28619","2746328221.31414","2363185573.44306","2217676973.09415","2505379165.83317","3271848706.40189","3076213839.71844","1982692164.34795","2566834871.76015","5143454522.23974","3717275114.85939","3393380999.4417","4964990280.9644","7273770696.32141","11227371213.6437","14456101604.0246","15214791456.7959","23775720386.4324","11764805323.5519","15958809616.9629","28147065108.3072","31236773009.2687","28994371199.7125","27357986577.7942","14642081834.7666","12138708667.0003","15422008810.1871","21708025990.9003","22448631295.8018","12527214507.4137","",
"Argentina","ARG","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","65374863.1177857","102992598.783693","120695289.579456","190511703.434557","958057725.074852","871315019.267629","951843340.740881","905370962.851852","1045684804.49349","2798102710.44357","3689921186.84813","3110981434.07814","1889039748.38081","2527290120.37044","2415331211.21015","2262523734.30177","981164582.010575","1469053619.74855","1194671471.90179","1820537526.53788","2625272567.13166","1563976021.2501","2072330206.82694","2183678652.65294","2181830113.43529","2569009762.83448","3610562100.32843","3449702671.58311","1877945827.19037","3077569106.27592","5298953539.66946","4141541558.02577","4345740115.57847","5066636786.6262","6311873763.94782","9019867230.75729","10862635360.9354","10782957124.1936","13918503763.9428","7235773931.6649","9402862890.85549","13525336203.5679","12820128381.6016","11720371048.5133","9952247428.60552","4464501309.31094","3076378687.10376","4746838453.96732","7691396855.21899","7029116462.77386","4309142185.65181","",
