"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","19.6679007572651","19.9573639208317","20.0057701091051","19.7166851036787","18.9261850746155","15.4293338317513","30.5132694075108","36.4009040830135","95.208587667227","121.030567683697","114.675152129412","191.589041749954","204.145519427776","239.228604783297","246.726780365467","219.772691755295","127.878601610184","143.941114486933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","1587419.45344631","962644.869126585","1013296.70439233","1074440.17062159","949134.973397538","1101878.99010833","984931.848519299","1119055.27755404","1176444.98468709","1529059.23828526","1293217.17897345","1138988.14180472","1279080.96627895","1289548.54267022","1032199.44308659","1043607.77354635","969010.528102765","1294200.33425357","954367.244729883","1053647.87710211","-23342.3965470593","-24323.7360551339","-29755.7156156474","-22821.2633810079","-23583.9962196389","-21069.7066289722","-24252.470340482","-26831.0999829805","-23891.5331993581","-22184.4469613763","-20582.6629631686","29919.7396550828","27150.5174729043","22082.3336554837","28499.0364940208","16324.459548341","15362.0271865069","18215.2630981952","24455.6242228478","27924.6169166813","42800.2707878595","48331.319894363","72440.6335418639","70001.9866557046","73024.711698547","68559.00421381","73149.4315073117","","","","","",
"Afghanistan","AFG","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","-679.915897026061","-584.26602397919","-365.030981445311","-295.75628417969","-67.2785904693615","-887.23239477539","-824.0528984375","-357.953454589839","-2135.11827392578","-1357.8400668335","-328.321204528811","-321.667406005859","-450.782233276368","-419.10370056152","-454.107259521478","-170.09898925781","-18.9635327148399","-119.123404541022","97.0326580810502","84.7511590576196","935.064407348629","765.938262939449","-263.076820373541","-325.708999633789","-650.316902160641","-1003.03075408936","-1066.2607460022","-1008.48352432251","-992.5396156311","-1274.8111000061","-1556.07284164429","-1452.08533096313","-1189.82818984985","-1123.43363571167","-1604.83601379395","-1272.78789520264","-1163.72897720337","-381.266067504879","613.016979217529","1144.77175140381","2581.59587478638","5607.86002731323","3299.16196060181","714.056015014648","-416.53784942627","-691.202514648438","-1800.00357818604","","","","","",
"Africa Western and Central","AFW","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","352152.39874672","318598.958309103","315458.331128987","331985.493240436","260832.401232241","289022.703154105","288489.056943363","342378.100967234","302469.91782981","332610.548165814","390008.187590365","333618.833545602","383259.661572363","364055.97419972","352539.326284196","325081.042428295","326681.569830124","349616.037947614","314391.344297615","344491.132394287","-5069.3573155254","-405.554745346368","3061.33682978146","8758.76984581352","5292.29715541001","628.32053828243","-6522.24763864283","-9544.91919916868","-5909.88762751221","-7155.31707748772","-13492.367625922","-10610.0903111101","1790.31502339243","-96.4669198095846","6671.8590920865","16313.8011240959","22860.6614878773","27861.3812155128","29389.336766839","21972.710207045","31147.8831308483","37461.9498295187","47762.8329778015","56312.0866250693","67013.9611703157","58562.639186859","60900.7571341246","","","","","",
"Angola","AGO","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","800.698262128917","1098.79563556641","410.670909838867","-331.551933588904","-536.065944091797","-159.851058989261","1990.5578288916","-1459.180233147","-2181.4706077441","-2191.4649626172","-2269.06451065431","-1652.9516369238","-1604.03787581049","-1832.5106699902","-1991.2585903003","-2078.5342715625","-2161.5599572998","-2394.9787792871","-2326.8353225586","-2380.3116705859","-4072.4268798828","-4359.6232299805","-4811.0722351074","-4329.1397247314","-3969.1409759521","-1139.9131622314","-2924.409072876","-3252.3521118164","-4091.8417053223","-3809.4920043945","-2730.1838989258","-1945.8189086914","-1079.9944458008","1883.6541748047","3070.8256835937","3464.7194213867","4681.3120117187","7244.0906982422","6583.1341552734","6826.5859375","5488.9270019531","6458.2004394531","7743.1979980469","8441.2580566406","8094.4357910156","5850.0637207031","5203.0671386719","","","","","",
"Albania","ALB","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","20.8585644531203","51.0835229492199","81.9996899414098","110.994604492191","141.922548828121","169.380986328121","207.08867675781","237.31301269531","257.402028808591","297.15855224609","327.695393066409","348.855424804689","366.338796386719","414.070344238281","449.540786132809","463.80167724609","488.861391601559","239.341425781251","559.912656249999","457.04274169922","-459.98779296875","-182.54373168945","-59.9872741699201","-77.8938140869104","-142.33749389648","-70.5606842040997","-30.7362518310501","-28.3144073486301","86.1913146972702","45.2597351074201","150.656036376949","-5.31384277343932","-6.6241302490198","59.4100036621103","79.3008270263699","98.8053741455096","151.1876373291","219.94317626953","248.67105793953","855.45292520523","809.13479995728","1014.18354034424","681.64368367195","715.21883964539","709.88638687134","403.39053225517","11.6813595294998","","","","","",
"Andorra","AND","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","31092.3566226319","30155.1473465502","31166.9264221916","30469.9779830069","32944.7803416181","34257.8916105309","32852.875561019","35291.4047667795","35341.0741343416","45465.6125621125","47867.2705502835","50657.954182058","58753.8066314888","59114.0037749993","58720.8355215066","50240.6751627149","43506.6572992033","26131.5319453736","38078.8611444922","30446.3203326441","-20949.2957902796","-28917.7580228734","-31868.1159089528","-34136.0545536913","-41057.2966758582","-47828.0533136071","-46074.2529967054","-56780.0011417318","-51846.1474443553","-52008.9374568272","-62528.8645464491","-50429.2235086662","-59034.6914644874","-69191.4782686758","-38475.2710667067","-15198.4069413373","6822.38979115435","-133.115193843387","15370.9850310565","1529.83893654744","7008.09266745413","15327.4793217818","57161.6906460933","82189.3793544162","108300.640605092","92241.3436313563","84106.4559079111","","","","","",
"United Arab Emirates","ARE","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","2393.4264312744","2401.2433776855","2413.8551895142","2438.8957801819","2475.7379676819","2401.4453933716","2405.77326049801","2315.1613586426","2302.3320892334","2330.692729187","2351.9459625244","2170.71994628909","2117.4188095093","2226.68597717291","1947.7445281982","1564.83214111331","1345.0332672119","-2870.7769195557","1156.3909423828","914.110406494097","-67.7182617188009","-1756.6409912109","-1389.535949707","-2233.3693847656","-2720.9246826172","-3226.6873779297","-8227.1768035889","-1251.8397827148","-2108.4198608398","-2275.0896606445","-7665.83453369141","3717.77203369141","-5127.87310028099","-5647.05998229999","-4262.69265747099","-1212.231903076","-3071.302215576","-3213.017410278","-1031.51379394499","-4866.13186645499","-6551.572875977","-8495.55267333999","-9491.32806396499","-6184.07598877","-8214.882995605","-12963.21484375","-16708.68762207","","","","","",
"Argentina","ARG","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","17602.0754804687","10638.4924082812","14205.925168125","10569.7608390625","11693.0343945312","14271.123984375","17906.5168359375","12852.3046875","15510.3001953125","17601.011972656","19326.467949219","16800.256503906","17864.0322460937","18212.117402344","14073.785625","14934.1808398437","16058.06328125","16165.090351562","16691.839238281","17256.471933594","-4569.85644531299","-3650.96044921898","-4835.21533203102","-2950.81689453102","-7872.69921875","-7740.10205078102","-6592.62744140599","-9600.470703125","-7081","-8791.44042968799","-8326.802734375","-5126.26171875","-4499.005859375","-3526.47753906299","-6496.55371093799","-6426.73144531299","-5605.78808593799","-2377.05078125","-8523.21875","-9063.9609375","-4037.26074218799","1716.79980468701","5004.810546875","15125.322265625","390.8671875","4650.76953125","3701.72753906201","","","","","",
"Armenia","ARM","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","-6425.551628418","-6403.5931933594","-6922.5782543945","-7428.7083007813","-7948.6602856445","-5769.0968408203","-5967.7383984375","-6082.3842456055","-6194.8803100586","-6301.6966552734","-6375.1778930664","-6201.0647583008","-6032.6329467773","-6026.8137084961","-6106.1514892578","-6113.4520629883","-6033.5736938477","-6326.4869873047","-6023.2596557617","-5963.7063476563","-731.9904785156","-743.524108886701","19.7501220702998","-18.6101989746103","-5.51081085204987","27.8984756469699","58.7200393676799","81.48194885254","89.8385391235402","112.77703094482","109.09819030762","102.80267333984","162.99008178711","179.94007873535","193.9560546875","206.92642211914","198.26110839844","237.50524902344","218.58898925781","208.49279785156","468.6383972168","477.4430847168","1254.09457397461","1329.72871398926","1320.55766296387","1148.57040405273","722.15512084961","","","","","",
"American Samoa","ASM","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","EN.ATM.GHGO.KT.CE","","","","","","","","","","","-2.22044604925031E-16","-7.7715611723761E-16","-3.33066907387547E-16","2.22044604925031E-16","-5.55111512312578E-16","7.7715611723761E-16","0","-4.44089209850063E-16","-8.88178419700125E-16","-4.44089209850063E-16","8.88178419700125E-16","2.22044604925031E-15","1.55431223447522E-15","-7.7715611723761E-16","-6.66133814775094E-16","4.44089209850063E-16","1.11022302462516E-16","1.33226762955019E-15","0","6.66133814775094E-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
