Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0
Australia,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0
Austria,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,273.55
Belarus,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Belgium,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Brazil,5661.0,5661.0,5661.0,5661.0,5661.0,5661.0,5661.0,5661.0,5661.0,5661.0,5661.0
Canada,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0
Chile,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0
China,2812.9,2812.9,2812.9,2812.9,2812.9,2812.9,2812.9,2812.9,2812.9,2812.9,2812.9
Colombia,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0
Czechia,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,12.355
Denmark,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"Egypt, Arab Rep.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Estonia,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71,12.71
Finland,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
France,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Germany,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Greece,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
India,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1446.0
Indonesia,218.7,218.7,218.7,218.7,218.7,218.7,218.7,218.7,218.7,218.7,218.7
Ireland,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
Israel,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Italy,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5
Japan,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
Kazakhstan,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35,64.35
"Korea, Rep.",64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85,64.85
Lebanon,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Malaysia,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
Mexico,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,6.859
Mongolia,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8
Netherlands,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
New Zealand,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0
Norway,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0
Pakistan,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,492.0
Philippines,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0
Poland,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6
Portugal,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,34.4
Russian Federation,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,4312.0,0.4
Saudi Arabia,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Singapore,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
South Africa,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8
Spain,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2
Sweden,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0
Switzerland,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
Thailand,224.51,224.51,224.51,224.51,224.51,224.51,224.51,224.51,224.51,224.51,224.51
Turkiye,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,227.0,12.5
Ukraine,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1
United Arab Emirates,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
United Kingdom,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0
United States,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0,2818.0
