,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,35.98,35.98,36.55,36.55,37.15,37.38,37.45,37.45,38.84,38.84,38.84
Australia,48.02,51.1,52.68,53.11,53.95,54.4,60.45,65.06,68.52,68.52,68.52
Austria,62.68,62.68,62.7,64.2,64.23,64.44,64.44,64.44,64.46,64.49,64.49
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,14.7,14.7,15.26,15.67,17.84,18.16,19.16,21.79,23.54,24.23,24.23
Brazil,48.21,48.25,48.25,48.32,49.03,49.03,49.09,49.23,50.1,50.1,50.1
Canada,33.8,33.81,33.81,33.93,33.95,33.95,34.57,38.91,38.91,38.91,38.91
Chile,40.87,40.87,40.87,42.17,43.47,44.18,44.18,44.27,45.45,45.46,45.5
China,10.2,10.65,10.65,11.03,11.03,11.03,11.19,11.19,11.85,11.85,11.85
Colombia,36.94,42.15,42.15,43.42,43.66,46.2,48.54,50.34,53.02,54.37,54.38
Czechia,97.71,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",37.99,37.99,37.99,37.99,37.99,37.99,37.99,37.99,37.99,37.99,37.99
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,96.86,96.86,96.86,96.86,96.86,96.94,96.94,96.94,96.94,96.94,96.94
France,67.73,68.85,70.62,71.45,71.6,72.83,74.29,75.28,85.48,87.6,87.6
Germany,80.46,80.46,80.47,80.48,80.84,80.84,80.87,80.87,81.49,81.49,81.49
Greece,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2,83.2
India,1.12,1.12,9.39,9.39,9.75,9.75,9.96,9.96,9.96,9.96,9.96
Indonesia,21.38,21.38,22.13,23.07,23.46,24.79,25.71,26.6,27.47,27.47,27.47
Ireland,62.97,64.73,64.73,64.73,64.73,64.73,64.73,65.51,65.51,65.51,65.51
Israel,28.03,28.04,28.04,28.04,28.04,28.04,28.04,28.17,28.88,28.94,28.94
Italy,72.58,72.58,72.59,73.02,73.35,74.11,74.34,74.89,75.32,75.48,75.48
Japan,60.11,61.3,62.08,62.84,64.3,66.13,66.84,67.23,67.67,67.75,67.75
Kazakhstan,38.11,38.76,38.78,38.78,38.78,38.78,41.48,41.48,45.31,45.31,45.31
"Korea, Rep.",20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21
Lebanon,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,3.06
Malaysia,39.79,39.82,40.52,45.96,47.81,48.26,48.26,48.26,48.26,48.26,48.26
Mexico,27.59,27.95,28.5,28.65,28.65,28.65,29.17,29.2,29.21,29.22,29.22
Mongolia,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,49.33,49.33
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,32.82,32.83,32.98,33.26,33.36,33.83,33.93,33.93,34.01,34.01,34.02
Norway,55.81,57.78,57.78,57.78,60.1,60.87,60.87,60.87,66.75,67.0,67.0
Pakistan,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23
Philippines,21.44,22.25,22.25,22.27,22.71,23.31,23.31,23.31,43.31,43.31,43.31
Poland,89.73,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42
Portugal,75.46,77.27,77.49,77.49,77.49,77.49,77.49,77.49,78.14,78.14,78.14
Russian Federation,34.48,34.5,35.02,35.36,35.46,37.46,37.46,37.46,37.82,38.65,38.65
Saudi Arabia,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,28.9,28.98,30.02,30.39,30.5,30.6,31.09,31.19,32.15,32.82,32.84
Spain,56.61,56.99,56.99,57.02,57.13,58.13,58.15,58.32,58.32,58.32,58.32
Sweden,75.84,75.84,75.84,75.84,75.84,75.84,75.84,77.02,77.02,77.03,77.03
Switzerland,32.66,32.66,32.71,32.71,32.71,32.71,32.71,33.24,34.85,34.85,34.85
Thailand,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71
Turkiye,0.71,0.71,0.71,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
Ukraine,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52,68.52
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.17,87.17,87.17,87.17
United Kingdom,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5
United States,30.3,30.54,30.55,31.29,31.6,31.64,31.84,31.89,31.93,31.94,31.94
