,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,0.85,0.85,0.85,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
Australia,0.85,0.85,0.84,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.82
Austria,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Belarus,0.96,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97
Belgium,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Brazil,0.91,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Canada,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96
Chile,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.77,0.77,0.77,0.76
China,0.77,0.77,0.76,0.76,0.76,0.75,0.75,0.75,0.74,0.74,0.74
Colombia,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74
Czechia,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
Denmark,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97
"Egypt, Arab Rep.",0.94,0.94,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.91
Estonia,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Finland,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
France,0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.85,0.85,0.84,0.84
Germany,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Greece,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83
India,0.71,0.71,0.7,0.7,0.7,0.69,0.69,0.69,0.68,0.68,0.68
Indonesia,0.8,0.8,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.76
Ireland,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.92
Israel,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
Italy,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Japan,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77
Kazakhstan,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
"Korea, Rep.",0.73,0.73,0.72,0.72,0.72,0.71,0.71,0.71,0.7,0.7,0.7
Lebanon,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
Malaysia,0.75,0.74,0.74,0.74,0.73,0.73,0.72,0.72,0.72,0.71,0.71
Mexico,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68
Mongolia,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Netherlands,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.94
New Zealand,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62
Norway,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Pakistan,0.9,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.85
Philippines,0.71,0.71,0.71,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.68
Poland,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97
Portugal,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.86
Russian Federation,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Saudi Arabia,0.93,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.9
Singapore,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.86,0.85
South Africa,0.8,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.77,0.77
Spain,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Sweden,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Switzerland,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
Thailand,0.81,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.78
Turkiye,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
Ukraine,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.94,0.94,0.94
United Arab Emirates,0.88,0.88,0.88,0.87,0.87,0.87,0.86,0.86,0.86,0.86,0.85
United Kingdom,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
United States,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.83,0.83,0.83,0.83
