"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Africa Eastern and Southern","AFE","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365454.97352047","472153.301528658","305153.646789472","388837.211625316","0","0","0","0","",
"Africa Western and Central","AFW","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","2789841.72273368","2983285.2056687","2139578.58543372","2189350.89184566","2631534.34265404","2134247.99847387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Albania","ALB","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","4979456.60388553","4076802.05133938","4106447.11053428","6611589.3441886","6877756.89141432","5333470.18819161","8144137.61986027","6867636.57880239","5550754.01397273","7922464.39999564","10085550.3848624","7231124.92147017","7434521.57637222","8809671.60554362","6399968.8026013","7291190.25781489","5105612.62548077","7862302.32015658","35419009.7396064","38602488.2296194","15705417.8748653","9094477.04515415","944165.062776175","794917.6888975","282588.014046001","475474.728848517","595473.11474918","60095.4188703891","273467.018214205","103671.309214094","0","0","0","0","383853.202683871","1119834.38806482","4871348.79403297","29921689.2892984","5667499.47099888","2730501.68206989","8289674.65260233","14226364.751095","9841060.71144393","6950485.89048465","8034531.58530126","3903046.6834236","153023.817072743","0","2855306.64984129","2583454.16737369","2083055.28650236","",
"Andorra","AND","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Arab World","ARB","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Argentina","ARG","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","3833883.19037119","2730871.37796738","4600238.71319716","16309748.8095437","26371453.3320278","8388330.67248564","9225487.67166222","8685891.75743001","6033080.21848776","15858802.3006197","23917181.4318406","9853969.5925801","5645697.91468878","8197708.47761671","9790221.77003593","7306363.20401067","3922572.30304056","4534847.1877217","99438904.8044931","97363956.3610217","36683895.540029","13689794.1797284","10474733.1769741","3606492.97630796","7683994.36360802","9619828.23988584","9793868.3039239","7172462.16031357","25648137.8171057","37878915.3836838","3365481.48152917","1750935.57865965","113448077.57245","139688297.921892","218187733.472916","243571312.069236","753099210.58109","708599998.244519","660625971.496278","609042618.380269","1336303316.50544","1707954298.13315","1466621714.3831","803819723.257165","766497390.355452","296485628.633901","509926307.315252","443752700.51412","639638962.680191","546477552.577644","646831108.563479","",
"Armenia","ARM","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","595231.197040528","428308.151650077","3985129.56370475","5215472.60312176","2838339.0122425","2856003.40347921","1051136.51678089","1683595.46213697","3134379.64085196","3661650.92332574","10877393.5615117","105539.586302688","0","0","0","0","0","1788145.5419792","126037735.997118","155223016.275779","70276986.8651392","56202602.1462069","4268983.3886976","28458011.7081822","0","0","52325780.498965","130329815.17033","109114718.990778","",
"American Samoa","ASM","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Antigua and Barbuda","ATG","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Australia","AUS","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","177720657.617308","176997803.095627","194973264.075043","361647422.265067","577862207.267841","437825795.718999","555896703.879925","616848904.834935","522446859.862984","751840667.49387","980025075.839374","715723281.610848","761178373.902447","673856428.651283","778320323.087468","778165498.964988","747676264.788713","989952746.203296","1351006588.06077","1449926074.11191","1594870980.37053","1420689076.2913","1335413421.40497","1078066981.49603","1373000052.74249","1412676032.6438","1174107728.53427","1329550004.13594","1418230116.95701","1204430512.26966","1613672667.22839","1571355428.56537","1435722302.21198","1471782268.39216","2471197973.03278","5864626979.62873","9570359977.16986","16079593420.125","18409780315.9987","8744679249.40934","18486149794.1986","25344264022.0037","17387768816.8006","17030113854.1861","14983677561.0633","9056776061.03606","12749009846.2164","13032709704.5587","16861347607.8759","14555298828.1384","23099237069.1309","",
"Austria","AUT","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","1537790.86198491","1220307.66466127","1110341.73416451","6558626.12210937","9644954.17646769","1724072.361138","1846729.18429604","1006054.45091233","621381.678239184","1712973.15748884","766412.346578196","464037.740750702","939430.607183433","355374.952623012","25295.5231941203","69386.4030034195","0","137729.878216572","5834262.49888198","8529709.82035687","3207096.9058615","1920815.90469564","3956840.587979","2354727.43352535","1921139.89195412","1242730.95648756","1188343.98555948","411491.58544574","2565840.54413375","1992536.12763474","1558169.52670775","1130309.11035488","758026.710739408","430926.154139343","514963.190878445","4234259.39881548","7445436.85017004","14520859.0585885","18992003.2855178","4480307.60889143","18365339.6265942","26963173.3004012","22369022.5039774","25687730.7457652","14485287.5495306","6208485.99495831","8259695.49030838","11415234.7283463","0","0","0","",
"Azerbaijan","AZE","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1113798.47347046","619869.953339199","0","0","0","0","9423.78830900541","0","0","0","1595.84570681981","630.425237296821","5179.61917770803","15093.1876321946","40197.6097455138","118712.445011164","262548.78055674","4002686.18872967","33559501.2363076","45031463.1869907","39291514.5704866","27572833.964505","26883773.7502758","28360153.7179378","30767669.9097755","95756687.0261099","56133125.9627053","65553541.5055532","85590349.4298542","",
"Burundi","BDI","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","18204.1229922606","143196.181529795","44431.1779890892","76433.7239284424","212294.214362422","259086.754509492","341004.726534117","367795.436277345","4545.27969856683","3074.74992770336","12127.8562890185","39185.9618168895","21356.9599811847","30443.6174722583","49815.8285999788","42999.5586452956","8608.1187062645","3807.18770337217","20707.7136227962","0","0","0","2107587.69042888","5979860.21671857","0","0","0","0","580759.711435868","1219548.77488001","461406.661911859","652708.824530135","1051283.39399541","2926664.18684498","3312400.39134026","4233424.58686295","3380047.37682489","2763546.10079044","6379202.41892478","7392397.44400728","3983973.38988975","5288001.19528521","3367918.94145511","3125208.98484407","5623618.69354703","0","0","0","",
"Belgium","BEL","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","2069784.08073256","62955.2963133383","0","45746.767259368","692612.15702177","0","356235.829159611","189066.022203222","0","0","0","0","7210.95804139638","3139.35470515028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Benin","BEN","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","699981.250452313","13730.8182068466","0","22390.7358625877","50498.9140737064","18456.2664764744","17405.5686541369","28034.2238398776","93636.925769161","83752.2985286745","110709.0491503","134958.373946214","181845.831341182","313824.209231353","295484.892919389","199129.362967466","162647.702360798","0","0","0","0","0","0","",
"Burkina Faso","BFA","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","908874.66938795","1614133.79555072","3751679.11460895","4245518.19505846","4634933.96239495","2504038.98941851","1627960.05759919","4969851.26947109","366983.827349691","0","1840827.4385865","1434213.42333685","2438152.09745298","1864169.23067005","1527359.08848695","795472.068116645","832885.241583892","292478.987205052","984728.824437275","369125.329529487","979063.236795203","1958190.53521545","6133796.63965329","11216.0782198849","30003119.3824106","96546576.4258922","312878294.633451","650268900.28262","491559378.097273","373203297.899554","297552140.577445","221154844.037234","358424663.075598","444398309.456977","461849696.481523","443621071.955948","580697316.674977","",
"Bangladesh","BGD","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bulgaria","BGR","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","32082039.4107825","22225499.9610696","22813661.6196119","58828895.5596519","83113244.2224835","27547965.007504","31052398.4600273","34110214.1646284","33081571.8774686","68581536.767613","56390311.3960052","35444986.0808049","33136520.3323344","29693516.2948051","33995043.6212451","42644031.7204193","15429177.2272426","25379515.8935812","242500375.515268","207777240.561856","42912184.919736","22003215.7761703","24061662.4694457","17298329.2971439","31810637.0564176","53438896.7966174","30678745.1031665","29005434.1286622","11575539.8647433","2172085.78645033","1396315.08188768","955976.941715744","869912.575637283","1162003.41352402","15105862.9728614","48154282.7953264","216427964.658208","217620715.913373","160854276.892214","52059295.1736308","202321214.673588","278671116.018194","282395445.196722","209883125.605674","131489314.11514","87133251.9829906","73375226.6969952","143009547.913858","143102411.903226","136767011.2991","155868278.888608","",
"Bahrain","BHR","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bahamas, The","BHS","Adjusted savings: mineral depletion (current US$)","NY.ADJ.DMIN.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
