,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,-0.762321413,-0.32413214065476736,-0.31721298399761805,-0.3456299850594125,-0.31816480846177625,-0.2993456448451989,-0.2715323297099868,-0.22369957149723832,-0.17455433610648696,-0.20042160361811256,-0.2352244156151671,-0.23466614787684897,-0.14071653787102636,-0.13523369470914845,-0.13756654332196472,-0.1787710374841257,-0.17901539243207013,-0.18228422007136078,-0.15799519987299362
8,Argentina,-0.761098087,-0.3043236778609632,-0.30051113550299147,-0.2185129873851374,-0.22596312694743997,-0.2355405009244836,-0.27401952528393236,-0.2719582777545936,-0.23421764054548158,-0.2205227903398305,-0.2439843144073656,-0.2569852428246609,-0.33930146673873784,-0.2862893257622681,-0.11915868869356178,-0.08592495892943831,-0.078513647943846,-0.15980472138277257,-0.18524767650748322
9,Armenia,-0.438531369,-0.18912506748080635,-0.30095603609201393,-0.24277323574921217,-0.3400573137529735,-0.31005273063615274,-0.21091022164785833,-0.29268831373534415,-0.30058617754737366,-0.2733275639038912,-0.26119789328759824,-0.21292088392678565,-0.2608945846899906,-0.27844783900911796,-0.08963214732197611,-0.11952325463934688,-0.11131773665361262,-0.09815331249392316,-0.06506006261475267
12,Australia,1.767046571,0.24728043936370986,0.24092258275160325,0.22983988443941825,0.23573564678907236,0.234011163031651,0.2360503161761936,0.2325513594961497,0.2358671229888378,0.23257081145372166,0.2361437204349385,0.23752896379139932,0.25747178998761516,0.24405169754634684,0.2342888963908088,0.22483695753564148,0.22893436380356863,0.23162573111925383,0.22042288219053083
13,Austria,1.85791266,0.23522581291077857,0.23124753135863388,0.23514079050989276,0.24182609999488672,0.2471796101300079,0.2432174136251633,0.22625491485755125,0.22927937689574832,0.2289942947858149,0.23639770413315656,0.2334590990247034,0.24675633444548545,0.23456077806028727,0.22790481596131676,0.23305664264576217,0.24011480322930745,0.24126268850860663,0.22925506748763014
14,Azerbaijan,-0.964197218,-0.26586290426731635,-0.27063344744147394,-0.23820436860149433,-0.2662489299396909,-0.26447314001993094,-0.2512918939111908,-0.26421938421937313,-0.2678164451727714,-0.282116126796771,-0.26432657570594237,-0.22723260465801087,-0.20945457170675585,-0.21017845489264594,-0.15732381610454288,-0.170813434960441,-0.18122505866731387,-0.17763471517610174,-0.21529031318601222
15,Burundi,-1.398002028,-0.2811377514119876,-0.2803649071095685,-0.21377908145120203,-0.18626670303110604,-0.20434490385021556,-0.196659822033839,-0.219740564113376,-0.228353682319204,-0.21857908469211204,-0.20534190946983064,-0.20392271001444556,-0.1838396692574796,-0.22125585541068843,-0.27972112628500184,-0.2659165015663566,-0.2847269306852246,-0.2726643558319785,-0.24989702407426176
16,Belgium,1.344935656,0.22727991100548328,0.22388774308782508,0.21473761783811526,0.20909594596069633,0.22459760817682206,0.22798155277817886,0.23514305848325356,0.24209318222156292,0.2449952532253353,0.24737899542613012,0.24874156996161792,0.26442296288845535,0.2532530348538784,0.24268655815549856,0.23027502256425314,0.23364089246629471,0.2333591853596495,0.23226661394959397
17,Benin,-0.260578573,-0.17096251358364198,-0.19140204038799885,-0.21446104969453778,-0.2134771400264596,-0.20607785309588011,-0.21312907098111705,-0.2627710112245559,-0.27055063436171867,-0.26463075502795874,-0.2308930185260918,-0.2280405082214495,-0.19484676576961177,-0.21628400233989384,-0.24578604813947325,-0.2523141691050675,-0.2716419978894872,-0.2625467924651441,-0.2924923449683864
18,Burkina Faso,-0.799848557,-0.3306885947965486,-0.2838362738005353,-0.2651755421217438,-0.22983919658008903,-0.20970815532885184,-0.1826118971651825,-0.10817034648342135,-0.10326048600634169,-0.1856409519324355,-0.22561756501095648,-0.2789994937841983,-0.2890831324727173,-0.2778498476470636,-0.23282295195169983,-0.21002779307348576,-0.2338666838708492,-0.23579500777412568,-0.2338000372879901
