,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.125824692,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.188737038,0.046555136
1,Argentina,0,0.059510929,0.110813454,0.125178161,0.153907575,0.155959676,0.182636989,0.207262201,0.209314302,0.229835312,0.256512626,0.26472103,0.250356323,0.278675316,0.242147919,0.260616828,0.256512626,0.223679009,0.235991615
2,Armenia,0.18738852,0.18738852,0.18738852,0.18738852,0.175676737,0.18738852,0.1561571,0.10930997,0.18738852,0.163964955,0.17177281,0.18738852,0.18738852,0.18738852,0.18738852,0.18738852,0.18738852,0.183484592,0
3,Australia,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302
4,Austria,0.197847919,0.157634927,0.181762722,0.093294141,0.165677525,0.197847919,0.197847919,0.197847919,0.197847919,0.197847919,0.197847919,0.197847919,0.197847919,0.197847919,0.197847919,0.173720124,0.197847919,0.197847919,0.065949306
5,Azerbaijan,0,0.092832874,0.080455157,0.080455157,0.131203795,0.095308417,0.131203795,0.102735047,0.077979614,0.073028527,0.070552984,0.096546189,0.094070646,0.077979614,0.053224181,0.004951087,0.086644016,0.071790756,0.189379063
6,Burundi,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186
7,Belgium,0.240653431,0.149205127,0.240653431,0.206961951,0.149205127,0.202148882,0.163644333,0.173270471,0.163644333,0.149205127,0.120326716,0.129952853,0.149205127,0.129952853,0.125139784,0.115513647,0.10588751,0.10588751,0.161719106
8,Benin,0.222389943,0.222389943,0.13742558,0.087815516,0.147119501,0.181333338,0.177911954,0.197299796,0.157953883,0.125450737,0.222389943,0.169928726,0.193308181,0,0.207563947,0.206423486,0.222389943,0.209274639,0.222389943
9,Burkina Faso,0.156889154,0.163323094,0.088095487,0.120760106,0.16777736,0.244984641,0.244984641,0.244984641,0.216774288,0.211330185,0.244984641,0.244984641,0.244984641,0.163323094,0.244984641,0.239540538,0.064339401,0.244984641,0.244984641
10,Bangladesh,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186
11,Bulgaria,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.191548822,0.144829597,0.160402672,0.090323835,0.168189209,0.191548822
12,Bosnia and Herzegovina,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302
13,Belarus,0.255469029,0.200725666,0.095800886,0.145982303,0.177915931,0.237221242,0.155106196,0.150544249,0.191601772,0.127734515,0.095800886,0.100362833,0.127734515,0.054743363,0.041057523,0.04561947,0.036495576,0.041057523,0
14,Belize,0.128304563,0.137579591,0.136806672,0.124826427,0.172360949,0.170815111,0.16347238,0.192456844,0.156129649,0.254676828,0.225692363,0.245401799,0.190138087,0.245401799,0.235353852,0.28598005,0.269748749,0.268589371,0.268202911
