,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Albania,0.309260801,0.162471413,0.170948188,0.28157002,0.179424949,0.148767299,0.189879628,0.181261584,0.175327844,0.183945902,0.185358689,0.150180099,0.119381179,0.131531197,0.156537673,0.181967984,0.200616872,0.212343069,0.20923493
1,Argentina,0,0.078026137,0.111966566,0.149042816,0.175420449,0.205118331,0.216739246,0.201798082,0.219137214,0.228913541,0.228175706,0.230389211,0.227253408,0.235092912,0.270785716,0.207331836,0.191283911,0.179847459,0.149965114
2,Armenia,0.154757767,0.163977379,0.157144996,0.01498186,0.163483475,0.216660876,0,0.07458006,0.065195816,0.07458006,0.093348578,0.111787785,0.090055847,0.077543511,0.088080201,0.086763115,0.160684663,0.177312897,0.17764216
3,Australia,0.173963414,0.190973172,0.21184878,0.22576584,0.235430474,0.250893892,0.256692676,0.205276826,0.21880731,0.223832924,0.218420734,0.201410976,0.185174388,0.186334134,0.199478042,0.204117062,0.215328036,0.220740244,0.17048414
4,Austria,0.15335167,0.162223216,0.011406342,0.048160042,0.093785287,0.145747463,0.235730677,0.087448478,0.149549537,0.179966427,0.145747463,0.087448478,0.049427379,0.032951566,0,0.063368457,0.143212727,0.190105371,0.108993763
5,Azerbaijan,0.095999691,0.109448922,0.127690413,0.138975394,0.148869087,0.153352164,0.160617838,0.16247291,0.164173382,0.167419749,0.170975294,0.174376253,0.175303785,0.174530838,0.173912483,0.174530838,0.174840016,0.176231318,0.140521289
6,Burundi,0.150825928,0.1792561,0.160274023,0.195919102,0.185869765,0.190593814,0.212496212,0.176078106,0.197293369,0.20854519,0.21928166,0.159672781,0.213526912,0.200041906,0.180973938,0.172556545,0.210263026,0.208802865,0.222803223
7,Belgium,0.218189879,0.156873742,0.182355749,0.096353936,0.111483859,0.174392622,0.212615671,0.13855853,0.108298608,0.199874667,0.16802212,0.097150192,0.089983358,0.093168685,0.144929031,0.203856212,0.294635977,0.341618448,0.326488487
8,Benin,0.237336926,0.142882435,0.182105059,0.219126419,0.136278621,0.16689629,0.182105062,0,0.223328846,0.158891665,0.232734271,0.138880122,0.228131616,0.183906099,0.089851836,0.124671927,0.206118914,0.21692515,0.204718109
9,Burkina Faso,0.223042378,0.222547828,0.126852253,0.162212637,0.14440881,0.196831191,0.152074351,0.131797767,0.133281418,0.129819566,0,0.097921045,0.039564056,0.076408079,0.082837245,0.104844749,0.128088634,0.113252115,0.073440778
10,Bangladesh,0.18284894,0.151955007,0.154110404,0.154469636,0.178178932,0.169916597,0.202427073,0.127527257,0.185722791,0.197936674,0.152853099,0.148003471,0.205300924,0.18141201,0.150877322,0.150158859,0.13399343,0.135789587,0.187878183
11,Bulgaria,0.032366576,0.110690155,0.140910882,0.175959782,0.196166547,0.23318247,0.255892726,0.234255395,0.172383367,0.154858908,0.136797992,0.124817006,0.151997776,0.19276894,0.220843826,0.246057581,0.263045564,0.280570014,0.264654955
12,Bosnia and Herzegovina,0.157753383,0.063706098,0.148786572,0.029090025,0,0.044417035,0.160568561,0.146805546,0.079241643,0.073611308,0.064644487,0.075488087,0.074862481,0.071317459,0.118862445,0.22062535,0.265042385,0.321554173,0.317800616
13,Belarus,0.137009678,0.132590015,0.185626018,0.203304685,0.216563685,0.225403021,0.234242355,0,0.180543401,0.243081689,0.247501357,0.247501357,0.247501357,0.225403021,0.011491124,0.019888494,0.059223526,0.085741545,0.090603164
