,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,-0.311400771,-0.490216553,-0.187491566,-0.400731236,-0.148599386,0.034550302,0.137666509,0.241446003,0.233281955,0.283972561,0.240491986,0.254160255,0.279037684,0.189514965,0.196168706,0.23308672,0.266459137,0.285658628,0.235864624
8,Argentina,-0.880716562,-0.69147563,-0.6980353,-0.525074363,-0.614566982,-0.63569355,-0.702629447,-0.830836773,-0.742940903,-0.701964378,-0.897686779,-0.928134799,-1.066149592,-0.876747191,-0.33751902,-0.181595474,-0.183625966,-0.436932802,-0.483492196
9,Armenia,0.056333646,0.167570353,0.109250002,0.089062668,0.292330682,0.265207171,0.300939858,0.27345407,0.268946558,0.246940598,0.334273398,0.235182688,0.158519909,0.201865211,0.214404643,0.240957707,0.360776484,0.255927444,0.251729071
12,Australia,1.421155572,1.575263143,1.711219549,1.599512935,1.62376225,1.684215903,1.766017556,1.816927552,1.695976734,1.852122784,1.778897166,1.79121995,1.857373476,1.783806562,1.893965244,1.928243279,1.901642442,1.872158647,1.822517872
13,Austria,1.538056254,1.537136078,1.514102817,1.604957461,1.644411087,1.691163898,1.60645175,1.450018525,1.450515866,1.376976848,1.517164707,1.482213736,1.482170105,1.398648381,1.437176466,1.435420275,1.530134678,1.4575665,1.405209184
14,Azerbaijan,-0.731832385,-0.601958394,-0.621019125,-0.580545425,-0.52337569,-0.466508985,-0.367752314,-0.316738784,-0.392555356,-0.386364639,-0.488716811,-0.425340503,-0.268493652,-0.353247523,-0.386264741,-0.357856959,-0.302665323,-0.214039907,-0.323556036
15,Burundi,-1.214292169,-1.20160675,-1.191961408,-1.337775469,-1.189755201,-1.228424907,-1.240296006,-1.167749643,-1.122368693,-1.020373702,-0.952941537,-0.900794625,-0.733122706,-0.735208213,-0.844684064,-0.854293644,-0.990732431,-0.972790122,-1.043318987
16,Belgium,1.254180551,1.281626225,1.346416473,1.271361947,1.329937816,1.420544147,1.405670285,1.310220242,1.282815099,1.236216903,1.222170353,1.283747077,1.152885199,1.283219576,1.337367177,1.242281437,1.266826153,1.289381981,1.354357123
17,Benin,-0.573989809,-0.621432841,-0.619886994,-0.641528606,-0.461876184,-0.506433964,-0.554605663,-0.398531437,-0.401749998,-0.40187946,-0.401261717,-0.415549964,-0.620842099,-0.601894319,-0.573481381,-0.507834852,-0.38123408,-0.432607293,-0.468183726
18,Burkina Faso,-0.137807384,-0.361612886,-0.329019099,-0.456178695,-0.396016359,-0.313472509,-0.229373604,-0.141745225,-0.208372116,-0.205170572,-0.139083847,-0.197507471,-0.340953946,-0.405414432,-0.437461883,-0.464947999,-0.392703414,-0.409996361,-0.468467951
19,Bangladesh,-1.055441499,-1.044749141,-1.175912261,-1.081751704,-1.005542517,-0.953167856,-0.91451782,-0.866342843,-0.85759306,-0.81707859,-0.959472537,-0.923936903,-0.955160499,-0.908241212,-0.804246247,-0.813100755,-0.842074037,-0.93116945,-0.904267788
20,Bulgaria,0.52767992,0.668375254,0.707843781,0.657545507,0.616540432,0.643360615,0.734121799,0.694785178,0.680432558,0.552520037,0.574710846,0.549109817,0.585273623,0.591456354,0.710182667,0.668624163,0.615697503,0.543415308,0.474105209
23,Bosnia and Herzegovina,-0.607061386,-0.46620518,-0.23462072,-0.578913093,-0.468090147,-0.286616474,-0.175438628,-0.110355966,-0.119476207,-0.058966167,-0.061737765,-0.074898683,-0.041672681,-0.167333737,-0.128769919,-0.043219082,-0.128680289,-0.112791009,-0.166626409
24,Belarus,-1.395955443,-1.30027616,-1.190362096,-1.44191277,-1.596236467,-1.42256093,-1.246820211,-1.157031417,-1.188309073,-1.323641777,-1.174061537,-1.159445167,-1.099450231,-1.143447757,-1.079789042,-0.841620028,-0.801075876,-0.663383305,-0.784566402
25,Belize,0.14991577,0.165346131,-0.118548453,0.068797342,-0.301703036,-0.352246404,-0.382103831,-0.368749797,-0.335602492,-0.37844494,-0.436850935,-0.447350562,-0.461533755,-0.421569586,-0.483711928,-0.539396584,-0.652213216,-0.548786402,-0.536648393
27,Bolivia,-0.090073593,-0.152667001,-0.265374273,-0.693852127,-0.888415873,-0.98601824,-0.864422381,-0.873411775,-0.797301412,-0.763345361,-0.832377791,-0.78638947,-0.886673927,-0.898342431,-1.008276939,-0.976599276,-0.990943968,-0.986101508,-1.01854825
28,Brazil,0.182567075,0.196701482,0.037414186,0.036901258,-0.041273385,-0.02283462,0.07702741,0.127607271,0.246619865,0.25802207,0.173244089,0.146290123,-0.028219953,-0.164282531,-0.179583877,-0.116344914,-0.28046,-0.109311007,-0.097242095
31,Bhutan,-0.50857091,-0.04871612,-0.915191174,-0.286168545,-0.577596843,-0.70974499,-0.765467465,-1.071835279,-1.158943653,-1.154204845,-1.093008518,-1.086755395,-1.014745593,-0.718258858,-0.674993694,-0.326052338,-0.331837833,-0.311885327,-0.285183251
