,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,Albania,-0.845340908,-0.853786588,-0.723731816,-0.813263893,-0.790545285,-0.706940055,-0.60521239,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.750955939,-0.586141348,-0.520959854,-0.44898048,-0.45825699,-0.524145126,-0.543374062,-0.551931083
8,Argentina,-0.417055726,-0.479976803,-0.414409548,-0.377738357,-0.331238538,-0.372122079,-0.434875011,-0.445475101,-0.355230033,-0.364098519,-0.445909202,-0.434015781,-0.549443066,-0.557244956,-0.274941713,-0.284516692,-0.074287266,-0.08366286,-0.140874103
9,Armenia,-0.778165162,-0.6490224,-0.703455329,-0.683349848,-0.669232607,-0.74589169,-0.712412357,-0.621459663,-0.69503957,-0.664559424,-0.58800149,-0.530450225,-0.565155387,-0.584427893,-0.637749076,-0.614445984,-0.385727823,-0.203820124,0.020228101
12,Australia,1.761436343,1.895287037,2.005868912,1.942667723,1.950813174,2.00087285,2.027342558,2.041763067,2.02361083,2.037909031,1.977507234,1.777870297,1.849464655,1.879955173,1.810914397,1.790856242,1.801110983,1.822144747,1.662498713
13,Austria,1.915159225,1.963868618,2.026624441,1.912423491,1.904876947,2.003345251,1.828758121,1.6940341,1.596122026,1.47028935,1.427254438,1.537240982,1.466749072,1.508799553,1.534534812,1.537821054,1.601476908,1.554295182,1.506872177
14,Azerbaijan,-1.195501924,-1.046231985,-1.18083179,-1.052521467,-1.095912457,-1.129073739,-1.156654239,-1.194081903,-1.245373249,-1.195314765,-1.142694116,-0.970375061,-1.022490263,-0.930738151,-0.831865549,-0.885625541,-0.831989169,-0.829964042,-1.057083011
15,Burundi,-0.759896934,-0.874153018,-0.97840488,-0.95718044,-1.101503611,-1.166984916,-1.088232398,-1.132561207,-1.168900132,-1.208371162,-1.468606353,-1.426113844,-1.267834663,-1.266484857,-1.260349035,-1.304452658,-1.459785938,-1.480386734,-1.544021368
16,Belgium,1.45780158,1.375112772,1.360382557,1.377162457,1.301286578,1.347415328,1.36263752,1.452005267,1.473829985,1.519928932,1.559110403,1.604302645,1.512950301,1.511199117,1.569267988,1.440446138,1.461817741,1.481857061,1.47522223
17,Benin,-0.795710146,-0.577583432,-0.563022554,-0.871326268,-0.587095916,-0.470139265,-0.514077365,-0.627268314,-0.665382147,-0.605445802,-0.857918382,-0.745442808,-0.669143796,-0.534361541,-0.501190603,-0.549611926,-0.368314892,-0.317782849,-0.033246532
18,Burkina Faso,0.120319605,-0.107514307,-0.149054155,-0.105527252,-0.310118109,-0.329598039,-0.309015125,-0.345606595,-0.356885225,-0.378650427,-0.482446641,-0.525301456,-0.466464132,-0.273306519,-0.145827129,-0.113376908,-0.106927834,-0.195339918,-0.098658048
19,Bangladesh,-1.449086785,-1.54172051,-1.597114921,-1.406466603,-1.442982793,-1.063239932,-1.046788335,-1.075251222,-1.054080248,-1.097388625,-0.85661906,-0.893825352,-0.892129958,-0.81450671,-0.863241136,-0.83595705,-0.902643025,-0.994909585,-0.979526103
20,Bulgaria,-0.171931699,-0.087321013,0.06820406,0.018745424,-0.110585965,-0.231792405,-0.274787337,-0.229267567,-0.237023547,-0.26926437,-0.281460792,-0.327604949,-0.302766591,-0.321295172,-0.236125767,-0.17138277,-0.164292946,-0.157977611,-0.300079286
23,Bosnia and Herzegovina,-0.387543082,-0.282097161,-0.324706376,-0.232808679,-0.3014144,-0.374117345,-0.360781223,-0.379986048,-0.336401552,-0.326692939,-0.309364051,-0.244402736,-0.299684912,-0.391407371,-0.461519122,-0.529383123,-0.582578957,-0.625312626,-0.620458722
24,Belarus,-0.657884896,-0.537339866,-0.759292543,-0.723230779,-0.52986896,-0.574205935,-0.559036314,-0.56215173,-0.633431315,-0.619015694,-0.458519369,-0.40493837,-0.234706506,-0.289550424,-0.198352844,-0.215110376,-0.129793927,0.032411866,-0.110224746
25,Belize,-0.070856519,-0.10321895,-0.103965633,-0.201737866,-0.31359604,-0.324733347,-0.302956253,0.041316897,-0.023574317,-0.307089061,-0.030974895,0.020445321,-0.159106821,-0.179022163,-0.20044896,-0.276755542,-0.142567858,-0.16567196,-0.168403774
27,Bolivia,-0.940807521,-0.853618503,-0.809159338,-0.741979063,-0.431123644,-0.402193725,-0.528391659,-0.631416976,-0.458648711,-0.573696494,-0.727891862,-0.587771356,-0.628422022,-0.694146633,-0.754407942,-0.67995137,-0.66733861,-0.761989772,-0.824403942
28,Brazil,0.081942312,0.090239018,-0.027268711,-0.15374814,-0.120479897,-0.083988786,0.003437368,-0.079985611,0.043806359,0.168382421,-0.046854232,-0.097699746,-0.365745902,-0.433242053,-0.422299951,-0.536921918,-0.458420366,-0.386171013,-0.407126695
31,Bhutan,0.449922442,1.087011099,0.893403232,0.87191695,0.854816735,0.92875576,0.912390053,0.937309504,0.938382149,0.854587376,0.953947246,0.912419856,1.306128979,1.02705121,1.143277049,1.572964668,1.636567235,1.619334221,1.662710428
33,Botswana,0.624537587,1.244919538,0.875725925,1.160792708,0.93653053,0.993910909,1.022529721,0.927733779,1.003351092,0.966567457,0.90651536,0.893463314,0.813040078,0.813294947,0.900315821,0.744532168,0.749112308,0.702542424,0.629279554
35,Canada,1.982231498,1.931292057,1.805866241,1.86970067,1.952794552,1.99088037,1.987721443,2.051796675,2.061873198,1.971133471,1.918904424,1.879342556,1.832427263,1.884429693,1.984779,1.920100808,1.823797584,1.763857365,1.59498167
36,Switzerland,2.059014559,2.012480974,1.985262632,2.010125875,2.083408356,2.140349388,2.108572006,2.060199976,2.064142466,2.029069901,2.13839817,2.124835014,2.147784948,2.134661674,1.983234882,1.984895706,2.004628181,1.980325937,2.07655406
37,Chile,1.479165316,1.167100906,1.305859327,1.41652751,1.412561893,1.345149994,1.317986846,1.321234822,1.441626906,1.47659266,1.543591261,1.498959064,1.441059232,1.217123628,1.056977987,1.034884334,0.987971663,1.008746982,1.134073257
38,China,-0.557897568,-0.39526549,-0.565061569,-0.617887735,-0.518887699,-0.599234641,-0.526307642,-0.519456625,-0.570009887,-0.514727592,-0.438275933,-0.355789781,-0.337421417,-0.274102539,-0.243200898,-0.266227782,-0.262216955,-0.289005578,-0.046911303
40,Cameroon,-1.209111929,-0.981341302,-1.125436306,-1.199409604,-1.091455698,-1.033044815,-1.034228325,-1.020551085,-1.07531774,-1.16692555,-1.27243948,-1.21758461,-1.178454518,-1.074164391,-1.158264041,-1.205515623,-1.144107223,-1.194020867,-1.114790559
43,Colombia,-0.264330655,-0.204286307,-0.140631452,-0.145389393,-0.175137788,-0.279160351,-0.261542618,-0.337012529,-0.423333108,-0.317527682,-0.422298342,-0.441052586,-0.397179246,-0.327314526,-0.360338539,-0.405644536,-0.317016244,-0.260884941,-0.229837
46,Costa Rica,0.444571555,0.516545832,0.284917921,0.365192473,0.378651321,0.457115024,0.493208975,0.715470135,0.664391637,0.593173563,0.570753694,0.577552676,0.725670099,0.718856454,0.710135281,0.462072641,0.529078066,0.655114949,0.687667131
49,Cyprus,1.126284242,1.192308187,0.873254597,0.899039984,1.085562587,1.073370457,1.193127513,0.9054178,0.969285846,0.859248042,1.243302345,1.238514423,1.071142793,1.004094839,0.820996881,0.778250337,0.635751843,0.626630962,0.37409839
51,Germany,1.888743639,1.87576139,1.840065479,1.875442266,1.793642521,1.726519346,1.745895863,1.746210337,1.766428828,1.741949916,1.817630172,1.797943592,1.812496543,1.814328671,1.820955515,1.83601439,1.93290782,1.900066733,1.855754375
52,Djibouti,-0.628373802,-0.648552418,-0.429071277,-0.711830616,-0.667271733,-0.542462528,-0.303243905,-0.367729425,-0.402063727,-0.421640873,-0.470184714,-0.549865782,-0.596591592,-0.675951064,-0.669372201,-0.648348451,-0.71833843,-0.859204829,-0.730557561
