,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
115,Luxembourg,1.637916565,1.44070816,1.315435052,1.331648588,1.399898887,1.483718038,1.511939526,1.450381756,1.461218596,1.317426801,1.331918836,1.335248113,1.378323793,1.439398408,1.419484735,1.326013207,1.362696052,1.349190593,1.230695248,1.395961103
92,Iceland,1.620292544,1.51723218,1.457004666,1.444697142,1.453826547,1.485594153,1.215023875,1.190887213,1.022253633,1.244009733,1.245032072,1.287133694,1.246974587,1.308164477,1.361623883,1.34830904,1.406389832,1.639300942,1.381934285,1.361878131
63,Finland,1.75318408,1.687017441,1.61962688,1.594946861,1.501111031,1.488697052,1.445868373,1.459671497,1.423606873,1.393471003,1.400765181,1.385172486,1.282197237,1.040587306,0.999086499,1.080909133,0.908358991,0.851656735,1.005103469,1.332686217
36,Switzerland,1.542368174,1.246109486,1.227339864,1.196782112,1.268117428,1.234408855,1.222245216,1.307721257,1.258594275,1.300342083,1.418336034,1.401140213,1.402652621,1.339359045,1.306290388,1.256805301,1.333553433,1.32495296,1.191661119,1.304146309
144,Norway,1.608346105,1.204556227,1.196618319,1.295277238,1.252705693,1.145552516,1.285434484,1.276532531,1.332311511,1.337976933,1.327469826,1.352091908,1.11995852,1.161716104,1.200074434,1.170478702,1.141178608,1.170564771,1.246279836,1.253953909
128,Malta,1.598263383,1.547776222,1.317642331,1.380357146,1.231257558,1.269631863,1.27317667,1.249360085,1.253456235,1.06393671,1.065075159,1.042757869,1.125496984,1.063938618,1.080441356,1.249404788,1.283979058,1.02458334,1.014233351,1.217619407
179,Sweden,1.475257516,1.341613293,1.362226844,1.299904823,1.293933988,1.271478295,1.128336549,1.084638238,1.094170451,1.230688095,1.170597196,1.127778053,1.065414786,0.947106421,1.017940879,0.984416783,0.940556705,1.039472699,1.026380301,1.152732206
13,Austria,1.358955383,0.962002456,1.0896492,1.103950024,1.07445085,1.284419298,1.339270592,1.190873981,1.152648211,1.193521619,1.340566874,1.364100575,1.270700455,1.143079281,0.909638762,1.046832561,0.902334034,0.916747928,0.912809432,1.134555343
89,Ireland,1.50421679,1.348457694,1.17082572,1.298666835,1.192410588,1.215192676,1.18687439,1.057366014,1.020165324,0.948998928,0.941072702,0.901075721,1.052991152,0.908455491,0.847818851,1.00243485,1.021112323,0.96638912,0.978661597,1.082272988
35,Canada,1.218031764,1.053076744,0.876447499,0.82872504,1.034956574,1.007010698,1.041372657,1.127075911,0.936318219,1.077175736,1.113016248,1.061421752,1.17550385,1.274697781,1.256058574,1.102062702,0.979125917,1.01676774,1.029841781,1.063615115
54,Denmark,1.52424407,1.203815699,1.084337354,1.073495388,1.046792865,1.118189216,1.065386772,1.001182675,1.040961027,1.10029304,0.914910674,0.959233463,0.951779723,0.897649825,0.867915452,0.868414879,0.946250618,0.995625198,0.950011313,1.032131013
33,Botswana,0.873264432,1.104937553,0.91668874,1.063572526,1.017109871,1.056139112,1.033105612,0.953861237,0.991209805,1.064446568,1.104041457,1.102347016,1.011847138,1.042091846,0.994560003,1.022508383,0.970987856,1.111055136,1.02614224,1.024206133
178,Slovenia,1.303833246,1.18649447,1.081613421,1.092811227,1.085729003,1.098629355,1.149374366,0.936905801,0.866508842,0.969209671,0.935110688,0.88225168,0.965773404,0.953392744,0.990436018,0.873399794,0.901137114,0.807429194,0.710935533,0.988998714
143,Netherlands,1.302679896,1.16180563,1.016239166,0.988100886,0.902736187,0.778468788,0.863551974,0.945019245,0.940750122,1.113630772,1.187464714,1.143815398,1.045115352,0.926119328,0.912267506,0.921112537,0.85426724,0.847549617,0.859951735,0.984770847
