,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,Aruba,,,0.993218184,1.376415968,1.303460598,1.286568522,1.316395998,1.121554255,1.100847363,1.285737753,1.263881564,1.312226295,1.164567828,1.230921268,1.284199238,1.335037708,1.356553197,1.349796057,1.390272856,1.474335432
2,Andorra,1.282766938,1.465131164,1.402106047,1.384927273,1.349654078,1.342015743,1.338472128,1.297139525,1.278272152,1.302488327,1.290351152,1.28392601,1.286593318,1.39128828,1.413419366,1.421868801,1.417627215,1.602202296,1.616035223,1.631808758
3,Afghanistan,-2.035033703,-2.198372364,-2.295682192,-2.06750989,-2.219134569,-2.41337347,-2.69136095,-2.71142149,-2.579151869,-2.502059698,-2.418561459,-2.519349098,-2.411068439,-2.571221828,-2.671053886,-2.801083803,-2.763864279,-2.655531168,-2.705029726,-2.529855251
4,Angola,-1.576179862,-1.00738585,-1.063120604,-0.885178328,-0.539453447,-0.666658759,-0.361787379,-0.347591847,-0.226182342,-0.36923781,-0.389322549,-0.391233474,-0.333232045,-0.500897765,-0.315898836,-0.380449027,-0.33569175,-0.358524978,-0.514614642,-0.710836232
5,Anguilla,,,0.788184822,1.189666033,1.104799986,1.085738063,1.112509608,0.868718088,1.373761654,1.550927639,1.476920247,1.533979535,1.164254904,1.249272108,1.315343738,1.389451504,1.287405729,1.355694056,1.545165181,1.585498452
6,Albania,-0.297719181,-0.30978024,-0.427259684,-0.505047977,-0.508157313,-0.203974649,-0.030500913,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.34612906,0.344644666,0.378474772,0.370515645,0.11116863,0.087552309,0.109445848
7,Netherlands Antilles (former),,,0.685668111,0.816166162,1.104799986,1.085738063,1.112509608,0.868718088,0.959880173,1.20577538,1.078248262,0.676403522,,,,,,,,
8,United Arab Emirates,0.937275112,0.994650185,0.768757999,0.875413299,0.923421085,0.975391388,0.696017921,0.919041455,0.801757872,0.912175715,0.863251448,0.894792199,0.768908918,0.759545386,0.564748943,0.618641376,0.704976201,0.685608506,0.620475769,0.649299502
9,Argentina,-0.776545405,-0.359838128,-0.610934913,-0.041774943,0.001967763,0.097796634,-0.087755688,-0.234854579,-0.084797867,0.158993661,0.103040546,0.065314263,-0.005121871,0.01478538,0.204625502,0.169504255,0.010891375,-0.091444202,-0.079213515,-0.106366642
10,Armenia,-0.255784124,0.236966237,-0.116337486,-0.066335395,-0.26102376,0.150905833,-0.006853028,0.227863356,0.071855329,-0.063868985,0.154794976,0.110385142,-0.2971358,-0.252332628,-0.662263811,-0.62077117,-0.444908142,-0.413424373,-0.760855317,-0.83559227
