,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,Aruba,,,0.762953818,0.864074349,0.855286777,0.877206326,0.894702375,1.28930068,1.344837785,1.317276955,1.402131438,1.420879602,1.245360851,1.366900325,1.344240308,1.189792037,0.854680657,0.855567157,0.925700963,0.946877241
2,Andorra,1.422462821,1.414684296,1.41426146,1.359160781,1.34977591,1.378267288,1.398588419,1.405673504,1.389426827,1.611425281,1.561860085,1.558740973,0.880748272,0.908654094,0.86785984,1.205159068,1.1918962,1.22653389,1.343301415,1.362524509
3,Afghanistan,-1.81154573,-1.463107824,-1.511548996,-1.643440247,-1.689468622,-1.708872318,-1.607166886,-1.664507627,-1.516528249,-1.536323905,-1.192579746,-1.1930902,-1.124133706,-1.006208181,-1.336581707,-1.355372787,-1.147590399,-1.123045802,-1.402760983,-1.338022232
4,Angola,-1.294135094,-1.187467456,-1.226713538,-1.240036249,-1.156215668,-1.075312614,-1.101495981,-1.059525251,-1.0602175,-1.107531548,-0.990437567,-1.041670442,-0.860683441,-0.84234482,-0.957892835,-1.026228189,-0.785790086,-0.820471883,-0.841778457,-0.662632108
5,Anguilla,,,0.907688737,1.111617446,1.34977591,1.378267288,1.398588419,1.405673504,1.389426827,1.36641407,1.321213126,1.319419265,0.880748272,0.908654094,0.86785984,0.839894116,0.821928322,0.844433665,0.94280678,0.955576837
6,Albania,-0.311400771,-0.490216553,-0.187491566,-0.400731236,-0.148599386,0.034550302,0.137666509,0.241446003,0.233281955,0.283972561,0.240491986,0.254160255,0.279037684,0.189514965,0.196168706,0.23308672,0.266459137,0.285658628,0.235864624,0.192754015
7,Netherlands Antilles (former),,,0.642341197,0.864074349,0.855286777,0.877206326,0.894702375,0.90409261,0.891692638,0.876391232,0.839919209,0.840776086,,,,,,,,
8,United Arab Emirates,1.078349113,0.638878942,0.792539001,0.651603818,0.624527931,0.60901165,0.567518592,0.443285644,0.318565339,0.445208371,0.670992136,0.774973035,0.987515152,1.106638789,0.969070077,1.01081419,0.928818166,0.977581739,1.085910559,1.01389575
9,Argentina,-0.880716562,-0.69147563,-0.6980353,-0.525074363,-0.614566982,-0.63569355,-0.702629447,-0.830836773,-0.742940903,-0.701964378,-0.897686779,-0.928134799,-1.066149592,-0.876747191,-0.33751902,-0.181595474,-0.183625966,-0.436932802,-0.483492196,-0.618144751
10,Armenia,0.056333646,0.167570353,0.109250002,0.089062668,0.292330682,0.265207171,0.300939858,0.27345407,0.268946558,0.246940598,0.334273398,0.235182688,0.158519909,0.201865211,0.214404643,0.240957707,0.360776484,0.255927444,0.251729071,0.145152628
11,American Samoa,,,0.497606158,0.368987888,0.360797524,0.376145482,0.390816242,0.402511686,0.39395842,0.386368304,0.358625293,0.362132907,0.177999645,0.168665841,0.132687509,-0.255901217,-0.287974954,-0.301867425,0.542312026,0.548629165
12,Antigua and Barbuda,0.698325157,0.682984054,0.582346559,0.584638536,0.547179878,0.530372381,0.642759264,0.653302133,0.642825544,0.631379724,0.599272251,0.601454556,0.529373944,0.370155632,0.337577105,0.249312833,0.412241846,0.483430833,0.512654901,0.390355736
13,Australia,1.421155572,1.575263143,1.711219549,1.599512935,1.62376225,1.684215903,1.766017556,1.816927552,1.695976734,1.852122784,1.778897166,1.79121995,1.857373476,1.783806562,1.893965244,1.928243279,1.901642442,1.872158647,1.822517872,1.83872807
14,Austria,1.538056254,1.537136078,1.514102817,1.604957461,1.644411087,1.691163898,1.60645175,1.450018525,1.450515866,1.376976848,1.517164707,1.482213736,1.482170105,1.398648381,1.437176466,1.435420275,1.530134678,1.4575665,1.405209184,1.348706007
15,Azerbaijan,-0.731832385,-0.601958394,-0.621019125,-0.580545425,-0.52337569,-0.466508985,-0.367752314,-0.316738784,-0.392555356,-0.386364639,-0.488716811,-0.425340503,-0.268493652,-0.353247523,-0.386264741,-0.357856959,-0.302665323,-0.214039907,-0.323556036,-0.059605457
16,Burundi,-1.214292169,-1.20160675,-1.191961408,-1.337775469,-1.189755201,-1.228424907,-1.240296006,-1.167749643,-1.122368693,-1.020373702,-0.952941537,-0.900794625,-0.733122706,-0.735208213,-0.844684064,-0.854293644,-0.990732431,-0.972790122,-1.043318987,-0.984301567
17,Belgium,1.254180551,1.281626225,1.346416473,1.271361947,1.329937816,1.420544147,1.405670285,1.310220242,1.282815099,1.236216903,1.222170353,1.283747077,1.152885199,1.283219576,1.337367177,1.242281437,1.266826153,1.289381981,1.354357123,1.342472672
18,Benin,-0.573989809,-0.621432841,-0.619886994,-0.641528606,-0.461876184,-0.506433964,-0.554605663,-0.398531437,-0.401749998,-0.40187946,-0.401261717,-0.415549964,-0.620842099,-0.601894319,-0.573481381,-0.507834852,-0.38123408,-0.432607293,-0.468183726,-0.43148464
19,Burkina Faso,-0.137807384,-0.361612886,-0.329019099,-0.456178695,-0.396016359,-0.313472509,-0.229373604,-0.141745225,-0.208372116,-0.205170572,-0.139083847,-0.197507471,-0.340953946,-0.405414432,-0.437461883,-0.464947999,-0.392703414,-0.409996361,-0.468467951,-0.46693927
20,Bangladesh,-1.055441499,-1.044749141,-1.175912261,-1.081751704,-1.005542517,-0.953167856,-0.91451782,-0.866342843,-0.85759306,-0.81707859,-0.959472537,-0.923936903,-0.955160499,-0.908241212,-0.804246247,-0.813100755,-0.842074037,-0.93116945,-0.904267788,-0.845715046
21,Bulgaria,0.52767992,0.668375254,0.707843781,0.657545507,0.616540432,0.643360615,0.734121799,0.694785178,0.680432558,0.552520037,0.574710846,0.549109817,0.585273623,0.591456354,0.710182667,0.668624163,0.615697503,0.543415308,0.474105209,0.448316187
22,Bahrain,0.867863119,0.621469796,0.702606559,0.659460783,0.682441473,0.76476717,0.711206675,0.692689776,0.712015808,0.716491401,0.684159577,0.602282524,0.704518795,0.815443456,0.604506552,0.412573814,0.414948463,0.483154505,0.626398087,0.849090099
23,"Bahamas, The",1.297623158,1.153908849,1.124398232,1.104997158,1.050473452,1.028546214,1.052829504,0.801063418,0.54899472,0.523855805,0.390349686,0.18655315,0.169124857,0.162390649,0.253657579,0.119374871,0.178465888,-0.050464157,0.011817453,0.064141877
24,Bosnia and Herzegovina,-0.607061386,-0.46620518,-0.23462072,-0.578913093,-0.468090147,-0.286616474,-0.175438628,-0.110355966,-0.119476207,-0.058966167,-0.061737765,-0.074898683,-0.041672681,-0.167333737,-0.128769919,-0.043219082,-0.128680289,-0.112791009,-0.166626409,-0.178626731
25,Belarus,-1.395955443,-1.30027616,-1.190362096,-1.44191277,-1.596236467,-1.42256093,-1.246820211,-1.157031417,-1.188309073,-1.323641777,-1.174061537,-1.159445167,-1.099450231,-1.143447757,-1.079789042,-0.841620028,-0.801075876,-0.663383305,-0.784566402,-0.919227362
