,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
233,Thailand,1.820000052,1.539999962,1.50999999,1.350000024,1.220000029,1.179999948,1.179999948,1.49000001,0.620000005,0.660000026,0.579999983,0.25,0.579999983,0.600000024,0.689999998,0.829999983,0.769999981,0.720000029,1.100000024,0.98368421
257,Vietnam,2.119999886,2.25,2.140000105,1.925000012,2.200000048,2.029999971,1.404999972,1.74000001,1.110000014,1,1.029999971,1.320000052,1.25999999,1.850000024,1.850000024,1.870000005,1.159999967,1.679999948,2.099999905,1.686315784
18,Benin,0.689999998,1.894999981,1.825000048,1.145000011,2.725000024,1.60499996,2.449999989,1.61500001,1.039999962,2.650000095,0.804999977,3.150000036,2.909999967,2.025000036,4.454999984,3.504999996,1.470000029,6.189999879,1.504999966,2.297631576
25,Belarus,3,3.099999905,1.899999976,1.5,1.200000048,1,0.800000012,6.099999905,2.495000095,0.600000024,0.5,0.5,0.5,1,5.840000153,5.650000095,4.760000229,4.159999847,4.050000191,2.560789499
246,Tanzania,3.599999905,2.574999929,2.955000043,1.925000012,3.299999952,3.355000019,2.295000017,2.5,1.649999976,3.470000029,0.289999992,2.930000067,2.119999886,2.875,2.75000006,3.460000038,3.584999919,4.384999991,2.779999971,2.778947358
129,Lao PDR,2.094999999,3.724999905,2.070000053,1.350000024,3.215000034,2.449999929,0.98999998,7.549999953,0.709999979,2.195000053,1.919999972,3.444999993,1.689999938,4.480000139,5.680000067,3.269999981,2.519999981,2.269999922,1.844999999,2.814210521
16,Burundi,4.48000002,5.350000143,4.254999995,2.594999999,3.180000067,2.389999986,1.629999995,4.009999991,3.175000072,2.210000039,1.610000014,4.704999924,1.570000052,1.814999998,2.969999969,3.954999924,1.199999989,1.589999974,1.029999971,2.827368427
168,Malawi,1.594999999,4.430000067,2.774999976,0.939999998,3.705000043,3.149999977,2.675000012,7.549999953,0.874999971,1.74000001,2.074999988,4.980000019,2.584999979,1.995000005,4.800000072,3.539999962,1.904999972,2.215000034,0.910000026,2.865263161
150,Moldova,6.840000153,6.380000114,6.369999886,5.630000114,4.260000229,2.75,2.099999905,3.019999981,2.970000029,2.680000067,2.190000057,1.889999986,1.450000048,1.779999971,1.590000033,1.620000005,1.24000001,1.5,1.210000038,3.024736875
32,Bhutan,3.264999986,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,3.139999986,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,3.009999991,2.935000062,3.349999905,2.720000029,5.03000021,3.062105273
92,Guatemala,3.264999986,2.809999943,2.970000029,3.75,1.899999976,3.379999996,3.519999981,3.810000062,3.5,4.130000114,2.75999999,3.019999981,2.720000029,2.50999999,2.579999924,2.460000038,2.279999971,2.190000057,4.785000086,3.070526324
173,Niger,2.75,4.430000067,1.949999988,3.099999905,2.690000058,1.934999943,1.215000004,8.799999953,3.800000072,0.319999993,2.180000067,1.375,0.519999981,1.394999981,6.370000124,7.769999981,4.055000067,3.439999938,2.540000081,3.1913158
151,Madagascar,2.75,5.010000229,1.949999988,2.619999886,3.215000034,1.934999943,2.059999973,8.25,4.28000021,1.150000006,0.600000024,3.339999914,0.509999991,1.789999962,5.625,4.054999948,4.030000091,3.709999919,4.295000076,3.219736852
187,Philippines,3.264999986,3.529999971,3.549999952,3.799999952,4.050000191,3.430000067,3.720000029,3.859999895,3.609999895,3.589999914,3.5,3.5,3.599999905,3.069999933,2.700000048,2.549999952,2.339999914,2.24000001,2.519999981,3.285526294
232,Togo,4.49000001,4.305000067,3.855000019,1.419999987,4.230000019,4.204999924,2.959999919,4.299999953,2.495000095,1.980000019,2.074999988,3.444999993,2.450000047,2.200000048,3.924999953,3.74000001,2.495000005,3.470000029,4.405000061,3.286578955
184,Pakistan,7.829999924,7.489999771,7.400000095,7.050000191,0.579999983,0.400000006,0.419999987,0.540000021,0.649999976,0.800000012,5.805000067,2.950000048,1.830000043,3.569999933,3.134999931,2.680000008,4.079999924,4.829999924,1.120000005,3.324210518
126,"Korea, Rep.",3.049999952,3.349999905,3.420000076,3.480000019,3.25,3.00999999,2.960000038,3.359999895,3.319999933,2.99000001,2.809999943,2.75,3.079999924,3.549999952,3.650000095,3.650000095,3.819999933,3.75,3.930000067,3.325263149
72,Ethiopia,3,4.305000067,2.245000005,2.5,3.419999957,3.284999967,3.139999986,7.549999953,4.830000162,1.775000006,2.074999988,2.25,1.575000048,4.299999953,4.74000001,3.504999996,2.814999938,2.455000043,3.90500009,3.35105264
247,Uganda,3.5,3.599999905,3.480000019,1.899999976,4.434999943,3.120000005,3.139999986,3.599999905,3.045000047,2.485000015,3.549999952,1.909999967,2.980000019,4.504999996,3.545000076,3.640000105,3.559999943,3.504999995,4.235000015,3.354473677
169,Malaysia,3.480000019,3.609999895,3.539999962,3.529999971,3.325000048,3.230000019,3.319999933,3.660000086,3.390000105,3.049999952,3.099999905,3.160000086,2.880000114,3.099999905,3.440000057,3.410000086,3.299999952,3.25999999,4.539999962,3.385526318
165,Mozambique,5.439999938,5.419999838,5.410000086,5.265000105,1.914999992,1.704999998,1.690000013,1.949999958,1.984999955,1.895000011,3.024999977,2.850000024,2.454999984,3.430000067,3.695000053,3.670000076,3.949999929,4.289999962,5.554999948,3.452368416
177,Norway,4.019999981,4.21999979,4.260000229,4.380000114,3.400000095,2.49000001,2.549999952,3.099999905,3.519999981,3.210000038,3.119999886,3.420000076,3.480000019,4.300000191,4.679999828,4.159999847,3.799999952,3.690000057,4.420000076,3.695789475
87,Guinea-Bissau,3.24000001,3.534999967,3.74000001,3.544999957,3.350000024,3.430000067,3.59499991,4.51000011,4.345000148,4.110000014,3.994999886,4.034999967,3.845000029,3.704999924,3.649999976,3.415000081,3.200000048,3.370000005,4.494999886,3.74263158
20,Bangladesh,4.420000077,4.320000172,4.454999924,4.25,3.589999914,3.529999971,2.914999902,5,3.380000114,3.039999962,3.669999958,4.429999828,2.834999979,2.735000014,4.349999905,4.369999886,4.209999919,4.265000105,3.320000053,3.846578931
28,Bolivia,5.480000019,4.904999971,4.170000076,5.449999809,5.079999924,5.179999828,2.599999905,2.970000029,3.845000029,2.25,2.069999933,2.440000057,2.019999981,3.109999895,3.5,3.650000095,3.519999981,3.680000067,7.900000095,3.885263142
186,Peru,4.840000153,4.150000095,4.710000038,4.869999886,4.170000076,4.079999924,4.03000021,3.960000038,3.599999905,3.480000019,3.24000001,3.569999933,3.210000038,3.269999981,3.74000001,3.690000057,3.49000001,3.380000114,7.179999828,4.034736859
66,Ecuador,4.430000067,5.659999847,5,3.779999971,3.549999952,3.140000105,3.920000076,4.610000134,4.090000153,3.460000038,3.230000019,3.079999924,3.480000019,3.619999886,4.599999905,3.839999914,3.529999971,3.809999943,6.110000134,4.049473687
234,Tajikistan,2.5,3.849999905,2,2,2.200000048,2.869999886,4.199999988,11.5,2.495000095,2.754999996,1.390000046,2.980000019,4.204999924,3.049999953,6.900000095,5.830000162,7.725000143,7.629999876,0.969999999,4.055263165
154,Mexico,3,3.460000038,3.940000057,3.559999943,3.569999933,3.630000114,3.869999886,5.360000134,5.300000191,5.170000076,4.889999866,4.909999847,4.809999943,4.309999943,3.859999895,3.420000076,3.269999981,3.480000019,4.449999809,4.118947355
42,Cameroon,4.009999991,4.939999819,4.630000115,4.400000095,3.475000024,3.059999943,3.235000014,8.154999972,4.110000134,3.335000038,3.174999953,3.25,3.529999971,3.960000038,5.184999943,3.999999881,3.664999962,4.184999943,5.265000105,4.187631576
83,Ghana,3.75,3.950000048,5.355000019,2.199999988,4.639999866,3.529999971,2.914999902,3.950000048,5.380000114,4.384999991,3.824999928,2.170000076,3.814999938,6.809999943,4.964999914,3.369999886,5.574999809,5.870000124,3.320000053,4.19868419
252,Uzbekistan,0.400000006,0.300000012,0.400000006,0.300000012,0.200000003,4.989999771,4.889999866,5.039999962,5.360000134,4.960000038,4.869999886,4.860000134,5.090000153,5.150000095,5.159999847,5.829999924,9.350000381,8.979999542,5.289999962,4.285263144
114,Iceland,3.25,3.519999981,3.400000095,2.869999886,2.829999924,2.25,2.950000048,7.21999979,7.559999943,7.03000021,6,5.380000114,4.900000095,3.980000019,2.980000019,2.74000001,2.700000048,3.50999999,6.429999828,4.289473684
40,China,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,4.210000039,4.634999991,3.900000095,4.929999828,5.150000095,5.610000134,4.3255263
37,Switzerland,2.920000076,4.119999886,4.320000172,4.440000057,3.99000001,3.640000105,3.349999905,4.110000134,4.809999943,4.409999847,4.489999771,4.75,4.829999924,4.800000191,4.920000076,4.800000191,4.710000038,4.389999866,4.820000172,4.348421072
19,Burkina Faso,2.769999981,2.779999971,4.715000153,4,4.360000015,3.299999952,4.204999924,4.61500001,4.585000039,4.654999971,7.279999971,5.299999953,6.480000019,5.735000134,5.605000019,5.160000086,4.690000057,4.99000001,5.795000077,4.790526334
176,Netherlands,2.549999952,3.589999914,4.650000095,5.869999886,5,4.150000095,3.650000095,4.349999905,4.989999771,4.980000019,5.820000172,7.239999771,7.420000076,6.869999886,6.010000229,4.840000153,3.829999924,3.380000114,3.819999933,4.895263157
174,Nigeria,4.349999905,5.325000048,1.200000003,3.200000048,2.75,2.964999915,5.224999905,8.680000067,5.330000162,3.769999981,6.879999876,3.710000038,4.559999943,4.309999943,7.059999943,8.390000343,3.425000072,10.69999981,4.685000062,5.079736845
144,Luxembourg,2.619999886,3.680000067,5.110000134,4.489999771,4.730000019,4.070000172,5.059999943,5.119999886,4.360000134,4.900000095,5.139999866,5.849999905,5.849999905,6.670000076,6.289999962,5.519999981,5.590000153,5.590000153,6.769999981,5.12684211
14,Austria,4.849999905,4.78000021,5.96999979,5.679999828,5.320000172,4.909999847,4.199999809,5.369999886,4.880000114,4.639999866,4.909999847,5.369999886,5.670000076,5.800000191,6.059999943,5.559999943,4.929999828,4.559999943,5.199999809,5.192631521
97,Honduras,4.019999981,5.300000191,5.989999771,4.909999847,3.569999933,3.210000038,3.160000086,3.289999962,4.119999886,4.46999979,3.75,5.650000095,7.079999924,6.150000095,6.730000019,5.53000021,5.619999886,5.550000191,10.68000031,5.19894738
203,Rwanda,0.889999986,2.074999959,1.200000003,3.200000048,1.200000026,2.964999915,4.835000038,8.269999981,3.61500001,2.044999987,6.019999862,4.285000086,1.169999957,4.730000019,6.980000019,11.88000011,10.76000023,11.23999977,11.82999992,5.220526312
211,El Salvador,6.199999809,6.900000095,6.800000191,7.21999979,6.570000172,6.409999847,5.880000114,7.329999924,4.889999866,4.300000191,3.839999914,3.690000057,4.150000095,4,4.420000076,4.389999866,4.010000229,4.170000076,5.010000229,5.272631607
13,Australia,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.431052635
138,Sri Lanka,8.760000229,8.220000267,8.380000114,7.670000076,6.5,5.96999979,5.21999979,5.849999905,4.78000021,4.119999886,3.880000114,4.239999771,4.190000057,4.519999981,4.239999771,4.050000191,4.320000172,4.670000076,5.199999809,5.514736853
195,Paraguay,9.390000343,6.809999943,6.510000229,4.820000172,5.28000021,4.710000038,4.420000076,5.460000038,4.570000172,4.670000076,4.090000153,4.380000114,5.03000021,4.559999943,5.25,4.610000134,6.21999979,6.590000153,7.550000191,5.522105368
106,Indonesia,6.599999905,6.659999847,7.300000191,7.940000057,7.550000191,8.06000042,7.210000038,6.110000134,5.610000134,5.150000095,4.46999979,4.340000153,4.050000191,4.510000229,4.300000191,3.779999971,4.389999866,3.589999914,4.25,5.572105332
175,Nicaragua,7.390000105,7.599999905,6.409999847,5.369999886,5.309999943,4.889999866,6.199999809,8.159999847,7.829999924,6.460000038,5.210000038,5.28000021,4.519999981,4.699999809,3.900000095,3.299999952,5.199999809,4.059999943,4.970000029,5.618947318
58,Denmark,4.269999981,5.400000095,5.199999809,4.829999924,3.900000095,3.799999952,3.680000067,6.409999847,7.75,7.769999981,7.800000191,7.380000114,6.929999828,6.28000021,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866,5.737368408
81,United Kingdom,5.039999962,4.809999943,4.590000153,4.75,5.349999905,5.260000229,5.619999886,7.539999962,7.789999962,8.039999962,7.880000114,7.519999981,6.110000134,5.300000191,4.809999943,4.329999924,4,3.74000001,6.845000029,5.753947384
163,Mongolia,6.199999809,6.800000191,5.950000048,4.925000191,5.03000021,7.199999809,5.559999943,5.860000134,6.550000191,4.769999981,3.900000095,4.230000019,4.800000191,4.860000134,7.239999771,6.360000134,5.380000114,9.270000458,6.590000153,5.867105346
159,Malta,6.900000095,7.489999771,7.320000172,6.920000076,6.800000191,6.46999979,5.980000019,6.889999866,6.849999905,6.380000114,6.199999809,6.110000134,5.71999979,5.380000114,4.690000057,4,3.660000086,3.619999886,4.349999905,5.880526304
86,"Gambia, The",9.710000037,7.855000019,6.049999952,5.470000148,5.12500003,4.980000213,4.679999784,4.630000144,4.779999912,2.60499993,9.420000076,6.089999795,4.00000006,6.514999986,6.810000182,7.615000008,4.130000114,7.625000002,3.8950001,5.893947394
251,United States,5.78000021,5.989999771,5.53000021,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.369999886,6.170000076,5.28000021,4.869999886,4.360000134,3.900000095,3.670000076,8.050000191,6.156315804
15,Azerbaijan,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,4.960000038,4.940000057,4.849999905,7.159999847,6.157894712
59,Dominican Republic,6.78000021,6.940000057,6.300000191,6.590000153,5.650000095,5.159999847,4.760000229,5.46999979,5.210000038,6.090000153,6.71999979,7.349999905,6.71999979,7.610000134,7.28000021,5.829999924,5.860000134,6.179999828,6.130000114,6.243684242
120,Kazakhstan,9.329999924,8.779999733,8.399999619,8.130000114,7.789999962,7.260000229,6.630000114,6.550000191,5.769999981,5.389999866,5.289999962,5.199999809,5.059999943,4.929999828,4.960000038,4.900000095,4.849999905,4.800000191,4.889999866,6.258421019
152,Maldives,3.525000096,8.680000068,7.514999865,3.200000048,6.114999889,2.964999915,7.814999819,11.69999981,8.649999857,8.749999763,7.35500002,6.789999962,3.849999905,6.005000115,5.769999981,6.300000191,4.300000071,4.559999943,5.180000067,6.264473652
202,Russian Federation,7.880000114,8.210000038,7.760000229,7.119999886,7.059999943,6,6.210000038,8.300000191,7.369999886,6.539999962,5.440000057,5.460000038,5.159999847,5.570000172,5.559999943,5.210000038,4.849999905,4.5,5.590000153,6.304736865
207,Senegal,5.650000095,4.324999929,6.774999857,4.270000041,10.02999973,5.3549999,6.805000067,10.86499977,5.94000003,10.35999966,10.21000004,6.045000139,7.105000019,6.760000229,4.460000038,4.079999924,3.569999933,2.859999895,4.640000105,6.321315758
201,Romania,8.109999657,6.949999809,7.71999979,7.170000076,7.269999981,6.409999847,5.789999962,6.860000134,6.960000038,7.179999828,6.789999962,7.099999905,6.800000191,6.809999943,5.900000095,4.929999828,4.190000057,3.910000086,5.03000021,6.41473681
76,Fiji,5.410000086,8.220000267,4.699999809,3.890000105,4.964999915,4.754999876,8.93999958,8.720000267,8.909999847,4.409999847,9,2.980000019,6.170000076,4.504999876,4.320000172,9.365000247,4.664999962,10.55999995,8.755000115,6.48631579
55,Germany,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.859999895,6.609473605
109,India,9.329999926,10.92000008,10.40999985,8.699999809,9.534999848,6.375,5.044999838,8.080000162,3.119999886,4.019999981,3.220000029,3.984999895,4.315000057,4.460000038,3.800000072,4.755000115,7.650000095,6.510000229,11.87499952,6.637105233
222,Slovenia,6.349999905,6.710000038,6.329999924,6.550000191,5.989999771,4.869999886,4.409999847,5.889999866,7.260000229,8.199999809,8.880000114,10.14000034,9.720000267,9,8.020000458,6.570000172,5.130000114,4.449999809,4.989999771,6.813684237
35,Canada,7.659999847,7.570000172,7.190000057,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.829999924,5.659999847,9.460000038,7.055789521
85,Guinea,4.550000191,4.940000057,4.84499979,7.394999981,6.930000067,4.389999986,5.225000024,8.005000114,11.13999987,11.56000018,11.625,10.55499983,9.394999744,8.095000029,4.374999881,6.269999981,5.434999943,5.019999981,5.629999876,7.125263132
223,Sweden,4.96999979,5.550000191,6.690000057,7.670000076,7.070000172,6.159999847,6.230000019,8.350000381,8.609999657,7.800000191,7.980000019,8.050000191,7.949999809,7.429999828,6.989999771,6.71999979,6.360000134,6.829999924,8.289999962,7.142105253
101,Hungary,5.610000134,5.869999886,5.829999924,7.190000057,7.489999771,7.409999847,7.820000172,10.02999973,11.17000008,11.02999973,11,10.18000031,7.730000019,6.809999943,5.110000134,4.159999847,3.710000038,3.420000076,4.25,7.148421037
121,Kenya,8.720000266,11.64499998,10.88999987,9.960000038,9.960000038,10.54500008,7.609999895,9.600000381,5.799999714,7.019999981,5.040000082,6.279999972,6.13499999,6.49000001,2.75999999,5.814999819,5.825000048,5.010000229,3.929999948,7.317631596
158,Mali,10.68499994,11.64499998,8.75,10.56500006,10.10500002,11.71000004,7.609999895,8.670000076,8.069999695,6.900000095,6.120000124,6.349999905,6.380000114,7.730000019,1.370000005,7.409999847,1.620000005,4.075000167,3.529999971,7.331315787
17,Belgium,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,7.429999979
185,Panama,14.10999966,13.61999989,12.43999958,10.32999992,9.109999657,6.78000021,4.869999886,6.559999943,5.829999924,3.920000076,3.710000038,3.730000019,4.440000057,4.400000095,4.840000153,5.460000038,5.309999943,6.409999847,18.54999924,7.601052536
122,Kyrgyz Republic,12.55000019,9.920000076,8.529999733,8.109999657,8.270000458,8.100000381,8.220000267,8.409999847,8.640000343,8.529999733,8.430000305,8.329999924,8.050000191,7.559999943,7.210000038,6.889999866,3.670000076,4.25,4.630000114,7.805263218
115,Israel,12.89000034,13.51000023,13.02999973,11.34000015,10.71000004,9.380000114,7.699999809,9.529999733,8.479999542,7.139999866,6.860000134,6.210000038,5.889999866,5.25,4.800000191,4.21999979,4,3.799999952,4.329999924,7.845789445
48,Costa Rica,6.329999924,6.559999943,6.389999866,6.570000172,5.739999771,4.489999771,4.78000021,7.710000038,7.170000076,9.520000458,9.109999657,8.220000267,8.5,8.420000076,8.090000153,7.730000019,9.010000229,10.81000042,16.43000031,7.977894808
53,Cyprus,3.339999914,4.150000095,4.769999981,5.480000019,4.590000153,3.950000048,3.75999999,5.590000153,6.360000134,7.940000057,12.10000038,16.12999916,16.28000069,15.02999973,13.01000023,11.15999985,8.5,7.150000095,7.760000229,8.265789521
248,Ukraine,10.14000034,9.06000042,8.590000153,7.179999828,6.809999943,6.349999905,6.360000134,8.840000153,8.100000381,7.849999905,7.53000021,7.170000076,9.270000458,9.140000343,9.350000381,9.5,8.800000191,8.18999958,9.479999542,8.300526418
75,Finland,10.42000008,10.47000027,10.35999966,8.369999886,7.71999979,6.849999905,6.349999905,8.25,8.390000343,7.78000021,7.690000057,8.18999958,8.659999847,9.380000114,8.819999695,8.640000343,7.360000134,6.690000057,7.760000229,8.323684216
39,Chile,10.17000008,9.770000458,10.15999985,9.340000153,9.020000458,8.430000305,9.289999962,11.31000042,8.409999847,7.320000172,6.639999866,6.199999809,6.650000095,6.489999771,6.730000019,6.949999809,7.210000038,7.269999981,10.93999958,8.331578983
111,Ireland,4.21999979,4.480000019,4.489999771,4.340000153,4.409999847,4.980000019,6.769999981,12.60999966,14.52999973,15.35000038,15.44999981,13.72999954,11.85999966,9.909999847,8.369999886,6.710000038,5.739999771,4.949999809,5.619999886,8.343157768
71,Estonia,10.02999973,11.28999996,10.25,8.029999733,5.909999847,4.590000153,5.449999809,13.55000019,16.70999908,12.32999992,10.02000046,8.630000114,7.349999905,6.190000057,6.760000229,5.760000229,5.369999886,4.449999809,6.800000191,8.393157858
254,"Venezuela, RB",16.17000008,16.78000069,13.25,10.65999985,8.609999657,7.28000021,6.25,6.099999905,7.110000134,6.900000095,6.599999905,7.539999962,6.910000086,6.369999886,5.320000172,5.050000191,8.78000021,9.284999848,7.53000021,8.552368478
26,Belize,10.03999996,10.84500027,10.49499989,10.90999985,9.390000343,8.510000229,8.180000305,10.13500023,8.75,8.11500001,7.814999819,8.350000381,8.239999771,7.579999924,7,6.599999905,7.285000086,9.050000191,9.349999905,8.770526372
166,Mauritania,10.40000009,8.545000077,6.284999848,5.810000062,8.225000143,7.820000172,7.829999685,8.235000134,8.634999752,6.384999752,9.859999657,10.68999958,9.425000193,10.67999983,8.004999876,10.34000015,7.369999887,10.42000008,12.0999999,8.79263152
77,France,8.909999847,8.31000042,8.909999847,8.880000114,8.829999924,8.010000229,7.389999866,9.119999886,9.279999733,9.229999542,9.840000153,9.909999847,10.27000046,10.35000038,10.06000042,9.409999847,9.020000458,8.409999847,8.010000229,9.060526371
117,Jamaica,14.18999958,11.72999954,12.21000004,11.26000023,10.31999969,9.75,6.670000076,7.309999943,7.630000114,8.029999733,8.68999958,9.699999809,9.050000191,13.51000023,8.630000114,7.400000095,5.46999979,4.989999771,6.5,9.107368343
116,Italy,9.210000038,8.869999886,7.869999886,7.730000019,6.78000021,6.079999924,6.71999979,7.75,8.359999657,8.359999657,10.64999962,12.14999962,12.68000031,11.89999962,11.68999958,11.21000004,10.60999966,9.949999809,9.159999847,9.354210378
21,Bulgaria,18.11000061,13.72999954,12.03999996,10.07999992,8.949999809,6.880000114,5.610000134,6.820000172,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886,9.358947402
250,Uruguay,16.64999962,16.65999985,12.97999954,12.01000023,10.84000015,9.399999619,8.029999733,7.739999771,7.159999847,6.309999943,6.449999809,6.440000057,6.550000191,7.489999771,7.840000153,7.889999866,8.340000153,8.729999542,10.32999992,9.359999882
194,Portugal,4.5,6.130000114,6.320000172,7.579999924,7.650000095,7.96999979,7.550000191,9.430000305,10.77000046,12.68000031,15.52999973,16.19000053,13.89999962,12.44999981,11.06999969,8.869999886,6.989999771,6.460000038,6.800000191,9.412631612
9,Argentina,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,7.894999981,6.580000163,8.350000381,9.220000267,9.840000153,11.46000004,9.728684262
143,Lithuania,13.01000023,12.86999989,10.68000031,8.319999695,5.78000021,4.25,5.829999924,13.78999996,17.80999947,15.39000034,13.35999966,11.77000046,10.69999981,9.119999886,7.860000134,7.070000172,6.150000095,6.260000229,8.489999771,9.92157896
148,Morocco,11.59000015,11.92000008,10.82999992,11.01000023,9.670000076,9.56000042,9.569999695,8.960000038,9.090000153,8.909999847,8.989999771,9.229999542,9.699999809,9.460000038,9.300000191,8.470000028,8.230000017,9.735000136,14.36999988,9.926052633
29,Brazil,10.64000034,11.17000008,10.06999969,10.55000019,9.68999958,9.279999733,8.270000458,9.420000076,10.03499985,7.579999924,7.25,7.070000172,6.760000229,8.539999962,11.57999992,12.78999996,12.32999992,11.93999958,13.69999981,9.929736814
190,Poland,19.88999939,19.64999962,18.96999931,17.75,13.84000015,9.600000381,7.119999886,8.170000076,9.640000343,9.630000114,10.09000015,10.32999992,8.989999771,7.5,6.159999847,4.889999866,3.849999905,3.279999971,3.160000086,10.1321052
