Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.079999924,,,6.449999809,,,7.449999809,,,6.920000076,6.900000095,,,,,,5.710000038,,,10.60000038,8.899999619,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49000001,,,,1.690000057,,7.909999847,,,11.18000031,,,11.71000004,
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.339628319,,,6.980367895,,,,
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,14.19999981,14.89999962,18.89999962,,,,,,,,,,,,,,,,,,23.63999939,,,,,3.779999971,9.430000305,7.360000134,,,9.579999924,,,,,,,
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,5.599999905,5.099999905,3.599999905,4.400000095,5.699999809,6.699999809,6.400000095,6.099999905,7,7.300000191,9.5,9.100000381,26.5,22.29999924,18.39999962,12.89999962,12.30000019,14.89999962,17.70000076,18.39999962,16.79999924,16.39999962,4.610000134,15,14.39999962,6.570000172,13.80000019,15.97000027,13.06000042,13.67000008,14.09000015,13.47999954,13.38000011,15.86999989,18.04999924,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,11.68999958,
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09854489,10.46887303,9.991399758,9.212034742,,,,,,9.657499029,,,,,
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,1.960000038,,,,,,,,,,1.149999976,,,,,,,,,,1.799999952,,,,,2.25,,,,,3.119999886,,,,,,,,,,,1.639999986,2.460000038,2.24000001,2.329999924,4.289999962,3.109999895
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,4.800000191,6,6.599999905,5.599999905,3.400000095,2.299999952,4.5,2.799999952,2.799999952,2,2.299999952,4.5,4.730000019,4.170000076,3.539999962,5.300000191,4.400000095,5.300000191,6,7.300000191,7.059999943,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,,,8.350000381,9.220000267,9.840000153,11.46000004,8.739999771
