,Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
0,Argentina,,,,-1.249802355,-2.074606161,-2.810610432,-1.837621355,-1.827434359,-3.705086124,-3.416751183,-5.364146344,-1.910149902,1.500146081,3.96689503,3.340623023,1.650070275,0.756974472,0.351972892,-1.830044406,-1.393454664,-2.74564846,-3.0180556,-3.253828427,-4.252429085,-6.000558031,-6.654668983,-6.693341132,-5.441145258,-4.395052469,-8.588337133,-4.327055473,-3.494468633,-3.320639295,-3.492573076,-2.558171282,-2.030775106,-1.489512068
1,Australia,-2.78994295,-4.746344986,-4.728944368,-3.795118107,-2.605177226,-1.456790762,-0.493281751,-0.245966955,0.666542589,1.252351209,-0.030300828,0.192737266,1.051187474,1.323849086,1.708807988,1.773805604,1.476039214,-1.10134121,-4.566679591,-5.119825548,-4.528482544,-3.510793836,-2.811400016,-2.918943912,-2.788289119,-2.422049096,-1.71804432,-1.26012126,-4.402942784,-8.757626289,-6.453806118,-3.423046504,-2.970251978,-2.570610181,-1.787993939,-0.985904285,-0.669214877
2,Austria,-2.945597989,-2.136688259,-4.541946552,-5.013404188,-6.140539419,-4.35710811,-2.371825917,-2.668765336,-2.618030067,-2.063210653,-0.658410611,-1.864522198,-1.381754272,-4.839051893,-2.540769458,-2.563440822,-1.382364127,-1.521402197,-5.355725043,-4.453403655,-2.577134131,-2.189054492,-1.950077521,-2.729141959,-1.046241997,-1.534591285,-0.816118701,0.170081563,0.609898984,-8.045201907,-5.92754029,-2.702234453,-1.550153447,-1.215255609,-1.134448786,-1.164801293,-1.265761647
3,Belgium,-7.672130619,-8.419847914,-7.708515027,-5.287641002,-4.50854914,-4.002603972,-2.15103904,-1.024700805,-0.648395005,-0.079219584,0.233037623,-0.043805237,-1.864040313,-0.238730544,-2.715159804,0.239457975,0.066585375,-1.095319865,-5.430870515,-4.08770722,-4.32999617,-4.318508448,-3.129301568,-3.055552798,-2.413643323,-2.363137519,-0.683855747,-0.869806191,-1.952220642,-9.046902779,-5.524520698,-4.688092919,-4.775287113,-5.0222133,-5.046172362,-5.294634102,-5.449724722
4,Bolivia,-4.200000009,-4.399999998,-6.099999932,-3.000000017,-1.816584448,-1.900000016,-3.280902657,-5.1,-3.836567058,-3.728130401,-6.819600146,-8.788018921,-7.875395133,-5.543419582,-2.244734708,4.469895705,1.740780407,3.569484155,0.014122068,1.665902006,0.831387469,1.756819956,0.656366485,-3.363624188,-6.904266322,-7.243425006,-7.823764969,-8.1433959,-7.220921704,-12.72208399,-9.328202804,-8.499505614,-7.894511618,-7.480091963,-6.775775486,-6.091111008,-5.919072391
5,Brazil,,,,,,,-5.603940199,-7.220582439,-5.174557657,-3.319675883,-3.171758693,-4.419657095,-5.177212713,-2.876038656,-3.538574319,-3.569679918,-2.737253491,-1.533339317,-3.187543955,-3.823640917,-2.466942409,-2.519576781,-2.955004275,-6.021062709,-10.23869964,-8.978544615,-7.840392411,-7.029796269,-5.880101575,-13.33240736,-4.416764356,-5.819169743,-7.501142436,-6.786316105,-5.871899855,-5.38018896,-4.782013543
6,Burkina Faso,-2.771556458,-2.509119285,-3.810411981,-1.88707663,-2.645588122,-1.666069792,-2.642848881,-2.597693741,-3.286904208,-3.027830265,-3.557443584,-4.432617637,-1.789912827,-4.194054415,-4.889532822,14.34567379,-5.014919427,-3.62731448,-4.160443428,-4.058343741,-2.039418509,-2.76326957,-3.547978636,-1.737416156,-2.089716888,-3.082274393,-6.914905834,-4.392604864,-3.408022178,-5.696047126,-6.360435084,-6.069351599,-5.298999,-4.298999,-2.998999,-2.998999,-2.998999
8,Cameroon,,,,,,,,,,,0.861348195,1.506626734,0.560200735,-0.455788725,3.029455591,28.21389827,3.873770577,2.000034814,-0.04070747,-0.932373992,-2.258001678,-1.395956958,-3.554624394,-4.087364833,-4.24571325,-5.881134409,-4.72473822,-2.407988286,-3.243734199,-3.188162803,-2.3743082,-2.018252145,-0.231775039,-0.119200313,-0.197780222,-0.993744508,-1.021412463
9,Canada,-8.359398267,-9.199149263,-8.934764945,-6.935977535,-5.489640113,-3.05256596,0.038702165,0.142682776,1.655576247,2.639703961,0.529468967,-0.233895789,-0.126957865,0.767669538,1.553120098,1.827604363,1.819655807,0.184425129,-3.881351769,-4.737558582,-3.308732553,-2.524517007,-1.494705998,0.17489616,-0.061845591,-0.453164226,-0.112442955,0.359891308,0.004326581,-11.36043546,-5.039089433,-2.150963777,-1.205079405,-0.880085888,-0.609647869,-0.606831938,-0.540517946
11,Chile,1.535683712,2.094192172,1.40985931,1.435094351,3.095247075,2.071304788,2.040194923,0.390249616,-2.020119167,-0.693330243,-0.494759945,-1.170915563,-0.415512876,2.050497131,4.56692802,7.505662773,7.95616112,3.93347791,-4.264771608,-0.363065644,1.427593886,0.682452249,-0.470187986,-1.496350422,-2.088570777,-2.66164476,-2.629199437,-1.483643558,-2.727498643,-7.142610711,-7.485907215,0.907034217,-1.200162352,-0.87780998,-0.421083834,-0.164367466,-0.179904165
