,Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,平均值
46,Guatemala,18.69247732,21.03844097,22.14445739,21.60212014,22.23477296,21.98699753,20.38340804,23.3939732,24.81695941,24.56395978,24.70074241,25.20994956,24.79268563,24.92017709,25.03499067,21.06413073,26.4833248,26.4877249,31.56278309,2.225772262
20,Switzerland,29.74298448,28.80288908,29.36536952,29.39717832,25.76835389,23.65582945,23.0826539,21.70163739,20.99356622,21.14200705,21.34449593,20.21815744,20.61124279,20.43929496,19.38099266,20.28441183,18.67811857,18.95425981,20.91088891,3.131133456
9,Burkina Faso,58.28095218,56.67084254,54.66793337,54.12586951,51.46143031,48.31813042,50.61974689,53.75398626,52.02467273,52.37065264,52.80213518,51.07738874,50.11582185,52.30809891,50.22121187,48.90470312,45.57386105,46.63954473,72.5316089,3.526609931
50,Indonesia,32.22412653,29.71739625,23.2704286,23.53012421,28.46005835,25.76114261,34.22502821,29.99730638,26.16615928,24.86514467,25.03440084,27.78192722,27.4216122,30.30912614,31.36619071,32.42906712,33.13941924,33.72915562,42.9166244,3.58765089
69,Morocco,54.03033855,58.04564922,57.04892467,59.26999277,54.80562993,50.93555511,45.4427659,47.50363068,50.96249924,55.62772032,49.18129389,53.78440962,50.1462315,49.35636195,49.12685619,49.60675317,47.24847919,46.28632585,57.70289145,3.695828812
18,Botswana,22.89110088,16.83270761,17.31936163,10.92095706,6.023568087,5.943176413,8.004029974,19.25178187,21.88629705,21.07436228,20.62318079,19.01638129,18.32573361,19.08697767,15.80495231,14.68076918,15.23071514,16.22293245,19.6558567,3.914503181
100,El Salvador,62.44694538,57.91122341,56.5005963,56.21581168,50.51222227,48.48237248,48.42693762,58.14692057,57.49428662,54.56257098,54.85233981,62.39927679,50.83795443,51.27840327,52.06565617,55.24851882,52.21428201,53.87903936,71.41060016,4.03822655
109,Tunisia,55.934434,55.02131557,53.83755809,52.42052972,48.56391046,45.7824705,43.28770543,42.92979215,38.7660003,42.48072245,42.5197543,48.50624628,49.8926137,51.04290003,49.52808501,45.99023058,43.92199426,41.6636305,45.02170012,4.189473259
19,Canada,54.00913305,51.15163117,46.74289,46.02521292,43.25613034,39.13872444,43.94727949,52.25152641,52.45743515,53.18475161,54.9262398,51.84295011,50.33071883,54.65147942,52.80866814,50.22579685,48.1815311,48.01163331,72.0858234,4.353061338
34,Estonia,4.429484901,4.86252614,5.273353741,5.181045677,4.944383971,4.229534012,5.058350961,8.224680467,7.897645108,5.991393308,13.55217445,13.79847604,13.95485067,13.12274003,14.07077738,13.42557616,13.45856977,14.05308354,23.76990453,4.582991364
82,Malaysia,43.04733921,45.0766413,45.69663832,42.06755976,40.58839614,40.08812577,39.79970284,50.8357456,49.55982307,50.02868164,51.64643162,52.99925192,52.67584873,53.57447824,51.89051483,50.04967161,51.18590198,52.42134169,62.02818821,4.686417252
104,Sweden,59.47271638,58.18007502,57.59725305,57.86921908,51.63242856,45.69496892,45.64558959,46.92348512,43.3019148,43.68472373,43.51024796,45.16954245,49.45450857,47.43432063,46.18805621,43.96498752,42.28267637,38.69361233,43.99518273,4.907173177
90,Peru,39.12586398,36.78610198,37.04937655,27.01361186,32.53945754,28.52881839,26.07632235,26.40086588,23.68179134,20.72021657,19.21665946,18.39442038,19.5653896,22.86555447,23.70625643,24.66754332,25.69854801,26.54380105,34.66897903,4.907395733
5,Azerbaijan,22.89110088,26.13122239,22.7250372,10.92095706,7.417728415,5.693982065,4.576537975,6.295012401,6.385575792,7.316237626,11.05179152,11.43286584,12.57765598,13.3317529,14.15625848,14.87547514,14.81357438,15.66456599,23.4096269,5.135573632
111,Uganda,22.28040627,43.94873564,40.99682643,32.21971983,29.1384152,27.30211487,22.44083129,24.27738418,22.53570251,32.14097775,28.72171071,31.35589326,31.96093811,33.90104163,34.71585244,34.88885113,34.673571,38.47694531,44.18591431,5.159013602
1,Argentina,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
6,Burundi,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
8,Benin,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
15,Bolivia,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
21,Chile,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
22,China,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
23,Cameroon,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
25,Costa Rica,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
26,Cyprus,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
27,Germany,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
28,Djibouti,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
29,Denmark,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
30,Dominican Republic,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
31,Ecuador,55.36175316,56.39624441,56.80289434,53.46355125,48.81226827,47.02924634,45.68156985,52.73282748,52.10282345,54.71946722,58.05189778,59.33898289,61.50102458,62.72494492,63.93247325,62.18458123,59.13202685,60.93484153,76.24790388,5.16655378
